"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VSIG1",40.2923947538995,-3.82776976276972,0.661450401814699,-5.7869339141199,7.16827630796964e-09,0.000245592314587348
"FAM177B",75.208160164905,-3.41120828819762,0.68873372728023,-4.95286952429103,7.31270100348668e-07,0.01201374773428
"MUC5AC",2007.4985110976,-4.45942524026175,0.919039955571013,-4.85226481528874,1.2205948908519e-06,0.01201374773428
"REG4",23100.4492579131,-4.13003832605184,0.860140916729521,-4.80158337514661,1.5741594137166e-06,0.01201374773428
"AC105460.1",32.7937469741948,7.32521663715195,1.53786612729152,4.76323426802635,1.90514444235439e-06,0.01201374773428
"AFAP1-AS1",448.904366814968,-4.71964857660597,1.00188440825265,-4.71077155980232,2.4678072946144e-06,0.01201374773428
"TRIM72",159.956548887774,4.23729160301829,0.900288586831255,4.70659260263677,2.51891589936195e-06,0.01201374773428
"ZNF750",25.0305897500473,3.40848314836556,0.727595001095858,4.68458846368092,2.80522990789061e-06,0.01201374773428
"ANO7",359.928419103243,-2.41083105934387,0.522523911552974,-4.61381958995661,3.95335612941422e-06,0.0150495482610956
"EPHX3",29.7895320877762,2.24077871793973,0.489015427010343,4.58222500594513,4.60054486199206e-06,0.015761926751671
"VTN",15.2415637780936,-2.56965560231276,0.569399364392499,-4.5129232011953,6.39401797974371e-06,0.0199150409094545
"TNNC1",96.9445573100186,2.55063578927506,0.570959223257255,4.46728187474401,7.92197185566436e-06,0.022484217892681
"VNN1",524.766319672849,-3.01527858845661,0.677378313130772,-4.45139522480474,8.53141567977737e-06,0.022484217892681
"ITIH1",2.20845327222508,-3.05639856985251,0.69369860902769,-4.4059459397453,1.05323230629779e-05,0.0257748514614775
"CALB1",124.248538505194,4.23257422805281,0.969278753973446,4.36672547572291,1.26123083175951e-05,0.0288073530179417
"GRIN1",104.455370302338,-2.40841439021469,0.555198500107986,-4.33793389165543,1.43828399341805e-05,0.0307981549365598
"FAM189A2",35.4016605027789,-2.13882687604371,0.499819370913012,-4.27919964793832,1.87566561472429e-05,0.0376428753467415
"AL133260.1",23.0706256723511,-1.48258312862721,0.347421009150973,-4.26739629894675,1.97767653086993e-05,0.0376428753467415
"MTND1P23",190.526944837135,-3.77274081845609,0.886904744217019,-4.25382865866476,2.10146124613949e-05,0.0378937703968342
"ALKAL2",19.1621970212106,2.09585900406811,0.496853401505682,4.21826437680963,2.46190056818522e-05,0.0421735876832968
"OCA2",59.9145164576285,3.07026079911772,0.734237482866013,4.18156369126418,2.89511126149113e-05,0.0472330509190227
"AP000525.1",6.51093542708973,3.51249163589843,0.846010864556499,4.15182804743267,3.29830049710091e-05,0.0513650333323519
"LINC02292",3.56736029714525,-2.20950269505923,0.538819378492685,-4.10063702838636,4.12014377983377e-05,0.0606956263815885
"FZD10",279.499975812351,3.4050137461597,0.832270417458425,4.09123486157045,4.29082314946676e-05,0.0606956263815885
"ALDH1A2",87.1987303925565,-3.10326331977767,0.760766541710609,-4.0791269721193,4.52051431347993e-05,0.0606956263815885
"PRSS35",15.0018371643658,-2.04347578898997,0.501495298945752,-4.07476559259037,4.60607187741543e-05,0.0606956263815885
"MAGEA3",64.7025962465676,7.44162471215566,1.83136658420222,4.06342715671934,4.83574179851217e-05,0.0613619813921575
"LINC01819",309.501908709083,3.74223690673854,0.937623668649733,3.99119287605839,6.57417854588596e-05,0.0804421182716425
"SYCP2",53.4044410912315,2.05633699192782,0.516570255274779,3.98074989980598,6.86982000477045e-05,0.0811610010977381
"NMUR2",25.6690372830731,-4.45116175895543,1.12225196535716,-3.96627664406792,7.30041236370726e-05,0.0816248806725149
"AGAP1-IT1",16.840862473057,-1.84684113099698,0.466432194531145,-3.95950612468639,7.51049184418258e-05,0.0816248806725149
"AC010478.1",12.7924552099719,-2.76461416732173,0.698853540392159,-3.95592782683819,7.62381769802538e-05,0.0816248806725149
"MTCO1P40",112.611272359456,-2.64125899396247,0.675340042751204,-3.91100605141448,9.19124690596544e-05,0.0954246394682672
"ATP6V1C2",331.269685319464,1.48672065099329,0.381636717752626,3.89564363656689,9.79383002266626e-05,0.0986901207078143
"PLA2G1B",3.18245545523005,-2.70107083326503,0.698773341887074,-3.86544630619515,0.000110886242603447,0.108544958795334
"PCDHB8",25.4221858340759,-2.93559686626886,0.76518932676507,-3.83643206143432,0.000124834708916874,0.118804498950029
"GRIP2",86.4809564971491,-1.95650582478818,0.515305296669794,-3.79678966514079,0.000146582059759501,0.135731025660007
"TPT1-AS1",391.735013480012,1.10216222928318,0.292831348875186,3.76381228825658,0.00016734251730597,0.150876894353153
"CPS1",288.504571437364,-2.85441786165963,0.766534288109428,-3.72379671195105,0.000196248969685791,0.169579458476234
"SPINK4",4894.20001297463,-3.12243819671385,0.839010275435017,-3.72157324902237,0.000197985416043004,0.169579458476234
"SYNGR3",124.302629063021,1.90401691274003,0.513275892430625,3.70953894546563,0.0002076370173692,0.171020815488379
"TRNP1",349.867638395292,-2.02476043362134,0.546185435645951,-3.70709341823942,0.000209651622851404,0.171020815488379
"AC100791.2",7.8641272384731,2.01451212763704,0.544594672663925,3.69910362468826,0.000216362256177419,0.172390401369641
