"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF534",1.70979127731636,4.47689447379181,0.731083958078901,6.12363932256963,9.14618072775009e-10,2.57583887835626e-05
"ZMYND10",24.7313502090738,-2.58011265043788,0.442071405247403,-5.83641606268094,5.33356121158352e-09,7.51045422009133e-05
"KCNJ12",78.3703585296094,-3.84343501401926,0.691436381926312,-5.55862421255824,2.71909416994432e-08,0.000255259497027139
"ST6GALNAC6",1312.78249711184,-1.83636796937502,0.358833877046541,-5.11759922025657,3.09449281810774e-07,0.00217875503090921
"AL163952.1",2.7885906294176,3.10933260743556,0.626757544302394,4.96098154015262,7.01378579118481e-07,0.00345419464672492
"GABRB3",65.9405422766705,-4.22057954600584,0.852359665600112,-4.9516415620562,7.3590057452507e-07,0.00345419464672492
"GUCY1A2",99.0585703534405,2.34468880510031,0.482844858243956,4.85598793291004,1.19787996587663e-06,0.00481941335414049
"MSLNL",11.9695902037427,-4.3535501725386,0.916409012629372,-4.75066276361397,2.02751021965343e-06,0.00713759628951245
"FAM177B",74.1896553288393,-3.32231261136923,0.709419528698538,-4.68314231138261,2.82510227119291e-06,0.00884037280706734
"BAIAP3",225.513450395288,-2.00696707661081,0.433859594580171,-4.62584463195489,3.73074894566843e-06,0.010506908255686
"AL157935.2",12.1919646527258,-2.35127967466702,0.519985808056043,-4.52181509233345,6.13116078818819e-06,0.0156974437525222
"ZNF615",209.859457785914,1.32065407545101,0.293653400996131,4.49732259517884,6.88145372152959e-06,0.0161501984299532
"TNNC1",96.9445573100186,-2.49976579496678,0.57028827220473,-4.38333719419252,1.16874999342805e-05,0.0253196200499339
"FZD10",279.499975812351,-3.65108613800846,0.838144165271852,-4.35615528842133,1.32366885439467e-05,0.026627489961655
"MTND1P23",233.385994782091,3.96433236750704,0.916092014935411,4.3274390594776,1.50853064099801e-05,0.0272188034370844
"AL161729.2",3.1339783034959,-3.72871544562648,0.86273332952327,-4.32197913077833,1.5463581826984e-05,0.0272188034370844
"LCN15",1227.58789934035,4.57965102859918,1.06442771517722,4.30245376299384,1.68916928311326e-05,0.0279835732472463
"HMGB3P32",2.88512378227304,2.15621756674449,0.503175457740165,4.28522006305391,1.82558390404393e-05,0.0285632886053274
"LSMEM2",2.03643001150664,-2.54799804803104,0.597198736289903,-4.26658312082253,1.98489562079533e-05,0.0293181370488199
"KIAA0087",4.3374707857529,-3.67070936804012,0.862952723435917,-4.25366218606379,2.10302491443299e-05,0.0293181370488199
"EPHX3",34.199207770584,2.28088022301976,0.53731242083217,4.24497952138761,2.1861338565679e-05,0.0293181370488199
"CEACAM8",19.291220372022,-2.80692088407227,0.664603182360387,-4.22345387228403,2.40586629144611e-05,0.0301247385376355
"AC139795.3",5.99129297006161,-1.60986038821871,0.381626453311426,-4.21841927950676,2.46021015646634e-05,0.0301247385376355
"GPC3",368.670905630582,2.63093667652013,0.625149482595019,4.20849212831307,2.57080483422152e-05,0.0301673235609086
"DPP10",60.2133644138338,-3.89541417649457,0.929366616950833,-4.19147202562006,2.7715036550156e-05,0.0312215429744818
"DDIT4",3373.59149382842,1.27275586450717,0.305049838498022,4.17228827516795,3.01555770515931e-05,0.031633470119221
"ST3GAL4",1585.90121988079,-2.07506510610754,0.498106729449243,-4.16590458113653,3.10120403261458e-05,0.031633470119221
"NPC1L1",235.321349737651,3.24152564845454,0.778707129357653,4.16270190196979,3.14503839554802e-05,0.031633470119221
"MAP3K20-AS1",100.128811114,2.98775050987419,0.720771644761576,4.14521094383853,3.39501026735771e-05,0.0329702324688259
"NPTX2",1049.28130236753,-3.26139643889896,0.794899131329416,-4.10290602965498,4.07992989082478e-05,0.0383010218384328
"LINC00514",30.7488901723882,-2.2598094987059,0.558944231426893,-4.042996370026,5.27724379688752e-05,0.0467784372542538
"RPS12",35662.0341808108,0.787139337253675,0.194796432459316,4.04083035462198,5.32622783814785e-05,0.0467784372542538
"HOXD10",158.733609406636,2.63410490043655,0.65305441045,4.03351521448492,5.49486212184458e-05,0.0467784372542538
