"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL163952.1",2.7885906294176,3.31637188681043,0.628045754899346,5.28046222896918,1.28858387481699e-07,0.00294899807961383
"ZMYND10",24.7313502090738,-2.37762809907642,0.462523678263525,-5.14055433443508,2.73929093160395e-07,0.00294899807961383
"GUCY1A2",99.0585703534405,2.50818851921287,0.494079273101678,5.07649006093138,3.84470899880406e-07,0.00294899807961383
"KCNJ12",78.3703585296094,-3.58655362195291,0.708778975300492,-5.06018624555329,4.18847151171939e-07,0.00294899807961383
"TNNC1",96.9445573100186,-2.74322364240256,0.592344452275358,-4.63112912067477,3.63676974770251e-06,0.0174344915815892
"GPC3",368.670905630582,2.95461354591984,0.638592617923655,4.6267580660838,3.71433971840838e-06,0.0174344915815892
"GABRB3",65.9405422766705,-3.98984820074041,0.875857889919023,-4.55536023213684,5.22958788630635e-06,0.021040126234578
"EPHX3",34.199207770584,2.45768070523918,0.547135539733362,4.49190470506977,7.05890094264119e-06,0.0225182448036358
"NPTX2",897.372727040185,-3.55645280146118,0.792470652788523,-4.487803793045,7.19611558543914e-06,0.0225182448036358
"TCAM1P",10.1262652494133,-5.39323205747097,1.21353903800661,-4.44421801735363,8.82121191053208e-06,0.0248431791036315
"MSLNL",11.9695902037427,-4.15571364213577,0.943475143429546,-4.40468799954781,1.05936235162234e-05,0.0253565291095575
"BAIAP3",225.513450395288,-1.95633128860978,0.445763431507108,-4.38872090067034,1.14019283014117e-05,0.0253565291095575
"ST6GALNAC6",1312.78249711184,-1.62242971801348,0.370162518871662,-4.38301998527298,1.17045371027322e-05,0.0253565291095575
"CEACAM8",17.8060433932139,-2.84887594700198,0.657530517405941,-4.33269007534621,1.47298397096386e-05,0.0296311768387537
"TRIM72",160.925230762816,-4.04962945522268,0.939070130527367,-4.31238234885447,1.61504826673814e-05,0.0296946247704187
"MAP3K20-AS1",100.128811114,3.16407365903664,0.735363112126043,4.30273643980976,1.68701486463338e-05,0.0296946247704187
"LCN15",1347.89180141487,4.68047931796324,1.09940030901733,4.25730216698479,2.06908615455857e-05,0.0342774549240195
"NR4A3",165.020619226032,2.08738919881685,0.492885137130114,4.2350418821126,2.28509112167342e-05,0.0357527895887158
"LINC00514",30.7488901723882,-2.40475635529253,0.574288779212156,-4.18736434062236,2.8221259960325e-05,0.0418258379519287
"GJC2",161.246754326806,-2.55773502384161,0.613128296247414,-4.17161471668484,3.02448724021385e-05,0.0418258379519287
"DDIT4",3373.59149382842,1.30813906098323,0.314533221041865,4.15898535820838,3.19664387117576e-05,0.0418258379519287
"LINC00607",11.8958207878778,3.15250943385673,0.76119485265439,4.14152752460621,3.45000461481872e-05,0.0418258379519287
"FZD10",264.579856769491,-3.48782068789121,0.843049131004694,-4.13714997100423,3.51646289533538e-05,0.0418258379519287
"FAM177B",74.1896553288393,-3.01620321589173,0.729600804474582,-4.13404590207906,3.56432237633167e-05,0.0418258379519287
"ZNF883",23.7907109551145,2.78190611783496,0.676529023141864,4.11202775147107,3.92199141097996e-05,0.0441820176429714
"MASP2",27.870665244784,-1.42411956888132,0.350405563603489,-4.06420364515906,4.81967326094903e-05,0.0514417050792497
"INHCAP",3.67756858004625,-1.91677505593834,0.472247183972208,-4.05883850871442,4.9317403584126e-05,0.0514417050792497
"KIAA0087",4.3374707857529,-3.61503195983839,0.894320087703215,-4.04221263677804,5.29491828690506e-05,0.0532574227550383
"FAM184B",22.5763157891321,-2.08824238449833,0.522642789399242,-3.99554423566942,6.45458031571959e-05,0.0613661208495802
"ATF3",1935.93483870853,1.5483062357145,0.388450335293741,3.98585377598834,6.72379121836402e-05,0.0613661208495802
"SAXO2",20.8356021838327,-1.88635257398456,0.473868442952402,-3.98075162429425,6.8697701618658e-05,0.0613661208495802
"AL161729.2",3.1339783034959,-3.58407467182071,0.90115160978224,-3.97721607875371,6.97267999569139e-05,0.0613661208495802
"HMGB3P32",2.88512378227304,1.98749784209893,0.502468985820232,3.95546371654069,7.63863412772393e-05,0.0648986355580575
"AL049650.1",2.15130268840258,1.78064686249359,0.450916391410744,3.94895128323597,7.84943228028935e-05,0.0648986355580575
"AC010210.1",11.3795693935158,-1.4998067508217,0.38062194194549,-3.94041064252805,8.13422466639211e-05,0.0648986355580575
"AC093323.2",1.21561683265432,-2.96493340890976,0.753345352883813,-3.93568951817379,8.29581678120254e-05,0.0648986355580575
"LSMEM2",2.03643001150664,-2.45880474961989,0.631302511869626,-3.89481223880775,9.82748251870388e-05,0.074803078425475
"AL157935.2",12.1919646527258,-2.0809590582641,0.536556979708071,-3.8783561428952,0.000105164684892728,0.0779408689640502
"DPP10",60.2133644138338,-3.68087042416957,0.955616205011675,-3.85182922272085,0.000117238775878237,0.0846614267963795
"RSPO3",118.02650933332,2.23621447542064,0.582140374899542,3.84136639862256,0.000122351323867436,0.086144508351965
"BUD13",815.366552908524,0.446193912295415,0.117178503032003,3.80781372649515,0.000140200814518723,0.0963042814461171
"LRRC34",64.9441174422935,1.54004417865608,0.405447618383806,3.79838013303667,0.000145644834803867,0.0973395928306814
"ZNF541",26.6273490205106,2.49913136237385,0.659118638061946,3.79162599577252,0.000149664186082044,0.0973395928306814
"STPG3-AS1",14.4455453495641,-2.02419778992165,0.534781030550041,-3.78509646806224,0.000153648965061212,0.0973395928306814
"BAAT",30.7000061400534,3.06305346392819,0.809889326495967,3.78206424472918,0.00015553320588647,0.0973395928306814
"AC139795.3",5.99129297006161,-1.49887788394834,0.398048496537249,-3.76556599757959,0.00016617222143167,0.100564379402502
"RN7SL181P",2.50134586808186,-1.91272509989794,0.508285917011221,-3.76308891488668,0.00016782749820394,0.100564379402502
"PALM3",145.731580284297,-2.27327538106539,0.60850356816371,-3.73584560551631,0.000187085435578553,0.109768481712475
"AL445991.1",2.18253990194518,-2.10909461975359,0.566511590703618,-3.72295051745377,0.000196908124222075,0.113133942164952
"AL162586.1",52.0013071953005,-1.38649217915425,0.372919671631214,-3.71793789555135,0.000200855630019799,0.113133942164952
"WFIKKN1",50.6394640032928,-1.79795702532022,0.48632926957837,-3.69699530295388,0.000218166377371224,0.120474895802074
"UNC5A",35.4053577119317,2.57510883469816,0.69773495438509,3.69066909793503,0.000223664943651566,0.121136073231905
"FUT7",25.5342241220191,1.74677737911466,0.473923618266697,3.68577828111464,0.000228004789478815,0.12115658275645
"HSF4",409.065667934095,-1.41648383488298,0.385985009770855,-3.66978975614595,0.000242750039120745,0.123789512262469
"GRIN1",104.455370302338,-2.11344578059846,0.57630539675561,-3.66723232594452,0.000245190003935408,0.123789512262469
"NOP56",6084.14514023217,0.755262334585218,0.206004793353305,3.66623670396795,0.000246146102570688,0.123789512262469
"LTK",229.565010048136,2.0782505297047,0.570086612091082,3.64549962343732,0.00026687280588332,0.130025592997362
"AC004233.2",56.4408866196043,-3.58801071729498,0.9844658188971,-3.64462701337324,0.00026777986698317,0.130025592997362
"BCO2",27.9097785262334,-1.23950671311564,0.340584549684411,-3.63935097544553,0.00027332605948554,0.130469183276123
"TPRXL",49.3650537338312,-2.97796679761972,0.821191026045285,-3.62639958690378,0.000287400504984871,0.134901007031482
"LDHAL6A",4.15043835959743,1.59678934533477,0.4415349344548,3.61645075107467,0.000298670110262854,0.137757813981138
"SNRPB2",2376.16542092281,0.872820664378174,0.241692135293777,3.61129113000413,0.000304676409895307,0.137757813981138
