"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MDM2",1959.51448517393,-1.4306289598937,0.221571068047545,-6.45674984780375,1.06975504739782e-10,2.57789571321927e-06
"ANO4",9.85290206383379,-3.0114830253809,0.491493151752659,-6.12721258605942,8.94319477736172e-10,1.07756553872431e-05
"AC097478.1",88.2118316785367,-6.40141504509197,1.05808789728019,-6.04998418519553,1.44860053879499e-09,1.16361252612939e-05
"PTCHD4",32.4940568406176,-3.55111268032739,0.615247002009103,-5.77184881637968,7.84064494463249e-09,3.973571172934e-05
"VSIG1",42.8756879558262,-3.90403540204729,0.677386477682715,-5.76337959299496,8.24460779511578e-09,3.973571172934e-05
"TCAM1P",12.3202023857145,6.27129124084876,1.16623083082453,5.37740134722292,7.55685948277468e-08,0.00026964315087336
"FZD10",286.427092859164,4.5507637273935,0.847293289830587,5.37094272079436,7.832608748085e-08,0.00026964315087336
"MUC5AC",2076.52335756725,-4.90732790074058,0.93270473503193,-5.26139486208632,1.42966632091684e-07,0.000391253840488231
"ZNF541",27.9740963721853,3.399176593909,0.646553546491165,5.25737831360801,1.46123519146571e-07,0.000391253840488231
"TCP11",23.3283693216031,4.98939328920856,0.988926806792142,5.04526043276452,4.52904043741454e-07,0.00101787840753911
"TFDP1",5760.28375455561,0.880333432509683,0.174656477055182,5.04037094617192,4.64630362807295e-07,0.00101787840753911
"AL157394.1",15.9832741120406,-1.59849452981461,0.318552875284717,-5.01798807618958,5.22154169885102e-07,0.00104857259882426
"ASTL",8.86283634129636,-2.4010655779612,0.482120576565596,-4.98021800908246,6.35126851960117e-07,0.00111681477061304
"AFAP1-AS1",448.904366814968,-4.99236815236052,1.00330947146393,-4.97590055147803,6.49449861289654e-07,0.00111681477061304
"FDXR",1001.46204228213,-1.34651529511545,0.271326723279981,-4.96270798113011,6.95170618275191e-07,0.00111681477061304
"PHLDA3",1133.80931793955,-1.84510331302871,0.374129490411451,-4.93172380236464,8.15071111032604e-07,0.00122759897710398
"FREM1",754.876479017242,3.06475079381181,0.624018836164885,4.91131135182914,9.04693011776285e-07,0.00128242895281088
"HPN",176.407903803726,-4.07290764080066,0.834668712014259,-4.87966972066288,1.06263644068094e-06,0.00142263405264052
"H19",1613.81988727593,3.55505348982044,0.732758952454411,4.85160021302041,1.22469301174219e-06,0.00152295914981019
"DDB2",906.343516353426,-1.01744781696271,0.210228427410595,-4.83972519556331,1.300187872661e-06,0.00152295914981019
"RFC3",1327.94201519493,1.11194675170265,0.229948141665216,4.83564139136008,1.32716997867101e-06,0.00152295914981019
"AC005186.1",14.348334866219,-5.41336037413353,1.12316868785411,-4.81972159006333,1.43758698436558e-06,0.00157468050678372
"TNFRSF10C",103.581986142208,-1.7425933638108,0.365656074314812,-4.765662288193,1.88234315454434e-06,0.00197220457992215
"ZMAT3",920.092654004452,-1.15998861294267,0.248018289305949,-4.67702852152058,2.91061787506154e-06,0.00292250289805137
"PURPL",40.2314387606906,-4.75541452268958,1.01925311031148,-4.66558745279309,3.07736576130701e-06,0.00296633440463905
"SPATA18",262.180821461266,-1.64532185232026,0.35455077194046,-4.64058177991094,3.47429644168714e-06,0.00322013829429911
"EDA2R",68.585042124172,-2.37865817987613,0.513704917444085,-4.6303979173706,3.64963680743112e-06,0.00325736843649907
"CST4",19.3141670575291,3.35223733228315,0.727151186244732,4.610096766252,4.02481587077539e-06,0.00346392903049805
"AC012615.1",80.9364184186533,1.13576989040154,0.248129396711137,4.57732902854621,4.7095041513375e-06,0.00375193047718814
"DLEU2",156.034940608702,1.50213558644492,0.328335915666897,4.57499626074676,4.76228492087432e-06,0.00375193047718814
"SKA3",946.765671526168,1.1262551471944,0.246327297208313,4.57218976523724,4.82653518104541e-06,0.00375193047718814
"IL1R2",404.827958604434,-2.32882081127101,0.516693389462014,-4.50716200123211,6.57004712865332e-06,0.00493508610866485
"ANO7",346.260126524912,-2.25002977922995,0.499877016503423,-4.50116669689802,6.75814762992531e-06,0.00493508610866485
"AL133260.1",23.0706256723511,1.58799345745029,0.354006345801787,4.48577681242875,7.26487586008367e-06,0.00513320244893078
"AC008543.1",15.3238943975617,1.27372126692853,0.284296756294358,4.48025254853676,7.45547704011027e-06,0.00513320244893078
"IGFL2",102.429708217709,-3.04784000368634,0.681619432720781,-4.47146876596586,7.76842071202879e-06,0.00520009450884638
"AL161891.1",72.8361595642193,1.3840861496114,0.310747753733443,4.45405037681674,8.42653152291303e-06,0.00548817720646374
"SUPT20H",1640.30038473664,0.814520259706625,0.183364663318679,4.44207866971091,8.90939719627032e-06,0.00564996456936111
"SPRR1A",42.5335420075175,-5.60725171795423,1.26635953904818,-4.4278512895072,9.51764827818965e-06,0.00576040696812352
