"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL35P5",55.8398756262056,-3.10424427089932,0.522448304626283,-5.94172522603906,2.82037889474518e-09,0.000102360011226987
"PRH1",6.98653256362063,-1.95827672353495,0.372679019982295,-5.25459341292673,1.48351835546375e-07,0.00269206658374229
"ACSS3",80.1863465550394,-2.51175983488987,0.522979626701735,-4.8027871577536,1.56472185211111e-06,0.0140479566917966
"ABCA4",19.7661818805992,3.19026608745678,0.668639617561342,4.77127888277439,1.83059869057452e-06,0.0140479566917966
"MUC5AC",2250.65599463823,4.83246055393628,1.02197031403146,4.72857233481982,2.26104073399038e-06,0.0140479566917966
"NPC1L1",237.500338858222,4.08069699434414,0.864251868884551,4.72165249652385,2.33936132048595e-06,0.0140479566917966
"AC096637.2",2.71744625578461,3.2345574345885,0.689421781255827,4.69169603068899,2.70949485693042e-06,0.0140479566917966
"FGFBP2",6.78991793674717,2.70102410394525,0.614081915241974,4.39847524720042,1.09014057105224e-05,0.0494555896814989
"CES1",780.067664483383,3.41947386512317,0.783011558744383,4.36707967709512,1.25918802347485e-05,0.0507774565955251
"ALPG",65.1183208257607,3.73935609257118,0.86127842318009,4.34163447258366,1.41426678167162e-05,0.0513279843072083
"TAS1R1",3.9450233809955,-3.18277391674491,0.745937304393305,-4.26681156445657,1.98286505338668e-05,0.0654219285296025
"SLC26A3",5458.21853323945,3.55813753037976,0.855696498222535,4.15817703796939,3.2079736981308e-05,0.0970224911885511
"TMIGD1",57.639008616464,4.87221948598163,1.17747380164723,4.13785808156889,3.50563084208035e-05,0.0978691231935554
"H19",1604.31097371559,3.23174242307571,0.809511444006936,3.99221338623598,6.54594275105999e-05,0.169694214474443
"MRPL23-AS1",10.2772167808465,4.48219428568586,1.1357619201128,3.94642064178441,7.93281979408162e-05,0.19193721919107
"SULT4A1",25.9661306553252,4.05443245976927,1.04111582753151,3.89431449657465,9.84768184810562e-05,0.223376198320811
"BX547991.1",2.34682523137016,4.57471833484816,1.20629034372423,3.79238577067975,0.000149206889501273,0.304051760366947
"SLCO4C1",15.327003960931,2.88520165816198,0.763764227774573,3.77760773971933,0.000158342012460462,0.304051760366947
"BTN1A1",27.9063849123784,2.71950886275033,0.720151993616522,3.77629845762596,0.000159176244646957,0.304051760366947
"CPE",1227.6115752612,2.09093943753973,0.556650487261285,3.75628780606505,0.000172452360601335,0.312940676165213
"HS3ST5",8.01382411788149,3.28331385473505,0.881763003745101,3.72357860421663,0.000196418669011647,0.337592290422809
