"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CACNA2D2",265.986876115942,-3.68159087478201,0.591046353287446,-6.22893763628642,4.69608664136942e-10,1.19269602247079e-05
"MIRLET7BHG",83.4359565004009,2.29142703789269,0.373448364369294,6.13586042012158,8.46995009388767e-10,1.19269602247079e-05
"PRH1",6.98653256362063,-2.19308343105538,0.371155046160084,-5.90880672038466,3.44594720414199e-09,3.23494037034169e-05
"CD70",65.586028890589,3.40321706592458,0.589176723968516,5.77622456467991,7.63953978007154e-09,5.37880897065387e-05
"AL022316.1",19.1934039264548,3.79530960723123,0.662151800198236,5.73178175471997,9.93810944042028e-09,5.59773952341113e-05
"IGF2",29867.4554511331,-5.71406579355601,1.06649535262839,-5.35779718071311,8.42427306252913e-08,0.000395421337100013
"C16orf54",100.921185164433,-2.93734723334652,0.558858851795257,-5.25597335339809,1.47243610187481e-07,0.000592403113387147
"TMEM178B",213.857387136848,-3.82253103881937,0.735428190919739,-5.19769446700003,2.0177541047862e-07,0.000710325110663672
"MUC6",176.470960241542,4.74026043606602,0.981417108631701,4.83001610057005,1.365220107898e-06,0.00405641497812284
"ACSS3",80.1863465550394,2.49805978568114,0.519372107326239,4.80976885443716,1.51104929018795e-06,0.00405641497812284
"PCSK1N",178.852897444082,-4.55140927348455,0.948153179863137,-4.80028899353745,1.58436831159149e-06,0.00405641497812284
"FRZB",557.024145666516,-2.45970796056819,0.514510284701916,-4.78067792559915,1.74705059318504e-06,0.00410018215465585
"PRSS21",168.893296332862,5.27026098052328,1.11412648090099,4.73039737486647,2.2408078215972e-06,0.00485445159074168
"TCL6",20.144607529417,-4.95540630276295,1.05093777413408,-4.71522332218573,2.41445780872799e-06,0.00485702680480046
"PCAT18",2.51739637438735,-5.31176589930384,1.13590893791741,-4.67622511100449,2.92203838789328e-06,0.00548622447454923
"RPL29P11",22.2852478765917,2.32708213742926,0.505580472807537,4.60279275523984,4.16862991903615e-06,0.00733757027561344
