"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIRLET7BHG",83.4359565004009,2.26793161547878,0.374673731524736,6.05308412268301,1.42098612474024e-09,4.29066760365315e-05
"CACNA2D2",265.986876115942,-3.49478514093652,0.597360607872355,-5.85037763602131,4.90458172768698e-09,7.40469226337541e-05
"PRH1",6.98653256362063,-2.18718658564832,0.379298004227278,-5.76640678641099,8.09794647662576e-09,8.15058312872383e-05
"SSTR5-AS1",65.5738681288129,-5.39220089273452,0.975703933523173,-5.52647243438263,3.26733567875106e-08,0.000246643002049721
"IGF2",30248.0303532922,-5.56533523306405,1.02228004498662,-5.44404173822732,5.2085007308754e-08,0.000314541359137565
"AL022316.1",19.1934039264548,3.50218810300086,0.662140940562702,5.28918828070746,1.22860372019306e-07,0.000618294822187159
"C16orf54",100.921185164433,-2.87602990883844,0.564423991506427,-5.09551321722243,3.47797753432404e-07,0.00150025045212735
"AC096637.2",2.71744625578461,-3.39459269469532,0.675597264416414,-5.02458028397672,5.04534710240068e-07,0.00190430319696236
"PCDHA4",47.1051566212698,-4.66564748735361,0.952774325330453,-4.89690723533657,9.73567684464355e-07,0.00326631958137791
"SSTR5",59.4194381591959,-4.00008073397896,0.843149924414776,-4.74421051126274,2.09321085030682e-06,0.00584605910357894
"BTN1A1",27.9063849123784,-3.35573223543844,0.70785444437189,-4.74070942426042,2.12971187744224e-06,0.00584605910357894
"TMEM178B",213.857387136848,-3.48350423551045,0.74232298413644,-4.6927069617316,2.6961355353041e-06,0.00643644713315273
"CYP1B1-AS1",11.6497988188496,-2.07290458312534,0.442257934245575,-4.68709416522147,2.77111484454332e-06,0.00643644713315273
"PCSK1N",178.852897444082,-4.38773975685803,0.94981185508297,-4.61958832517914,3.84502175386418e-06,0.00829288798985206
"PCAT18",2.14062589791357,-4.95120641121322,1.07647490328212,-4.59946292859892,4.23581559421369e-06,0.00852669679115216
"TCL6",20.144607529417,-4.60948167275046,1.04933908467861,-4.39274753037742,1.11927079931769e-05,0.0211227386158735
"GJC2",182.210550082141,-2.87144962123414,0.662351497340906,-4.33523534371393,1.45604259990291e-05,0.0258618860612167
"AC069549.1",3.62748740786793,-3.32752996347872,0.778392729120147,-4.27487287457063,1.91246385756197e-05,0.0320815812106021
"KRT6B",498.906175126252,3.37572446160655,0.797950132651893,4.23049552029991,2.33177087642522e-05,0.0370567482177155
"FRZB",557.024145666516,-2.19695298319264,0.523621667563931,-4.19568768690116,2.72044899338389e-05,0.0410719786776133
"AC010998.3",8.09565503469473,-4.38774842089298,1.07947405581957,-4.06470947332001,4.80923297004372e-05,0.0691498997764144
"MRPL23-AS1",10.4823637149852,-4.32560641222377,1.07118426828207,-4.03815341608877,5.3873616527242e-05,0.0715181459600427
"VPS52",1876.16997309205,-0.532858651204679,0.132344712420512,-4.02629346846571,5.6662963157057e-05,0.0715181459600427
"TBX18",114.115875978082,3.10613108278795,0.773933916252413,4.01343191913418,5.98422679623491e-05,0.0715181459600427
"CCL25",49.518355370873,-4.60437934165982,1.14970884797857,-4.00482204669059,6.20641851107142e-05,0.0715181459600427
"KLK4",28.9220783211238,3.02230037263525,0.756301933443133,3.99615581950974,6.43793677166362e-05,0.0715181459600427
"TRIM63",3.10744396488693,-3.68424088747006,0.922170562625973,-3.99518379439354,6.46440837174436e-05,0.0715181459600427
"NEB",126.742847192303,-2.40529768408843,0.603874595683788,-3.98310791889635,6.80198485236904e-05,0.0715181459600427
"RHOXF1-AS1",13.0737828198472,2.24317832987508,0.563501346929855,3.98078610121638,6.86877374678337e-05,0.0715181459600427
"SPESP1",23.0372456688785,-2.90486618003892,0.737991106832296,-3.93618046768555,8.27887253803984e-05,0.0804336821122816
"PCDHB2",48.9881454587817,-2.23394788715488,0.56834179503497,-3.93064157285393,8.47194903666676e-05,0.0804336821122816
"KLKP1",1.47212199937058,3.71663686577262,0.946025208913308,3.92868692161163,8.54109485945432e-05,0.0804336821122816
"MUC5AC",1650.4396610386,-3.95946627058213,1.00961543191008,-3.9217568842933,8.79056635106902e-05,0.0804336821122816
"HSPA12A",248.892268148454,1.45831392164237,0.372849251156754,3.91126954692275,9.18122357217345e-05,0.0815373664005227
"LTF",194.443823852938,-2.22805612955198,0.570828394323389,-3.90319779413378,9.49300613165591e-05,0.0818975200415286
"REP15",56.3630700907293,-2.90819074826036,0.748717024887317,-3.88423216194135,0.000102653784249249,0.0861008615390578
"SLITRK6",432.97499354168,-3.49438939797538,0.90611512650151,-3.85645189642417,0.000115044724461235,0.0938858231109997
"AC010478.1",12.7924552099719,-3.09081088706986,0.803959300784786,-3.84448675953219,0.00012080500707969,0.0959922944413484
"NTF3",19.7073395294071,1.70159563845434,0.444426913248641,3.82874121194897,0.000128800354817283,0.0991544882572024
"NPC1L1",233.734523128659,-3.26875648018251,0.854820586199285,-3.82390940620194,0.000131352195074949,0.0991544882572024
"NKX2-2",6.12904637724963,-3.68087341220917,0.967131189090995,-3.8059711585445,0.000141248843274794,0.104024605431278
"PRH2",2.26262884474012,-2.36862953908325,0.633726418688576,-3.73762158122563,0.000185769264763251,0.13355483213158
"GALNTL6",38.8286653658394,-3.16849760701427,0.852663188785307,-3.71600140440925,0.000202400456950567,0.140560734636737
"GUSB",3805.71212361826,-0.836228141680297,0.225216867119345,-3.71299073811008,0.000204824385627304,0.140560734636737
"PRSS21",121.846991120235,3.98820853901475,1.07875470408665,3.69704857267941,0.000218120620293135,0.146358936216694
"KLK8",106.732158929575,3.35433584131911,0.915345194457871,3.66455831267654,0.00024776578760799,0.162636694713549
"TSPEAR-AS2",33.875543868321,2.4644671237562,0.675893306557563,3.6462369132018,0.000266108653310214,0.169605703675403
"MTTP",241.33675816266,-3.72032391403377,1.02140963807894,-3.64234267558991,0.000270168095443775,0.169605703675403
"B4GALNT2",342.733819458335,-3.54438905605929,0.974386553123117,-3.63755949289198,0.000275233630736703,0.169605703675403
"CYP2B7P",24.0370377518641,-2.17092346824576,0.598323316545997,-3.62834509070793,0.000285243821171542,0.172258743605494
"IGLJ3",27.7125700387542,-4.89773618348076,1.35766825754311,-3.60746165808126,0.000309207213016437,0.177902652722219
"MTUS2",14.1617223604457,-2.24567276387439,0.62272672119713,-3.6061930336911,0.000310722032283574,0.177902652722219
"ISL1",41.8682988647499,-2.85748174759917,0.792664527141611,-3.60490680452599,0.000312264964208564,0.177902652722219
"CNDP1",14.9759052350233,-3.22896803084424,0.89881790485038,-3.59246073472662,0.000327570024549364,0.181421465171535
"BLK",34.7019649913816,-2.65391188396955,0.739756255264636,-3.58754909483011,0.000333800895416414,0.181421465171535
"GCSAM",71.6928591589323,-1.24467713453009,0.347144364397826,-3.58547412022422,0.000336466370246926,0.181421465171535
"RFX6",18.0954904841354,-3.90159651405767,1.09233849321214,-3.57178341539955,0.000354558577817331,0.187822741354286
"SYN2",28.1507629662564,2.1788374225655,0.611995785121222,3.56021638634966,0.000370549326106496,0.192909256927339
"FOXP4",5464.35599031422,-0.882068753195632,0.248140116690415,-3.55472047390113,0.000378381126386727,0.19364776459741
"PRSS16",704.394490095133,-0.80448352060413,0.226829673444483,-3.54664144416286,0.000390175229147426,0.196355684068442
"AC110285.7",36.0414761033238,-2.01868439483612,0.570541306447395,-3.53819148942242,0.000402877771482893,0.197098451749655
"DRP2",76.6629297265539,-2.24381661524827,0.634384881092675,-3.53699572944343,0.000404706209918153,0.197098451749655
"LINC01929",8.43734547075273,2.38170829731033,0.675012486105097,3.52839146880538,0.000418093353460599,0.200373296054453
"SUMO2P17",11.0257940510722,1.87607889984566,0.532336027939682,3.52423807779216,0.000424702465556713,0.200373296054453
"TRAV1-2",4.0737332795157,-2.41473023106428,0.689119736657231,-3.50407933863222,0.000458188828208966,0.212846333350303
"AC005537.1",6.33676560576753,-3.52604414450599,1.00771212048629,-3.49905898006309,0.000466903289147574,0.213608254785015
"RPL23AP82",181.522888732281,0.655269035247095,0.187546157368547,3.49390808343477,0.000476004874328459,0.214521898214146
"FLOT1",5811.39607770305,-0.630391156125179,0.180746606989113,-3.48770672172645,0.000487182148077559,0.216330367076498
"HTR3C",4.50568935081069,-4.55571216727885,1.31187521562005,-3.47267187689464,0.000515304938543066,0.225501922018955
"ZBTB22",573.928719109462,-0.650220294124699,0.187548846785822,-3.46693837508498,0.000526422563924664,0.227076133110075
"NPAS3",13.2171655440048,-1.94637776751801,0.563250610877382,-3.45561590157198,0.000549037089430947,0.230321870453652
"TAS1R1",3.9450233809955,-2.57730658230895,0.7458488688144,-3.45553461307225,0.000549202671722568,0.230321870453652
"TSPEAR-AS1",21.4182176045853,2.17555508994967,0.634667833090816,3.42786411492571,0.000608349881636873,0.250858766719711
