"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",5595.00954660176,0.229832432958386,0.330447932833416,0.695517841457488,0.486730834088917,0.76725829131046
"TNMD",46.5178642532819,-0.57002837817066,0.720909363245929,-0.790707413764305,0.429114748796143,0.727609986424762
"DPM1",1903.90528567424,0.821164072518148,0.245556221182889,3.34409801780811,0.000825505658181039,0.0574737824592823
"SCYL3",535.397348353014,-0.193731030088673,0.150555390245253,-1.28677578247506,0.19817245025686,0.532024124026232
"C1orf112",383.17054013156,0.34111414922738,0.204573721428482,1.66743874455367,0.0954271951514933,0.40892227558276
"FGR",267.316528575046,-0.918533966297174,0.461503922548681,-1.99030587047781,0.0465572517329734,0.304527545690696
"CFH",808.12734653396,-0.834106779126542,0.446084833549221,-1.86983891043789,0.0615061911920145,0.337425511044867
"FUCA2",3211.17489462398,0.203840738852609,0.159220127753144,1.28024478895435,0.200459058378603,0.534455224414986
"GCLC",1808.87761116744,0.32724803423733,0.168405998835407,1.94320889101563,0.0519909242764558,0.318092915539233
"NFYA",1265.11818453205,0.183304762337717,0.147774186352747,1.24043831241375,0.214813317591234,0.551551660759064
"STPG1",342.19751719904,0.279675940878972,0.19766893809592,1.41487045750839,0.157106481239222,0.488820343364349
"NIPAL3",1438.61988516292,0.109993124749827,0.172668187580513,0.637020207897521,0.524111680843574,0.789029896319994
"LAS1L",2279.08595255848,0.356677745059589,0.222790117442009,1.60095855756452,0.109386098406306,0.431647257241798
"ENPP4",1016.1490250373,-0.0590217940002233,0.242422897353727,-0.243466251102934,0.807644226354417,0.929577177038671
"SEMA3F",1565.52294512688,-0.0252868826148206,0.35394974879828,-0.0714420131690274,0.943045973339716,0.980318184719388
"CFTR",6603.71085456445,0.286136788204187,0.443062738473608,0.64581550953699,0.518398842461835,0.786159066609997
"ANKIB1",1775.08951805474,0.177574980281616,0.161868941583217,1.09702935315929,0.272628560790975,0.60519994558782
"CYP51A1",417.946364299629,-0.0817161997927825,0.286997937415533,-0.2847274810706,0.775852934865708,0.915787628976512
"KRIT1",1042.96125348873,0.379383000840504,0.172411038747201,2.20045655775427,0.0277745188896911,0.248334487924552
"RAD52",318.287816542458,-0.0856389136556238,0.197446493657931,-0.433732258644158,0.664482878433164,0.866791189200095
"MYH16",12.654763741109,-0.11158412403969,0.416855274489376,-0.267680729664208,0.788945084178138,0.920863584526205
"BAD",1009.21563300921,-0.00923847780008628,0.190864491849551,-0.0484033342742899,0.961394802054945,0.985609775687464
"LAP3",3955.17664931166,-0.145612075630725,0.234043291396003,-0.622158724406025,0.533837503813037,0.794719296538396
"CD99",6400.61981219615,-0.0306826215607636,0.230124981209583,-0.133330251237782,0.893932204147424,0.962835102698831
"HS3ST1",544.062107877805,-0.630262825163652,0.303629940656033,-2.07575980090068,0.0379161720015175,0.281341402664616
"AOC1",7770.4205061317,-0.660683882685222,0.361596161807612,-1.82713190146288,0.0676799397347023,0.352510365797789
"WNT16",5.86897177522404,-0.590250194982546,0.749451569185711,-0.787576168028924,0.430944659251325,0.729208121990824
"HECW1",41.8004977038503,-0.546599256611034,0.506636635152074,-1.07887827031491,0.280641996845666,0.612294900189872
"MAD1L1",1040.65484055075,0.195152252161352,0.196833327048775,0.991459399113819,0.321461308212055,0.646861678559522
"LASP1",13361.267820895,0.124350284304932,0.160527709425305,0.774634390225279,0.43855573000772,0.734725225082001
"SNX11",867.942114874644,-0.24414364661923,0.162972367930141,-1.49806773823084,0.1341156520812,0.463838275145953
"TMEM176A",7568.32133758811,0.124462399337981,0.414879789689486,0.299996293941274,0.764179982514949,0.911733500278429
"M6PR",2760.44405226612,-0.29147492942587,0.151004097721043,-1.93024516436849,0.0535764678858735,0.322124322697065
"KLHL13",248.319991109851,-1.76150365376052,0.703063838425269,-2.50546757988003,0.0122289608785447,0.175233110373577
"CYP26B1",93.1637491073884,-0.595100137584469,0.480835286400144,-1.23763823998814,0.215850228673483,0.552851486206488
"ICA1",2520.69568134174,0.506253760235427,0.223534661777439,2.26476626134821,0.0235270268545275,0.231906729059094
"DBNDD1",912.928591943473,0.679158594525772,0.354013530118231,1.91845377858567,0.05505349758219,0.32452130505757
"ALS2",721.568434411616,0.267949724188214,0.180202662141008,1.48693543705,0.13703186372056,0.466663207076697
"CASP10",1280.69187826446,-0.144326905501609,0.248225909765909,-0.58143368529787,0.560948200133816,0.810110391162637
"CFLAR",2971.39015972253,0.0960441519047906,0.15023450331599,0.639294900870938,0.522631105031966,0.788127807237804
"TFPI",591.217204346167,0.203039458824946,0.411540455563759,0.493364518797569,0.621755048024441,0.844058756734338
"NDUFAF7",465.145591084008,0.339031665337728,0.150464156665594,2.25323873041223,0.0242441005904149,0.235685488291716
"RBM5",2305.53990786122,-0.033866654193881,0.163426307127794,-0.207228902060415,0.835831096612553,0.940764486098971
"MTMR7",25.9253296588107,0.384437124731041,0.288011998579602,1.33479551764156,0.181943280937866,0.515042776967542
"SLC7A2",176.684988045919,-0.0956325105697527,0.608076815003729,-0.15727044381583,0.875031712779935,0.956741159154425
"ARF5",5718.74643560304,0.141924472930403,0.213677294796176,0.664200064240716,0.506562272363432,0.778966559120158
"SARM1",268.639892088942,-0.294351195007895,0.236829678856239,-1.24288136702061,0.213911552886374,0.550223721672786
"POLDIP2",5185.64160919513,0.116994876763382,0.168768508726133,0.693226939352969,0.488167144624906,0.767677059681165
"PLXND1",2581.67670208646,-0.273586904744194,0.345267028413042,-0.792392213069656,0.428132018436795,0.7267840275091
"AK2",4697.9205701547,0.242263336395495,0.167952291505319,1.44245329565999,0.149174538098202,0.479835002169063
"CD38",172.47319072589,-0.837043394358806,0.530927510288121,-1.57656813432885,0.114894929762785,0.439128186285114
"FKBP4",8529.46208414561,0.145573873461845,0.251554033128589,0.578698228970279,0.562792811202719,0.811337394768952
"KDM1A",4265.31050084965,-0.0294877463890495,0.156389051069569,-0.188553777821262,0.850442562822286,0.946937128383066
"RBM6",2237.36852382641,0.386840829005464,0.226755254078912,1.70598397191203,0.0880110638377218,0.393808284331593
"CAMKK1",548.406890451344,-0.485355068312145,0.242614625128838,-2.00051859220936,0.0454442943400417,0.301324918933008
"RECQL",649.6527227995,-0.277326574969804,0.221838061112837,-1.25013071958262,0.211251799610515,0.547513562848926
"VPS50",862.72453096771,0.214991025363485,0.186286766682588,1.15408640770392,0.248464745349175,0.584869134377019
"HSPB6",324.813015870613,-0.0742223145077877,0.69301380735961,-0.107100773057575,0.914709033885123,0.970806543572827
"ARHGAP33",330.029534466905,0.21279316074486,0.317736534753578,0.66971574707294,0.503039011373519,0.777345500071048
"NDUFAB1",2652.17198173933,0.161241297574365,0.211029954305222,0.764068295921417,0.444826544368737,0.739096102370611
"PDK4",629.940967624084,-0.344884288719328,0.452597581070224,-0.762010896973434,0.446053500483968,0.740240316343615
"SLC22A16",3.32346084776583,-1.70507896381017,0.687279918073305,-2.48090904298517,0.0131047808409207,0.180183642530662
"ZMYND10",24.7313502090738,-1.38008134040934,0.496826608184721,-2.77779273024811,0.00547295173222937,0.127811065597308
"ABCB5",3.79163836729456,-1.48487235768966,0.949096101531371,-1.56451212400284,0.117697347993672,0.441919847309329
"ARX",23.6031030125152,-0.44474074963963,0.942207809424704,-0.472019808359666,0.636912649885014,0.853364326213675
"SLC25A13",1485.63369721051,0.340593513037775,0.194489718715031,1.75121602976256,0.0799087053121821,0.378433344210243
"ST7",996.273111151894,0.2242614864697,0.149315208009433,1.50193332252889,0.13311432973027,0.462739197842448
"CDC27",1791.4957430165,0.192813672584132,0.199513637915987,0.966418509522258,0.333834805778695,0.65508030286205
"SLC4A1",2.3028738606365,-0.949240259608009,1.05978297149743,-0.895693066540565,0.37041671447944,0.682741697153487
"CALCR",5.56821153001431,-0.351989910782792,0.791193161786353,-0.44488492543094,0.656402917088312,0.86343361918906
"HCCS",1354.43519542991,0.268262996769908,0.192025758422193,1.39701568671895,0.162408853956319,0.494731712274245
"DVL2",1106.16547978132,-0.415785377143144,0.18059082892352,-2.30236152977197,0.0213147925665071,0.221310661461194
"PRSS22",935.783998447557,0.352494689656485,0.406758942703448,0.866593583201132,0.386164730621769,0.695206109363886
"UPF1",5870.15078925316,-0.0603371103163713,0.15677530346225,-0.384863616806202,0.700338463052783,0.883401447095592
"SKAP2",1646.71405186489,0.245366297564869,0.26021135861351,0.942949988318188,0.345706484292821,0.66438597786686
"SLC25A5",26193.8102314747,-0.0727233621506136,0.274616310845087,-0.264818072629479,0.791149613849052,0.921732157451941
"MCUB",565.680874806104,0.0608428235724443,0.317093127722186,0.191876828140377,0.847838688642609,0.945980904052947
"HOXA11",563.543615529255,0.357791745996572,0.330845561843778,1.08144641264832,0.279498585547183,0.610973526763713
"POLR2J",1479.73204340625,0.259779591774711,0.208058444561916,1.24858951205609,0.211815250315538,0.548283720365783
"DHX33",1090.52536248985,-0.393136757174844,0.171045206209295,-2.29843773986739,0.0215368876154788,0.221449266869287
