"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",5595.00954660176,-0.201468925681103,0.252812982430375,-0.796908939344475,0.4255039187804,0.750223025408894
"TNMD",46.5178642532819,-1.07064987393363,0.551439328578525,-1.94155516019052,0.0521909756331791,0.298867443081189
"DPM1",1903.90528567424,-0.0149555972824998,0.187755000038163,-0.0796548548878053,0.936511765886058,0.982286504362918
"SCYL3",535.397348353014,-0.0558794154191277,0.115043459764628,-0.485724399574329,0.627162581760176,0.867367098196748
"C1orf112",383.17054013156,0.149073141946255,0.156134714963927,0.954772562787826,0.339692725348833,0.688644493693136
"FGR",267.316528575046,-0.755269514859337,0.3532021131198,-2.13834936656555,0.0324883986815303,0.242606636750672
"CFH",808.12734653396,-1.0312129541252,0.341330229557049,-3.02115917322479,0.00251808948997084,0.0739811421907343
"FUCA2",3211.17489462398,0.136071881841573,0.121772147189062,1.11743025792515,0.263810403753303,0.621779912371151
"GCLC",1808.87761116744,0.00535113104060806,0.128742299395876,0.0415646688440261,0.966845739065969,0.990526125685858
"NFYA",1265.11818453205,0.0235767958250216,0.11292571321277,0.208781464860878,0.83461884137407,0.949686871637429
"STPG1",342.19751719904,0.20493112666078,0.150835830054609,1.35863691396525,0.174261671827615,0.523537140892459
"NIPAL3",1438.61988516292,0.232284229741572,0.132031160271596,1.75931370491443,0.0785242400707565,0.362174895444379
"LAS1L",2279.08595255848,0.024051576805786,0.170394985590692,0.141151904924952,0.887749939880083,0.967581104275485
"ENPP4",1016.1490250373,-0.0145806024986441,0.185411385263926,-0.078639197252581,0.937319609164126,0.982600225130465
"SEMA3F",1565.52294512688,0.0537762736169258,0.270778370828172,0.198598852088709,0.842576551625499,0.952705367174542
"CFTR",6603.71085456445,0.373210369952595,0.338984938603744,1.10096446022004,0.270912125268614,0.62890811225133
"ANKIB1",1775.08951805474,-0.00372495283041366,0.123757581958197,-0.0300987848297802,0.97598826985864,0.993533942525125
"CYP51A1",417.946364299629,-0.102336361324304,0.219440412775296,-0.466351480249425,0.640963935340772,0.873225000984818
"KRIT1",1042.96125348873,0.106466727635453,0.131737388960909,0.808173962420385,0.41899044449976,0.746476479257937
"RAD52",318.287816542458,-0.0977467887940676,0.150810771206635,-0.648141959702195,0.516893137282313,0.808486863205978
"MYH16",12.654763741109,0.0322340090774726,0.316512142696772,0.101841303157692,0.918882640888032,0.978173875625665
"BAD",1009.21563300921,0.0220931029166469,0.145937626306249,0.151387297956216,0.879670208745549,0.965220399671983
"LAP3",3955.17664931166,0.000362501235735652,0.179054678935687,0.00202452813794302,0.998384661359293,0.999701722845704
"CD99",6400.61981219615,-7.67151792680133e-05,0.176059209978793,-0.000435735110235097,0.999652333693945,0.999957720060477
"HS3ST1",544.062107877805,-0.201307159058797,0.232327353765017,-0.866480661000447,0.386226627172032,0.724615623808585
"AOC1",7770.4205061317,-0.162425825387938,0.276663094854105,-0.587088875997686,0.557144018167756,0.830473615579784
"WNT16",5.86897177522404,-1.27633807824675,0.572510173549428,-2.2293718735752,0.0257891720505105,0.218977819363575
"HECW1",41.8004977038503,-0.448263961014802,0.387553883587955,-1.15664938476373,0.247415636857461,0.60528401068265
"MAD1L1",1040.65484055075,0.059979025445443,0.150477952893626,0.398590120958402,0.690195242008054,0.895741466282333
"LASP1",13361.267820895,0.0644970978591472,0.122810906097628,0.525174024918237,0.59946222016592,0.855020274830254
"SNX11",867.942114874644,-0.219098409783966,0.124605771640146,-1.75833275537757,0.0786909074643937,0.362378636969617
"TMEM176A",7568.32133758811,-0.117605751558395,0.317421828962311,-0.370503036740925,0.711007714308328,0.903436114209168
"M6PR",2760.44405226612,-0.0547164386257019,0.115514525691048,-0.473675828198826,0.635731092879304,0.871126439934121
"KLHL13",248.319991109851,-0.193482457319793,0.538108298354037,-0.35956044147919,0.719175870747834,0.905841818784333
"CYP26B1",93.1637491073884,-0.769484008535344,0.367853368313845,-2.09182265222277,0.0364543832269663,0.255374089576264
"ICA1",2520.69568134174,0.375498114408376,0.17097267144899,2.19624640140461,0.0280743117971617,0.227838516348786
"DBNDD1",912.928591943473,0.309362985328579,0.270728207545931,1.14270687983665,0.253160312394067,0.611001333620352
"ALS2",721.568434411616,0.137397003570024,0.137660526755689,0.998085702620235,0.318237802420284,0.671736383042023
"CASP10",1280.69187826446,-0.00832989087478507,0.189875085539179,-0.0438703732568761,0.965007731271218,0.989838467498669
"CFLAR",2971.39015972253,-0.0501002863121088,0.1148933259586,-0.436059152210125,0.662793812841538,0.883893543596303
"TFPI",591.217204346167,-0.0639562129517579,0.314749400595463,-0.20319725099003,0.838980861408733,0.951450139721901
"NDUFAF7",465.145591084008,-0.0100096641455135,0.114646368149727,-0.0873090382805757,0.930425869948545,0.980941826536686
"RBM5",2305.53990786122,0.0493675575143488,0.124995085793346,0.394955987277516,0.692875369891031,0.896543740058714
"MTMR7",25.9253296588107,0.222484435152688,0.21626963607241,1.02873634594825,0.303603585623583,0.661029306611348
"SLC7A2",176.684988045919,-0.749597719910687,0.464913993472515,-1.61233632550362,0.106888772688176,0.419868255269267
"ARF5",5718.74643560304,-0.0235177405844926,0.163466196946885,-0.143869136394812,0.885603807687781,0.966616089647647
"SARM1",268.639892088942,-0.0879560114328351,0.181066370975324,-0.48576668853004,0.627132594871614,0.867367098196748
"POLDIP2",5185.64160919513,0.0387765697613007,0.129100250721829,0.30036014294699,0.763902462204023,0.923808808867276
"PLXND1",2581.67670208646,-0.206937437543829,0.264155551218028,-0.78339234814349,0.433396748180851,0.754401828768623
"AK2",4697.9205701547,0.276658145122245,0.128471088945418,2.15346617977049,0.0312820593026301,0.238744465529519
"CD38",172.47319072589,-0.832332658121639,0.406320142692539,-2.04846516494621,0.0405144420282568,0.26740713779263
"FKBP4",8529.46208414561,0.0513807573168581,0.192455898026531,0.266974189119292,0.789489034124177,0.933786110551108
"KDM1A",4265.31050084965,0.0580118171815644,0.119629537301603,0.484928877015618,0.627726797592407,0.867662900928772
"RBM6",2237.36852382641,0.260384467716734,0.173437036437271,1.50131986261718,0.133272849984756,0.461827681712558
"CAMKK1",548.406890451344,-0.139670497600516,0.185610421630995,-0.752492755380889,0.45175478493589,0.766667270772011
"RECQL",649.6527227995,-0.264337351721627,0.16965465114382,-1.55809080352027,0.119211724437729,0.439016729750508
"VPS50",862.72453096771,0.0115214749469277,0.142358361282291,0.0809328995019903,0.935495315757358,0.98218308701238
"HSPB6",324.813015870613,-1.50240080158237,0.530036327989804,-2.83452420569042,0.00458939810019513,0.0995114937907326
"ARHGAP33",330.029534466905,0.0916120893421033,0.24287297125722,0.377201665825052,0.706023742425963,0.901101388605436
"NDUFAB1",2652.17198173933,0.121430246177544,0.161419735926266,0.752263937744338,0.451892350054871,0.766672184672182
"PDK4",629.940967624084,-1.00447715213434,0.346229629100691,-2.90118773122741,0.00371751091095729,0.0910823724727054
"SLC22A16",3.32346084776583,-1.51560058637048,0.545436317249257,-2.77869393445224,0.00545779230282258,0.107911644315167
"ZMYND10",24.7313502090738,-0.646786538181222,0.382588905035913,-1.69055226031845,0.0909223490326243,0.388432145501461
"ABCB5",3.79163836729456,-0.900401777744161,0.73482376518278,-1.22533023618281,0.220450820531827,0.578220137678986
"ARX",23.6031030125152,0.40183878217085,0.720873802433373,0.557432911023271,0.57723168473028,0.842604215340171
"SLC25A13",1485.63369721051,0.113216449286482,0.148697649427128,0.76138694675174,0.446425981699715,0.763835388699494
"ST7",996.273111151894,0.127105662754147,0.114067031533801,1.11430674617392,0.265147613842066,0.622984444605381
"CDC27",1791.4957430165,0.0805742826710122,0.152576154163682,0.528092237693793,0.597435318145293,0.853702012219924
"SLC4A1",2.3028738606365,-1.73911619650113,0.819753559376227,-2.12151100365391,0.0338788229365792,0.247250928446751
"CALCR",5.56821153001431,-0.598187057453981,0.602753600610904,-0.99242386415893,0.320990802482437,0.67445335255346
"HCCS",1354.43519542991,0.221102255877523,0.146820902858962,1.50593172751374,0.132084700779063,0.459528818665799
"DVL2",1106.16547978132,-0.263469152175982,0.138143474878447,-1.90721387606479,0.0564928973376458,0.310699490280606
"PRSS22",935.783998447557,-0.144493630988161,0.311115434858462,-0.464437359251871,0.642334429058657,0.87401586911715
"UPF1",5870.15078925316,-0.0101596668933612,0.119932681560653,-0.0847114127788696,0.932490822498675,0.981839629309871
"SKAP2",1646.71405186489,-0.106010111690541,0.199019326174857,-0.532662398813475,0.594267299269289,0.851673935246521
"SLC25A5",26193.8102314747,-0.0190829426067292,0.210110054182431,-0.0908235575921567,0.927632791158161,0.980333218274979
"MCUB",565.680874806104,-0.149360316817372,0.242463569876874,-0.616011373969374,0.537887013030385,0.819668772328961
"HOXA11",563.543615529255,0.197210992173164,0.252974350494399,0.779569121485028,0.435644537215633,0.755200654648327
"POLR2J",1479.73204340625,0.0196975385877396,0.159096067650906,0.123809085155773,0.901466438250936,0.972578753203963
"DHX33",1090.52536248985,-0.186384872460218,0.130836530127737,-1.42456294337865,0.154283578203527,0.494847575845966
"MEOX1",66.5693759620545,-0.907285935334008,0.387245174034955,-2.34292380168464,0.0191332902638922,0.191999436761363
"THSD7A",62.7679555071163,-0.778725861713004,0.390177896216512,-1.99582259595988,0.0459532363590519,0.282415123267628
"LIG3",1282.62422483691,-0.0633598592915675,0.128922592230526,-0.491456603496416,0.623103538273619,0.86510467721137
"RPAP3",1067.79006241507,0.230396663827943,0.151769413721403,1.51807046082996,0.128996636864336,0.454963875549423
"ACSM3",655.455723611499,0.489839792294647,0.317834077532817,1.54118084535498,0.123272778000993,0.445977759869934
