"","V1","V2"
"1","",",\"baseMean\",\"log2FoldChange\",\"lfcSE\",\"stat\",\"pvalue\",\"padj\""
"2","TSPAN6",",5595.00954660176,0.183569982333827,0.255094954841716,0.719614319490286,0.471762492988524,0.687194587779977"
"3","TNMD",",46.5178642532819,-0.781684194220788,0.556512191966568,-1.40461288270886,0.160136423687268,0.376806777130431"
"4","DPM1",",1903.90528567424,0.502383427125956,0.189462456794264,2.65162521180379,0.00801054052461147,0.0748055375972043"
"5","SCYL3",",535.397348353014,-0.114805100505349,0.116109791535053,-0.988763298835911,0.322778964721517,0.557351925591684"
"6","C1orf112",",383.17054013156,0.204226971065371,0.157585880682765,1.29597252101855,0.194984952153699,0.420770662908219"
"7","FGR",",267.316528575046,-0.824247712619753,0.356398181501461,-2.31271582011811,0.0207382686427249,0.12332233115849"
"8","CFH",",808.12734653396,-1.01801934229335,0.344411434826441,-2.95582329549065,0.00311835691343795,0.0441138844723245"
"9","FUCA2",",3211.17489462398,0.131824303725814,0.122876141371467,1.07282261840642,0.283350710441536,0.518706005689085"
"10","GCLC",",1808.87761116744,0.16107760237645,0.129916568499517,1.23985419440207,0.21502932880616,0.443453731995582"
"11","NFYA",",1265.11818453205,0.112133524306574,0.113963176192356,0.983945236111231,0.325142440146761,0.55961167886531"
"12","STPG1",",342.19751719904,0.123052723427425,0.152232523456433,0.808320854397721,0.418905900324742,0.642310799667775"
"13","NIPAL3",",1438.61988516292,0.163589427655071,0.133232742418529,1.22784703433621,0.219504395521583,0.448476282125738"
"14","LAS1L",",2279.08595255848,0.294719214919672,0.17194107408788,1.71407103557489,0.0865156805326153,0.266835171540187"
"15","ENPP4",",1016.1490250373,-0.102625549441912,0.187092696512691,-0.548527822597023,0.583329530505195,0.767871442683573"
"16","SEMA3F",",1565.52294512688,-0.196606545170007,0.273221786589741,-0.719585899880024,0.471779996051581,0.687194587779977"
"17","CFTR",",6603.71085456445,0.443856973817758,0.342041887114881,1.29766847435466,0.194401281234584,0.419952315950153"
"18","ANKIB1",",1775.08951805474,0.120039868065064,0.124886896310995,0.961188656383444,0.336457318967153,0.569975301449145"
"19","CYP51A1",",417.946364299629,-0.171877237687935,0.221438756834372,-0.776184079720483,0.437640304739983,0.658944483607466"
"20","KRIT1",",1042.96125348873,0.361111298726397,0.132952513875233,2.71609229642153,0.0066057499727679,0.0672949864462641"
"21","RAD52",",318.287816542458,0.00329372955665685,0.152224647010701,0.0216372947570395,0.982737283574581,0.991996512644877"
"22","MYH16",",12.654763741109,0.0980567675760146,0.319872856205925,0.306549198137926,0.759186526872206,0.879462704276873"
"23","BAD",",1009.21563300921,-0.0207110651228781,0.147267539470431,-0.140635643111539,0.888157788932274,0.947584800038163"
"24","LAP3",",3955.17664931166,-0.162110601092914,0.18067084356367,-0.897270405646743,0.369574644205305,0.599907667218243"
