"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GNRH2",10.7764738352491,6.66183858970412,0.644963352147209,10.3290188001001,5.20906840237266e-25,1.33194245174468e-20
"CBR1",7247.04390045821,4.51161790858167,0.43919489132124,10.2724735595382,9.3769048663781e-25,1.33194245174468e-20
"CRIP3",19.6776504804343,5.04097598840536,0.549762781928376,9.16936568663921,4.75810522718541e-20,4.50576704663701e-16
"CBR3",441.322228487883,3.99200618450868,0.47890179331354,8.33575117121162,7.70077165153526e-17,5.46928054621163e-13
"AC069542.1",4.36259578279147,5.83639235184124,0.708424499773509,8.2385523844915,1.74306743145359e-16,9.90376053203298e-13
"EYS",171.474081620771,4.56745662865382,0.559548597576303,8.16275234794237,3.27475482641833e-16,1.55054183106197e-12
"G6PD",7326.5964609031,3.25978796160572,0.447943804197965,7.27722524802483,3.40756049415216e-13,1.38293408683384e-09
"PGD",11174.0499695467,2.35472311655904,0.325296479337576,7.23869843705081,4.53011032677333e-13,1.6086988034163e-09
"AKR1C1",8892.87365027063,6.87642891411158,0.956017489885382,7.19278568317406,6.34825509768237e-13,2.00386198966731e-09
"EWSAT1",10.815182637556,4.51603161815276,0.6363476084766,7.09679985906449,1.27678747558958e-12,3.62722553940245e-09
"IL37",665.775154748913,-7.91541542838954,1.13205764827698,-6.99206037822987,2.70878248767727e-12,6.9958001538567e-09
"AIFM2",1446.009531715,1.87929188351443,0.26992408138162,6.96229796872952,3.34766492393073e-12,7.925317735329e-09
"SLC6A20",564.260396588137,-5.67840447911633,0.818608496355836,-6.9366547066084,4.01493534722452e-12,8.7738690984078e-09
"TRGC1",51.2669623239833,3.93507321551699,0.568400601089884,6.92306307905315,4.41980838167496e-12,8.93359580971865e-09
"POLR3H",2723.87017009726,2.45612586243606,0.355394747088486,6.91097964322058,4.81318129793248e-12,8.93359580971865e-09
"ADGRF1",4876.62000333648,-5.08503115478506,0.736460757182172,-6.90468718827773,5.03141726056878e-12,8.93359580971865e-09
"CACNB2",116.684724183593,2.95487272291205,0.428849309756005,6.89023546427821,5.57001143898408e-12,9.3081444100058e-09
