"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CBR1",7247.04390045821,4.11707255694183,0.407003652964303,10.115566597391,4.71282156077947e-24,1.53227967405623e-19
"GNRH2",10.7764738352491,5.8255555010382,0.585052037976754,9.95732878939167,2.34272606971926e-23,3.80845263523912e-19
"PAGE2",36.5899312014595,-21.3876947826929,2.21656325538102,-9.64903425641981,4.96208155310079e-22,5.3777385845322e-18
"PAGE1",13.6161942635962,-20.5002008005303,2.25950890357931,-9.07285683541927,1.15936566357216e-19,9.42361395493039e-16
"CRIP3",19.6776504804343,4.54792796124527,0.505206673741321,9.00211378358381,2.21412917936895e-19,1.43975964017646e-15
"AC069542.1",4.36259578279147,5.36410141804678,0.637961637394247,8.40818805337017,4.16393160854653e-17,2.25636513981122e-13
"EYS",171.474081620771,4.09529629528545,0.518065168855273,7.90498288918844,2.67970405852901e-15,1.24464597221362e-11
"COX7B2",21.0807455773132,-21.1173189296415,2.73542357225227,-7.71994478071056,1.16380113160129e-14,4.72983327396908e-11
"CBR3",441.322228487883,3.32394681605906,0.443566046336972,7.49369083478922,6.69633530361056e-14,2.41908833029211e-10
"AGA",1702.12258255055,1.86035737329362,0.25629150637796,7.25875546788548,3.90667988073622e-13,1.27017882962377e-09
"ADGRF1",4876.62000333648,-4.9017471268572,0.682654440804809,-7.1804222368763,6.9496449540304e-13,2.05412551263991e-09
"ODC1",10760.8514085044,3.29844622058286,0.460945042976776,7.15583402151706,8.31657204711876e-13,2.25330589139977e-09
"CACNB2",116.684724183593,2.8107279792189,0.396878539849772,7.08208607168035,1.42000408992954e-12,3.51012806079427e-09
"POLR3H",2723.87017009726,2.32952147609801,0.329333848837791,7.07343470559988,1.51145058441607e-12,3.51012806079427e-09
"HMGA2",1051.9642457922,-7.16949973316828,1.03197369665043,-6.9473667366125,3.72167336073012e-12,8.06685106516123e-09
"ODC1-DT",58.9000931286915,2.41383324606387,0.348362455151439,6.92908552678142,4.23569681814954e-12,8.60720066553101e-09
"SLC6A20",564.260396588137,-5.15846740333464,0.760024226542492,-6.78724075257651,1.1429838938443e-11,2.18599031415056e-08
"TRGC1",51.2669623239833,3.51979376857734,0.525497247273824,6.69802513112549,2.11254942632883e-11,3.81585108323495e-08
