"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CBR1",9726.24036187156,3.54062301067711,0.379544287188541,9.32861626479516,1.07262047898254e-20,3.16830637081864e-16
"CBR3",538.677206452271,3.313818541866,0.377140711877001,8.78669005362316,1.54030992926242e-18,2.27488373452766e-14
"SSX1",15.0768574818859,-16.6710221773646,1.91795908987883,-8.69206348839163,3.55915082350697e-18,3.50433990082496e-14
"PGD",13733.3246744524,2.0666556180646,0.248661129870095,8.31113258089136,9.47929440765979e-17,6.99998495533637e-13
"TRGC1",52.6145889775183,3.24238500087449,0.430641957562011,7.5291897223173,5.10561543801562e-14,3.01619337616211e-10
"IL37",519.557797378394,-6.46035212566364,0.860892790201152,-7.50424698545117,6.17827185467414e-14,3.04156323405608e-10
"TALDO1",12785.0649277765,1.51937928226725,0.203354070407962,7.47159513069557,7.92284590344289e-14,3.34321460422709e-10
"DCAF4L2",9.72993923538381,-16.3714652033239,2.2053730608922,-7.42344481014959,1.1411273067156e-13,4.21332729822067e-10
"EYS",189.853032893107,3.27896384561635,0.44619860857446,7.34866443463858,2.00197077362412e-13,6.57046807903435e-10
"G6PD",9389.50197599663,2.47267984270931,0.34406717559169,7.18661941075041,6.64152059076145e-13,1.96177235209912e-09
"AIFM2",1635.02073408044,1.43815507190735,0.204057586904513,7.04779025236797,1.817813684581e-12,4.71057554786258e-09
"HHLA2",1650.07520773895,-5.64719523049594,0.802086433177244,-7.04063177845575,1.9137012179007e-12,4.71057554786258e-09
"POLR3H",2882.14063800797,1.9891032969655,0.287850624466016,6.91019274547498,4.83995642136984e-12,1.09971255980325e-08
"THBS4",742.416643538337,-4.27651198735352,0.625854390576153,-6.83307819158482,8.31116241558134e-12,1.75353653879601e-08
"SLC1A7",1676.19398840493,-4.69138370200718,0.699967611100846,-6.70228683099921,2.0518277395497e-11,4.04045918472127e-08
"OLA1P1",54.9921078149685,1.71705875748788,0.257079168518856,6.6791049908112,2.40405893440463e-11,4.43819330027774e-08
"TFPI2",9708.71036743949,-5.02416534565863,0.753751568514412,-6.66554546023816,2.63684171607888e-11,4.58159003585517e-08
"TRIM16L",855.091463204409,2.45702074822906,0.36956720069692,6.64837340433803,2.96349710778899e-11,4.82226850844224e-08
"AP000688.1",18.1434101009789,2.73310740942076,0.411510197056328,6.64165172326615,3.10187222088166e-11,4.82226850844224e-08
"UGDH",8627.2879888588,2.23021240643336,0.337339307146857,6.61118452307267,3.8125689400404e-11,5.63078306754567e-08
"ABCB6",497.44645500367,1.70645574701032,0.259111835180464,6.58578851028485,4.52477522033361e-11,6.36441954562925e-08
"FXYD2",87.6167930076076,3.95659889772671,0.604673505607358,6.54336408166676,6.01501527005234e-11,8.07597822940027e-08
"AGA",1856.4764254007,1.53774077526937,0.236167119155955,6.51123992520697,7.45329849596101e-11,9.57197960755202e-08
"NQO1",15897.6207438277,2.64803943381401,0.415646899106556,6.37088701853915,1.87938054813446e-10,2.31304760961648e-07
"AKR1C2",17498.3820549477,5.07657370722221,0.803754163049393,6.31607765235331,2.68285280885864e-10,3.16984425072267e-07
"AL391427.1",46.0623151942306,4.24033910933691,0.674394602674776,6.28762314010067,3.22363292165459e-10,3.66229497076282e-07
"AKR1C3",8624.99097608146,3.45045750688796,0.556987352349688,6.19485791253962,5.83376324930665e-10,6.38213699474147e-07
"LHFPL4",136.702462893727,-5.60760665974345,0.91515926517839,-6.12746532009417,8.92900529853353e-10,9.1439082665948e-07
