"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SALL3",30.0464168219035,-9.25450350504092,1.28957429666864,-7.17640195601609,7.15699336799513e-13,2.2614667644191e-08
"PCSK1",1607.73323795831,-6.89736697131951,1.04633401569756,-6.59193610055889,4.34127453595416e-11,6.85877963935399e-07
"AC024940.3",29.1221721544176,2.36788761865688,0.372595607063162,6.35511416068703,2.08271887387305e-10,1.85928409767242e-06
"CRB1",14.0524254222946,3.67292906336189,0.579665778070945,6.33628756830347,2.35367314092337e-10,1.85928409767242e-06
"ZSCAN5B",1.85514642537673,3.51382928128494,0.583836286262891,6.01851814277732,1.7602098803819e-09,1.11238223600615e-05
"FXYD2",87.6167930076076,3.94393286182302,0.674510781017242,5.84710129595721,5.00212924650229e-09,2.63428799884966e-05
"SLC10A2",99.3037516105513,-9.202438884121,1.63435331432903,-5.63063005008743,1.7955249252243e-08,8.10499951246251e-05
"GNRH2",9.58558124133418,-3.61110767157817,0.670917598658766,-5.38234155550123,7.35230857510702e-08,0.00029039780794529
"AC023824.5",5.41853249344244,20.5214319422301,3.84814249881558,5.33281497463944,9.67018317382646e-08,0.000339509386585076
"BTBD16",55.1990847774414,3.16555096551333,0.600495802325431,5.27156218786988,1.35267438789845e-07,0.000427418053088151
"EYS",189.853032893107,2.68271410579247,0.512874583589727,5.23074098742726,1.68831925510201e-07,0.000484977380206483
"MTCO2P22",14.2626144660433,3.08011377345929,0.615943179870918,5.00064595910419,5.71385522309577e-07,0.0015045533111615
"MTRNR2L1",566.304032830991,-5.29700217157278,1.08032834662757,-4.90314096460424,9.43162500357965e-07,0.00224302171602085
"HOMER2P1",6.52361079082347,6.28822665936226,1.28880230626217,4.87912430696963,1.06557891601279e-06,0.00224302171602085
"LHFPL4",136.702462893727,-4.85956872534528,0.998529615558302,-4.86672468159913,1.13462917357113e-06,0.00224302171602085
"CGA",157.994567234612,-6.93672461555509,1.42880560757981,-4.85491138805431,1.20440588168945e-06,0.00224302171602085
"AC022148.1",25.0559273563351,-4.43291964554647,0.913152361426639,-4.85452355247794,1.20676527540839e-06,0.00224302171602085
"ERVH48-1",207.143718286326,-4.6561737666627,0.966384368686815,-4.81813853528054,1.44903749628946e-06,0.00254370482265302
"HSD17B2",349.431132133516,3.83654860135819,0.803198199294695,4.77659014266608,1.78292648543799e-06,0.0028635833529194
"AC246787.1",131.251638824838,1.36982236360445,0.286977258855718,4.773278443966,1.81250924293905e-06,0.0028635833529194
"USH1G",21.4592213297318,-4.24120057384226,0.893840363422217,-4.74491950397509,2.08589267465648e-06,0.00313857317779979
"AC092135.3",14.5747631512354,2.65408998839088,0.560803755455482,4.73265373594947,2.21603344104761e-06,0.00318282839410102
"GK-IT1",6.30986175787057,2.20570582310195,0.467244061720449,4.7206717084435,2.3506707335423e-06,0.00322941277558564
"RPL37P6",31.4325632246562,1.63227578791929,0.351804069756033,4.6397296911637,3.48865193398147e-06,0.0045931009920811
"SULT4A1",62.8632126575384,-4.19293644779616,0.916624117494848,-4.57432481621314,4.7775816066863e-06,0.00603848094432295
"MAGEC1",129.918920381279,6.79148769059762,1.49178188675145,4.55260098739166,5.29867116877968e-06,0.00643951583042693
"RPL10P3",33.7666160639305,1.6260430426675,0.359516679260884,4.52285842762683,6.10100497248896e-06,0.00713998352298911
"PTN",493.784797681791,-2.38869824965753,0.530224596778754,-4.50506872779849,6.63514643979805e-06,0.00747858907082537
"CYSTM1",3485.78904522409,1.46458833258066,0.326043557691033,4.49200205933385,7.05567412025264e-06,0.00747858907082537
"LINC01597",108.350301822892,-3.68231267154444,0.819994163389166,-4.49065717288141,7.10037572393066e-06,0.00747858907082537
"REN",33.1464225490807,-2.57141087831196,0.581091474497599,-4.42513957124419,9.63799494693465e-06,0.00982391497849164
"MAGEA10",169.252845874883,7.10520594466245,1.6230298616511,4.37774197046156,1.19915197079411e-05,0.0118185018646924
"NTNG2",176.134794270566,-2.28645832258351,0.52304446465786,-4.37144158303856,1.23428875731012e-05,0.0118185018646924
"TXNDC2",9.90538915941933,-2.87500700727158,0.659419841584817,-4.35990370014031,1.30119693915559e-05,0.0120901760578072
"OLAH",13.1168120661842,2.88491149687824,0.662649319150257,4.35360214446108,1.3391865371962e-05,0.0120901760578072
"LILRA2",372.499451467724,-2.58762965838048,0.59969337892558,-4.31492117357794,1.59659863612565e-05,0.0140137010289718
"SPP2",67.1710984452089,-3.93111838101814,0.913173843924238,-4.3048959485356,1.67064239317753e-05,0.0142672860377361
"TDRD1",124.710894308187,-3.55111735426043,0.828076403603883,-4.28839336419389,1.7997016407733e-05,0.0149057422847858
"MYBL1",381.018993876,-1.56033806723178,0.364266965751036,-4.2835014259795,1.83974919015965e-05,0.0149057422847858
"AC061975.6",27.3772918286538,-4.89428894129942,1.1509406202086,-4.25242523842141,2.11467823957075e-05,0.0167049007534891
"AC018521.5",141.951574725786,1.10217401981537,0.259654355568187,4.24477385485616,2.18813986299293e-05,0.0168636203392318
"CYP3A4",5.57740248363589,2.46839091989427,0.583333579425195,4.2315255060862,2.32111666896875e-05,0.0174625344062082
"INSYN2",70.7452631328138,2.38191793091494,0.56445608084553,4.21984634720726,2.44468880686983e-05,0.0175721346838616
"RPL26P6",28.2174927784774,1.03317224741647,0.245001267735661,4.21700776067488,2.47565458225229e-05,0.0175721346838616
"PDIA2",189.788767373259,-3.55530510607192,0.843574346350728,-4.21457233906181,2.50251933911568e-05,0.0175721346838616
"MRAP2",69.9297920373135,2.81941482898351,0.669854049163379,4.20899871024867,2.56504852742027e-05,0.0176196529063969
"COX17P1",6.51111337539687,1.47019606015389,0.351557004566977,4.18195638560743,2.89011419026276e-05,0.0191948463773132
