"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC02476",11.6784971482304,-18.6222260318965,1.81089259957333,-10.2834513964462,8.36763403817263e-25,2.64400500338179e-20
"FGA",17917.234680381,-7.1931991409401,0.87059384697937,-8.26240521443814,1.42766094214422e-16,1.57683584499775e-12
"COL25A1",439.68764460897,-6.70495594205833,0.812058822171063,-8.25673677693992,1.4970908079604e-16,1.57683584499775e-12
"PCSK2",4396.51042932654,-7.47391290380423,1.01436866947512,-7.36804391609568,1.73149754788422e-13,1.36779648795114e-09
"KLK14",548.323173600228,-6.37690118187164,0.880303079809881,-7.24398372347949,4.35693730536694e-13,2.75341009949969e-09
"TBX10",22.5031102682733,-5.53417849108383,0.80089458446978,-6.90999614480805,4.8466687540921e-12,2.2002356075108e-08
"GNRH2",9.05908233756003,-3.81299733123244,0.55187318573223,-6.90919115081361,4.87424813360833e-12,2.2002356075108e-08
"AC021683.2",48.9370919957163,-5.35661519975733,0.804174408353717,-6.66101177072179,2.71948858628272e-11,1.07413000436702e-07
"IP6K3",258.853818782093,-4.05375837720745,0.611860103305969,-6.62530267181078,3.46537377209052e-11,1.21665422722796e-07
"MT1L",160.292902378807,2.69760803088253,0.409994038254356,6.57962745597037,4.71628470664041e-11,1.49025164160424e-07
"HLA-F-AS1",129.362533693181,1.90524655619247,0.290571321497473,6.5568981356236,5.49385129752763e-11,1.57813375726617e-07
"SLC26A9",2971.97804881251,-3.36486910439308,0.519131071150699,-6.48173321033271,9.067487463567e-11,2.38762057394825e-07
"FAM87A",9.9281421243294,-3.55672790183524,0.553390021204614,-6.4271630595958,1.30007344158935e-10,3.15997850825696e-07
"PGC",76561.7412327602,-5.55882909716946,0.868512664248788,-6.40040073794147,1.54969671975596e-10,3.33707645303993e-07
"PIK3C2G",178.423431468073,-5.13981747723817,0.804098522855053,-6.39202452329921,1.6370363523605e-10,3.33707645303993e-07
"TM4SF4",1720.7351708804,-5.55602356508083,0.86987162187393,-6.38717648141195,1.68976591077407e-10,3.33707645303993e-07
"SNX21",1524.79892880768,1.72935501855317,0.272754038533602,6.34034615161203,2.29249498911279e-10,4.26107392152858e-07
"EYS",189.853032893107,-2.71612132882348,0.430411748825567,-6.31051855864706,2.7810206049761e-10,4.88192717089081e-07
"CPB2",289.989414272779,-4.24051152700966,0.67497145613882,-6.28250496882867,3.33160619406173e-10,5.50992956574884e-07
"SLC38A8",32.9512403915337,-5.58087841212669,0.890261689008158,-6.26880666778366,3.63825511053819e-10,5.50992956574884e-07
"BPIFA1",24534.190214262,-5.64298222425301,0.900833960722615,-6.26417571971468,3.74802644735449e-10,5.50992956574884e-07
"CPLX2",994.565743601623,-6.96569347771981,1.11263318805733,-6.26054799774756,3.83626971474379e-10,5.50992956574884e-07
"KLK12",1729.39308616214,-6.32153353671839,1.02423906498156,-6.17193168357841,6.74606507470346e-10,9.26792018393392e-07
"CTH",375.689781966366,1.69633112653937,0.27601126189172,6.14587649399916,7.95231449885889e-10,1.04698847306226e-06
"AC021683.1",32.5544407489342,-4.87802275422236,0.796571090554875,-6.12377578355803,9.13834694108127e-10,1.15501394657714e-06
"LILRP1",63.6722755464523,-5.9974238738357,0.984000383568546,-6.09494058537419,1.09478105496208e-09,1.30246927617221e-06
"MT1DP",12.5822374596199,2.73541648876994,0.448995074784427,6.09230845145302,1.11293975747357e-09,1.30246927617221e-06
"RNF222",9.83679082216436,3.30342410632856,0.545099077201568,6.06022692844701,1.35929636649367e-09,1.5339659495881e-06
"FGB",10247.4300437971,-6.40435438576021,1.06054603493414,-6.03873304392482,1.55328973672697e-09,1.69244307245168e-06
"ABCC8",56.092040800526,-3.98380478570107,0.667153238024519,-5.97134894750321,2.35299858265466e-09,2.47833497382406e-06
"AP000688.2",14.2921053177167,-5.38643337324504,0.903850648324296,-5.9594285662474,2.53121477560115e-09,2.58004272514339e-06
"NEUROD1",124.466596236038,-8.91565317752274,1.49904012333683,-5.94757474381451,2.72144509417166e-09,2.60929597220289e-06
"TBX21",137.97715027037,2.3591579906006,0.396673358918,5.94735677998554,2.72507016528564e-09,2.60929597220289e-06
"PPFIBP1",2238.4607858172,1.25514008240856,0.211941196755785,5.92211472625981,3.17827761959036e-09,2.95374165364165e-06
"AL672207.1",35.0286174467784,-2.03486785844329,0.344138591265426,-5.91293133083654,3.36072314298984e-09,3.03406085349123e-06
"TSPAN8",4852.83572004891,-3.52142750413751,0.59640092150895,-5.9044635531883,3.53796073587123e-09,3.08979596079036e-06
"CYP4Z2P",33.799865747572,-3.89236224922377,0.659636011626718,-5.900772821097,3.61802805713157e-09,3.08979596079036e-06
"AMBP",313.035760477587,-3.91520087145837,0.664891871815908,-5.8884775666838,3.89769441659237e-09,3.24103547830226e-06
"CACNA2D2",3097.84561493587,-2.90963727666871,0.495073313539373,-5.87718464537537,4.17302658263915e-09,3.38100753739056e-06
"PAH",210.131771105906,-4.95332770301128,0.844422901536222,-5.8659324539871,4.4661559603368e-09,3.52803990086806e-06
"KLK13",343.664166665623,-4.42092938789538,0.75696346136783,-5.84034714160017,5.20921622596792e-09,4.01465400751547e-06
"NEURL2",30.9910756189781,1.20426886140016,0.206734788040963,5.82518729823808,5.70485827656271e-09,4.27492135598485e-06
"BPIFB2",1319.98571749858,-5.37483859572399,0.923207078996432,-5.82192090810946,5.81750801656272e-09,4.27492135598485e-06
"LINC02289",29.4586349467238,-2.48968703884053,0.429442427561185,-5.79748734418146,6.73158590898262e-09,4.80895245061424e-06
"ATP6V1B1",277.027048951521,-2.99192525930772,0.516330350007118,-5.79459498994486,6.84862523823155e-09,4.80895245061424e-06
"UGT1A6",508.333101653035,-5.5280068826836,0.957296915775145,-5.77460011788239,7.71360540410099e-09,5.29857616432137e-06
"CIT",7181.95269721292,-2.37266602864905,0.41117457908545,-5.77045894696706,7.90559238393024e-09,5.31491293930697e-06
"IRX6",241.629584348931,-3.59848770987854,0.624728937967206,-5.76007847753555,8.40748373323953e-09,5.38088792177732e-06
"PTN",627.096618962502,-2.84779685737418,0.494693687181309,-5.75668728178138,8.57806055942497e-09,5.38088792177732e-06
"GCNT3",2726.55454922546,-3.09009967936973,0.536924325345338,-5.7551865942789,8.6546145170109e-09,5.38088792177732e-06
"FKBP14",1117.64439068019,1.08628168360598,0.188767651749253,5.75459658230492,8.68489410755881e-09,5.38088792177732e-06
"ERVH48-1",207.143718286326,-4.70740144714787,0.818642880685709,-5.7502502717728,8.91114384728804e-09,5.41489083243476e-06
"AC083809.1",124.750251472641,-4.87180838327494,0.848383976094221,-5.74245685980976,9.33126562785695e-09,5.56319493035894e-06
"ASPG",199.7660935642,-3.56898438021772,0.62276197609668,-5.73089642143414,9.99012591787214e-09,5.8457036806097e-06
"ST8SIA6-AS1",67.1766165532484,-6.10665826344586,1.0695970304938,-5.70930742078315,1.13436831007224e-08,6.51704906575687e-06
"KCNT1",50.7229182978044,-3.35005901815852,0.590225461890748,-5.67589715195754,1.37963655216101e-08,7.78459924556848e-06
"GKN2",806.988598409387,-4.19782803802399,0.744270076836156,-5.64019455930392,1.69858126417644e-08,9.41610013779773e-06
"SCN4A",124.737985437348,-3.57940579949245,0.639119745365207,-5.60052451117295,2.13704186069124e-08,1.16424566748486e-05
"GABRG3",44.5259466381324,-5.36455655455761,0.95864916078071,-5.59595394647693,2.19411943706091e-08,1.17508111817374e-05
"NELL1",464.765588462222,-5.14849645771484,0.920569857979133,-5.5927276057213,2.23529836937578e-08,1.17553146572318e-05
"RNF145",10629.1238742263,-1.28943877619888,0.23066463381012,-5.59010176332592,2.26936576394436e-08,1.17553146572318e-05
"CYP4B1",5084.32745314752,-3.13721071198295,0.564752877469476,-5.55501501123826,2.77587904552897e-08,1.41471332388104e-05
"ALDH3A1",3921.13104503579,-4.13502506051814,0.746006979156261,-5.54287717950693,2.97541571722114e-08,1.46995338117257e-05
"DDC",489.680803775289,-4.05706385780594,0.731956569390874,-5.54276582445619,2.97730920928681e-08,1.46995338117257e-05
"CATSPERB",227.835859349844,-2.46640672345682,0.448953288138065,-5.49368227969929,3.93638407933131e-08,1.91356714059555e-05
"MTCL1",515.613529137987,2.07029904033693,0.377897355483526,5.47846924646496,4.29021134046644e-08,2.05397118084937e-05
"HOXC10",352.237319453191,-4.8661853436116,0.891079720095006,-5.46099886898197,4.73463065384976e-08,2.23290834925888e-05
"AL133373.2",24.8588138248087,-3.06185614662573,0.561782409408927,-5.45025279422193,5.02982729916699e-08,2.30917729767176e-05
"NCKAP5",273.84159914134,-2.49968098480019,0.458811259676711,-5.44816835262833,5.08911771360852e-08,2.30917729767176e-05
"POLR3H",2882.14063800797,-1.46671803525713,0.269258673289992,-5.44724527286621,5.1155899372436e-08,2.30917729767176e-05
"ALOX12P2",166.627218935457,-2.59742973346974,0.477232700496924,-5.44269018188639,5.24818805544869e-08,2.31317434032262e-05
"ALG10",209.898122236605,1.04457392854143,0.191949427233508,5.44192261261968,5.27085741196368e-08,2.31317434032262e-05
"EDA2R",169.39976475378,-2.02933714756141,0.374025231067149,-5.42566912336746,5.77378299122607e-08,2.46208192995284e-05
"USH1C",289.876693572404,-4.13561467209184,0.762399203717202,-5.42447401824133,5.81254437402435e-08,2.46208192995284e-05
"ZBED2",220.763346202243,2.03580159736055,0.375365903057641,5.42351231365822,5.84391875265723e-08,2.46208192995284e-05
"AC021321.1",17.9767509452274,1.56549266983102,0.288790255079058,5.42086390485185,5.93117025279278e-08,2.46596207431245e-05
"HOXC-AS3",22.793936668134,-5.63568388950869,1.05067640401848,-5.36386262026451,8.14608696275341e-08,3.30130596850732e-05
"MYT1",120.053057155881,-3.74118981317375,0.697489826601993,-5.36379122746485,8.14930899245431e-08,3.30130596850732e-05
"GACAT2",2.37822163563414,3.91014963551073,0.73102254162997,5.34887696731241,8.85016772485634e-08,3.53984303506342e-05
"NPC1L1",223.633701096349,-3.7040864485954,0.69452429790112,-5.33327121857262,9.6459071880303e-08,3.80989219159227e-05
"TMEM59L",1275.94943393647,-3.44767048289992,0.647129141764334,-5.32763904512194,9.94976050768101e-08,3.88138929039141e-05
"TSC22D2",2020.69324012486,1.12465366825877,0.211940210282493,5.30646670001755,1.11770568351445e-07,4.26295191307283e-05
"PRDM8",219.400018868864,1.75693304947453,0.331113825626077,5.30613013863884,1.11977026642523e-07,4.26295191307283e-05
"NEDD4",787.37258153156,1.19181229390286,0.225361257610561,5.28845244537281,1.23355549260332e-07,4.6402245780095e-05
"MUC6",1290.58133644886,-4.5273737105549,0.857059069689447,-5.28245236608415,1.27465983705344e-07,4.73843547426053e-05
"ZEB1-AS1",198.683703402194,1.10759468866059,0.209974422074405,5.27490290349799,1.32826394404584e-07,4.88028884929774e-05
"MYRIP",129.917229533583,-2.23333466202101,0.426294908935698,-5.23894284263641,1.61499043289343e-07,5.86557099983524e-05
"ADGRD1",1846.72842281134,-2.11850223723251,0.405594216392697,-5.22320622831902,1.75851353846157e-07,6.31426258958055e-05
"TAF1L",9.126068735482,-3.61593651636894,0.694567381305194,-5.20602696540984,1.92926622686527e-07,6.74453705209046e-05
"B3GALT2",137.457031712633,-2.55875285548517,0.491526556971524,-5.20572656592674,1.93239013825428e-07,6.74453705209046e-05
"UGT2B4",118.923574311833,-4.27324792743938,0.821025444491187,-5.20476917751024,1.94237885859938e-07,6.74453705209046e-05
"TPSP2",21.1574366016558,-4.68762584466959,0.904472821877185,-5.18271608752232,2.18677783783926e-07,7.51063110000489e-05
"FAM71D",14.284689252394,2.23046433993984,0.434333825794823,5.13536871289757,2.81591399753864e-07,9.5674462897017e-05
"F10",172.458744777436,-1.81732314008234,0.354599413853896,-5.12500322640444,2.97532651339293e-07,0.000100015284223606
"SPINK1",10860.117496833,-3.72813482000084,0.728722684824125,-5.1159856796562,3.12106740654192e-07,0.000103809987275696
"HSD17B13",145.803609326888,-2.86247250036902,0.559986942474969,-5.11167722539704,3.19311067492228e-07,0.000105099907402286
"ANLN",2402.14547156558,1.75503456957352,0.343477647126884,5.10960344655324,3.22835691816483e-07,0.000105164558659971
"BPIFB4",44.1043681826239,-4.47200200318396,0.875695089511022,-5.10680264940285,3.27655635725212e-07,0.000105645538547401
"GREB1L",235.199015921344,2.39073911284767,0.469094854700165,5.09649400093243,3.46001522592885e-07,0.00011043390011
"LARGE1",1119.79916274461,-1.54775168471513,0.304893214782591,-5.07637300429521,3.84707719453028e-07,0.000119854058552793
"ANXA13",57.0347159035166,-3.65582376608845,0.720383209767368,-5.07483200124698,3.87838507693102e-07,0.000119854058552793
"ATP1B3",4040.2806557268,0.979930168605227,0.193165877432014,5.07299830401008,3.91595991228256e-07,0.000119854058552793
"AKR1B10",3836.27449428377,-4.61751244380491,0.910279839949927,-5.07262958175467,3.9235578144239e-07,0.000119854058552793
"AL355796.1",29.5795785527334,-3.31042409258232,0.652737397491328,-5.07160169664755,3.94481362411876e-07,0.000119854058552793
"AC023906.5",8.57295569734973,1.64097251347612,0.32440519398076,5.05840394643449,4.22780114610401e-07,0.000127228629156757
"MAPK4",235.101528347642,-3.44977051045808,0.683938008794763,-5.04398127622307,4.55943935770589e-07,0.000135914306438482
"MAOA",7081.57736007952,-1.79381049454721,0.355894532555455,-5.04028674356694,4.64834846379168e-07,0.000137269639961579
"CTNND2",473.049188735828,-3.8307810460155,0.760312557551094,-5.03842927223791,4.69367802122334e-07,0.000137324850106125
"MTMR7",367.335346464889,-2.72679074177165,0.541868459371584,-5.03220051769384,4.84881710397005e-07,0.000139519198495406
"MICE",34.9147067660166,1.81753321367325,0.361294322674747,5.03061659042308,4.88904972755866e-07,0.000139519198495406
"CASC10",88.5129687443336,1.64325669387058,0.326681907362991,5.0301429520083,4.90114280428827e-07,0.000139519198495406
"SLC5A5",240.204134801832,-3.65090215067497,0.726361545924815,-5.02628776421057,5.00065340849033e-07,0.000140513375807797
"AC021127.1",1.98821222145521,2.70359983478999,0.537991745136769,5.02535561043352,5.02500521117826e-07,0.000140513375807797
"NRXN3",387.557495082472,-2.00027696299856,0.398776261143369,-5.01603820965516,5.27478428754794e-07,0.000146204064840298
