"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTAG2",48.1090375531475,-23.2817315715971,1.83310808734816,-12.7006867365237,5.86131015952759e-37,1.91242827885066e-32
"ASCL1",1697.72454685706,-8.06897969391947,1.07734187553282,-7.4897113694098,6.90252386669864e-14,1.12607774361322e-09
"CALCA",5760.88115628133,-8.40713903781141,1.16370008319233,-7.22448950484598,5.0298770537552e-13,5.47049428366416e-09
"H19",3437.13392855963,-4.97401308496717,0.701403762433262,-7.0915118386472,1.32654728382936e-12,1.08206461941961e-08
"CLDN6",1077.96167462172,-5.9755514805398,0.849479349301053,-7.03436932923261,2.00164285628093e-12,1.30619206229469e-08
"MTRNR2L1",566.304032830991,-6.52474350172893,0.932888949448383,-6.99412669170002,2.66916281505763e-12,1.45149073882834e-08
"VILL",1275.63313640485,3.12862821333164,0.451023541490237,6.93672929575753,4.01281703091759e-12,1.87043134406827e-08
"TF",876.92817439784,-4.82782799111901,0.725852456736445,-6.65125253254047,2.90609156394783e-11,1.18524944435612e-07
"COL2A1",148.765789656719,-5.22396514252557,0.792204763763942,-6.5942107160595,4.27524142024919e-11,1.54991752288767e-07
"AC131206.1",50.0550527086278,-4.80622593725876,0.740589236067152,-6.48973236875802,8.5988986840647e-11,2.80564866263663e-07
"ELOVL3",54.225288532359,-3.2732045057207,0.514939104359724,-6.35648852069722,2.06417859665717e-10,6.12272902288455e-07
"LRRC66",66.8948688748125,3.73403971476307,0.596974671936539,6.25493825835213,3.97673204607193e-10,1.08127344332696e-06
"MUC5AC",18928.7819352926,5.84241126359598,0.948664720097123,6.15856280920602,7.34080699599276e-10,1.84242962050194e-06
"KRT20",102.620234843039,-6.94515385539441,1.14767390415679,-6.05150455215506,1.43499229278743e-09,3.34435203779058e-06
"FAR2P1",88.9026734701974,-6.91175014105342,1.1541100032435,-5.98881399661096,2.11376731722454e-09,4.59786666842681e-06
"ZFP42",93.9545361156522,-6.73199107945082,1.12836260592988,-5.9661593215445,2.42903116824788e-09,4.85486971529013e-06
"KIF1A",1856.86515539723,-5.17682752787385,0.86866244147022,-5.95953880440832,2.52950794286908e-09,4.85486971529013e-06
"MTND1P23",197.760112443573,-4.03603138619157,0.681654595359094,-5.92093329036445,3.20119702006241e-09,5.80270313169979e-06
"UGT3A1",37.2139845780501,-9.18915799077613,1.58126749097176,-5.81126093038754,6.20040320902029e-09,1.06477239949428e-05
"TKTL1",36.6977339742973,-4.53960294027369,0.783787353800254,-5.7918808185193,6.96025285643815e-09,1.13549565099932e-05
"MUCL3",625.723454792076,3.67065300428576,0.636100008455776,5.77055959045935,7.9008718821563e-09,1.22756975129046e-05
"CLDN18",3960.30006303931,4.11063040273708,0.714725497469965,5.75134148325221,8.85380731449323e-09,1.28045424611496e-05
"CAPN9",535.574994710165,3.03554466339471,0.528096932418631,5.74808236338777,9.02612714865882e-09,1.28045424611496e-05
"ERVH48-1",118.906010639224,-4.53469273443534,0.793139552202216,-5.717395787216,1.08168971778388e-08,1.47055717132719e-05
"LINC01970",11.7255517563792,2.14188810267087,0.37616117020381,5.69407018143408,1.24046055838696e-08,1.61894988396199e-05
"ALB",248.059538600404,-4.91357910692358,0.868393361344463,-5.65824121377009,1.52932095777204e-08,1.86749482650576e-05
"AC021683.1",32.4757500036054,-4.81498952980592,0.851238954615105,-5.65644876059868,1.54537085679954e-08,1.86749482650576e-05
"MEIOC",77.2191823761639,-2.84992406586859,0.507402386555869,-5.61669424776107,1.94645406443749e-08,2.19767273541473e-05
"TMEM178B",229.316897471553,-3.2757516354809,0.583280108647912,-5.61608665701689,1.95330726146338e-08,2.19767273541473e-05
"ECEL1",201.15420716746,-3.58038901402998,0.639373661209446,-5.59983814043462,2.14552039152445e-08,2.28275712829842e-05
"BTNL3",4.69469571221445,4.27236789075554,0.76320052708403,5.59796244779735,2.16885714653828e-08,2.28275712829842e-05
"AL590627.1",35.9496033792985,1.96208403626217,0.351554844816955,5.58116056481535,2.38918950940466e-08,2.37545222624081e-05
"KRT40",40.9634619607969,-4.41729983789397,0.791603588611283,-5.5801917796296,2.4025353520273e-08,2.37545222624081e-05
"LINC00668",42.6732434159745,-6.56722204599865,1.17908130631083,-5.56977878527013,2.55062966528499e-08,2.44770425643878e-05
"IP6K3",258.853818782093,-3.5544379082865,0.639953777868392,-5.55421036832675,2.78869476423931e-08,2.59970093621715e-05
"FAIM2",296.7058982519,2.91008766189456,0.525447056581443,5.53830804729896,3.05407732992322e-08,2.76801208668708e-05
"GABRR1",20.8348855476887,-5.57184454518852,1.0076576815196,-5.52950138462288,3.211422664897e-08,2.79096648343426e-05
"SLC30A2",54.4233615831546,-3.47272591620342,0.628277021771081,-5.52738011397263,3.25048199002397e-08,2.79096648343426e-05
"GRM4",42.806175314008,-3.38320227224976,0.614839218158709,-5.50258046710425,3.7427230976691e-08,3.13121972386532e-05
"MYO18B",34.5090090400373,-4.27963358135526,0.779173499561756,-5.49252969173403,3.96216911058505e-08,3.23194134350422e-05
"LPCAT4",1860.71617106028,1.40233778579149,0.256621111446211,5.46462361529218,4.63890023064076e-08,3.69165943232553e-05
"LINC00491",26.5442485373101,-6.41995970702061,1.18110408755164,-5.43555794504853,5.46252292300079e-08,4.24359995075404e-05
"HRASLS5",131.717942419478,-3.26083317184748,0.602869993028291,-5.40884968493441,6.34308384430466e-08,4.79479912530704e-05
"SCG3",65.009608526569,-3.6771919554799,0.680279665604401,-5.40541212886742,6.465954441385e-08,4.79479912530704e-05
"MUC17",17.7761724645675,7.6923778723414,1.42496262502338,5.39830149735694,6.72747458274087e-08,4.86573299835675e-05
"PADI3",95.6229361122014,-5.04345008055714,0.934871914370014,-5.39480329126776,6.8598663088271e-08,4.86573299835675e-05
"KLK12",717.042852658729,-5.24168874975978,0.986363544877287,-5.31415498573794,1.07153391693779e-07,7.43872524294599e-05
"INSM1",39.8011395998006,-4.08432202725687,0.770832918028671,-5.29858278198877,1.16704963539717e-07,7.93301989661226e-05
