"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LGALS4",2408.72649679169,-6.47461942539474,0.840396261540178,-7.70424586793,1.31618224051072e-14,4.15887264356576e-10
"REG4",420.047637532108,-7.85407699527475,1.04477766024483,-7.51746260868008,5.58495238989751e-14,8.82366628079908e-10
"ERN2",1256.12528615026,-4.87193645302083,0.687643368729158,-7.08497554775336,1.3906885514033e-12,1.46476589490805e-08
"PCSK2",1080.39027368052,-6.21613328051272,0.932195485022253,-6.66827224588449,2.58832323397394e-11,2.04464593867772e-07
"TFF2",366.225266789095,-8.63059282400348,1.32431383311599,-6.5170298823327,7.17131440351455e-11,4.53198385044506e-07
"C12orf60",73.087503517084,1.42033318944941,0.219434627133304,6.47269397726626,9.62708086852639e-11,5.06994168806161e-07
"CPLX2",655.381551504235,-6.92520136311107,1.10217745390347,-6.28319998615902,3.31673948790376e-10,1.47078755729269e-06
"CDH17",692.018502752167,-4.6373931131306,0.740184140686173,-6.26518842842486,3.7237484835564e-10,1.47078755729269e-06
"ONECUT3",22.8550151651921,-5.94827955439167,0.957638573203775,-6.21140346769004,5.25134469681542e-10,1.84368877477749e-06
"AP003733.4",24.8073704561764,1.66211436922087,0.274201479642457,6.06165353807783,1.34729188544525e-09,4.25717289962989e-06
"SLC6A11",99.7237296672195,-4.62524882067868,0.784146211037495,-5.89845204322172,3.66927577391767e-09,8.28943738571711e-06
"FZD10",381.586230350838,-4.17973686134604,0.708629891167085,-5.89833552527989,3.67186728173612e-09,8.28943738571711e-06
"MIA",25.6931589455009,-4.18159308164486,0.70909467280794,-5.89708714787857,3.69974483443821e-09,8.28943738571711e-06
"RGS6",58.1800265463212,-3.56376295771137,0.605956733399235,-5.88121686134212,4.07261148547519e-09,8.28943738571711e-06
"VILL",1275.63313640485,-2.71638950715994,0.462073733478796,-5.87869275041706,4.13519100304402e-09,8.28943738571711e-06
"ERVH48-1",126.745303390389,-4.61201950850883,0.784861849981532,-5.8762182269623,4.19744914777751e-09,8.28943738571711e-06
"SMIM24",139.888629979054,-3.92777007415015,0.673049356751764,-5.83578311864994,5.35385008322383e-09,9.95123264292391e-06
"APOD",2891.44805460665,-2.92756571636368,0.506223906478818,-5.78314393867169,7.33172771908891e-09,1.23145381871394e-05
"AL132639.2",23.6320027204445,1.4564449671903,0.252264373640505,5.77348654576901,7.76478090527102e-09,1.23145381871394e-05
"HNRNPCP6",2.60417815388236,2.04993556407486,0.355099827565769,5.77284302875419,7.79450483393848e-09,1.23145381871394e-05
"PRSS2",592.581336820018,-4.59987337949547,0.81404053710836,-5.65066869499542,1.59824869856054e-08,2.40483154176743e-05
