"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM129",3254.94534774239,1.40244215849016,0.208626359824026,6.72226730923699,1.7891832582441e-11,5.64648344469256e-07
"KRT14",822.735744799802,-5.62000767938753,0.854623172508847,-6.57600666606001,4.83250893453091e-11,7.62545747324306e-07
"GAK",6825.25355005251,1.47290002210325,0.22681419654165,6.49386169191039,8.36635616925504e-11,8.80112781151732e-07
"LETM1",2422.11935727229,0.986785910384207,0.166158390979749,5.93882683002435,2.87068891799697e-09,2.26490178907666e-05
"ATP5ME",3930.60462509379,1.4954396014843,0.256045283581933,5.84052781821996,5.20356951596994e-09,3.28438900708991e-05
"DGKQ",2003.13407692273,1.47150140002185,0.254688974877321,5.77764075076531,7.57553427307235e-09,3.9846047687315e-05
"FBN3",26.0423083698711,-4.21675116972251,0.739660321080742,-5.70092926380217,1.19156076424355e-08,5.37206659410888e-05
"CNTNAP2",261.32554607001,-3.0528262542361,0.559797832612001,-5.45344421930271,4.94034480044415e-08,0.000194890426946521
"SLBP",2064.57662925595,0.855672139350933,0.159069400926979,5.37923783181739,7.48018371602534e-08,0.000262296797660049
"L1CAM",1106.93822168574,-2.9468821833965,0.559113797268703,-5.27063041154084,1.3595598667757e-07,0.000385617813419334
"MYL5",468.040298881557,1.2851176575095,0.244103971978437,5.26463230849443,1.40470207015173e-07,0.000385617813419334
"TGM1",99.295969262474,-1.64521024913052,0.312971286474256,-5.25674501218452,1.4662738873323e-07,0.000385617813419334
"C20orf202",25.5535316517554,1.83960984296413,0.353065002052254,5.21039987614481,1.88434050704098e-07,0.000457445400474664
"CWH43",15.4208904496683,-4.31955020892766,0.831482291466413,-5.19499964492285,2.04720231061819e-07,0.000461483269434281
"TMEM213",29.9821653922017,-3.39046537849671,0.654838532775808,-5.17755936585588,2.24807420204163e-07,0.000472979824948212
"MAEA",3176.9961015415,0.850804552941688,0.166070017521402,5.12316771949542,3.00444876566242e-07,0.000592608741222127
"AC147067.1",105.486850584072,1.4284071936818,0.281836912860343,5.06820479682734,4.0158519766774e-07,0.00074550748548213
"DCBLD2",5094.07152417841,-1.9149102249644,0.391661786639499,-4.88919340687929,1.01249981874456e-06,0.00177519343220887
"C6orf15",177.694097498951,-4.50010030873157,0.938773663356114,-4.79359454188746,1.63819202909353e-06,0.00270113968597667
"CTBP1",7026.33694414747,0.863124396385217,0.180389815096937,4.7847734414573,1.71180309007045e-06,0.00270113968597667
"SLC49A3",686.296466991017,1.46501339488569,0.307393578961079,4.76592061498847,1.87993272409988e-06,0.00282518080189848
"GATA5",60.2316244651152,-4.41704686294901,0.95134659118255,-4.64294180889269,3.43483114997334e-06,0.00492726528463676
"IGKV1OR2-6",16.6973469576769,3.40016097131967,0.737055964059624,4.6131652644013,3.96582721883197e-06,0.00544163222604862
"AL355916.1",47.9260129585053,-2.3147055654732,0.505404196903599,-4.57990966369974,4.65176804492729e-06,0.00611688115541085
"KLHL25",1001.45927048947,1.10053160338613,0.241182977949262,4.56305669970478,5.04141924503336e-06,0.00636408599816032
"TRIP4",1303.05207265881,0.496078174251738,0.10952468574303,4.5293731809069,5.91589300578745e-06,0.00718075643729408
"CITED1",63.2289688922761,2.5218052800346,0.56418420963161,4.46982605500646,7.82832362334057e-06,0.00915015056403722
"MYH16",171.707987999595,-2.4224350997196,0.547950804421737,-4.42089888393547,9.82911636603741e-06,0.0110784672641348
"TACC3",2034.87455816319,1.13196059114534,0.257421875478973,4.39729758412781,1.0960702183732e-05,0.0119278896626344
"KLHL4",94.6544960622669,-2.04141149995091,0.466645605525047,-4.37465064661654,1.21627105201416e-05,0.012794766043505
"FOXH1",38.0433702177096,2.34139839986368,0.537305281068879,4.35766868921493,1.31455173326205e-05,0.0133825606935539
"ACTBP9",12.792445259238,2.48195304159598,0.571282119163515,4.34453128907678,1.39573349720321e-05,0.0137649854494487
"ETFA",3506.43299888954,0.591251844715659,0.138125712421048,4.2805342636956,1.86445178014904e-05,0.017830373857492
"HDDC3",457.449104469057,0.703984905696861,0.165887317251983,4.24375363565321,2.19811668885266e-05,0.0197084076648738
"COL20A1",5.40236095184203,-2.83678858109994,0.668577719163155,-4.24301992093109,2.20531850927734e-05,0.0197084076648738
"AL391845.2",32.2615049108686,2.00836580752375,0.473816456208834,4.23869998858495,2.24817857326105e-05,0.0197084076648738
"ARHGAP40",140.595938882449,-3.21153024556961,0.759359611704533,-4.22926133556234,2.34459861686109e-05,0.0199981588512214
"ADGRL3",153.396599177936,-1.69595099523935,0.402555435632966,-4.2129626012196,2.52042808356063e-05,0.0204549077603539
"LINC01419",1.52706677721527,5.35503709893867,1.27128423887677,4.21230511256087,2.52777782139422e-05,0.0204549077603539
"MTFMT",468.654363858324,0.424900214543379,0.10103791485545,4.2053541499868,2.60673648561395e-05,0.0205664991873727
"COL11A2",159.121848861022,-2.19539881512583,0.526423272954849,-4.17040607418991,3.0405735578715e-05,0.0234042587592358
"BTBD16",123.53275165187,1.97533716749942,0.474676332083164,4.16144019405909,3.16246823726559e-05,0.0237440219440764
"MME",755.436498207464,-2.14591793894438,0.516311519704591,-4.15624648501388,3.23518788173036e-05,0.0237440219440764
"KCNK7",43.5933851492334,1.51925872615909,0.36739287847028,4.1352427202314,3.54579666111608e-05,0.0252665368507897
"AZU1",28.4248829367139,-2.83532660592119,0.68630052671434,-4.13131929170345,3.60687176922528e-05,0.0252665368507897
"INTS14",1940.0775677835,0.456723799865369,0.11067993386562,4.12652758195441,3.68281851496031e-05,0.0252665368507897
"FCN1",558.705709506298,-2.47543461281442,0.600673955055176,-4.12109529967391,3.77075394080806e-05,0.0253194092804173
"POLR3K",610.678439049119,0.636465373343123,0.155021699977887,4.10565342422325,4.0317358157324e-05,0.0265078230434789
"VPS33B",920.02769118341,0.414679451621872,0.101898712640927,4.06952591327751,4.71089000367064e-05,0.0303410158420085
"LINC02332",5.42450930685721,2.00037131571289,0.49408734826557,4.04861877709465,5.15207855869188e-05,0.0320603585471325
