"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS3AP5",34.5397175446761,2.31992895461464,0.323227531680664,7.17738659993432,7.10565512507286e-13,2.1013553901378e-08
"SNHG5",4635.46167334971,1.64104681228887,0.251021144163154,6.53748439303683,6.25621709993277e-11,9.25075541481559e-07
"AL445524.1",167.115071559325,1.73959210101456,0.28597436213479,6.08303516451109,1.17928470171509e-09,1.16249954946068e-05
"RPL35P5",37.4040892915028,2.53703801262523,0.445660954314447,5.69275362372258,1.25006708429869e-08,9.24205847099132e-05
"FOXB1",5.39337066941714,-4.50567110859213,0.842266761321356,-5.34945852727655,8.82177733241805e-08,0.000521772842103198
"PRSS33",160.199426872395,3.43745245630041,0.665037751879175,5.16880800614299,2.35591767642745e-07,0.00114027882079907
"AC010442.1",1210.72955858848,1.90606788497299,0.370590028442192,5.14333289804185,2.6990673065274e-07,0.00114027882079907
"FAT2",78.1001048414931,-2.37723615193769,0.467943146432707,-5.0801815777412,3.77074278194552e-07,0.0012749146968654
"RPS24P8",24.701174475819,1.2975862819677,0.255694402150451,5.07475435932383,3.87996898244635e-07,0.0012749146968654
"RPL18A",20371.2915827598,1.15846166452312,0.233318676470209,4.96514759147896,6.86488427697667e-07,0.00203015222723031
"RNF103-CHMP3",9.21199769571901,1.84167548901189,0.374811681859107,4.91360215849459,8.94181062999606e-07,0.00240396514328067
"CRABP1",35.7600244330263,2.58750972632733,0.534643944076781,4.83968771178252,1.30043311534202e-06,0.00320480904333412
"IMPDH2",6976.41290374433,0.85824855648358,0.178446959651761,4.80954429348894,1.51274773488414e-06,0.00344126836644068
"C20orf27",1367.60317803365,0.902693116476648,0.189428315849704,4.76535470648887,1.88521705212133e-06,0.00398225170588457
"MAP3K20-AS1",207.075837138791,2.86423107642791,0.60379667049195,4.74370134253016,2.0984816637294e-06,0.00413722654943129
"PMVK",2665.5642683487,0.983668157105314,0.210492288363591,4.6731790734594,2.96572968895139e-06,0.00548159525570997
"COLGALT2",747.679120790695,2.20504236432007,0.474353441191502,4.64852190969954,3.34322114439119e-06,0.00550098401029955
"EEF1B2",14437.1456332663,0.912125430307239,0.196465010499506,4.64268638974538,3.43908153049085e-06,0.00550098401029955
"RPL13",58263.8120336362,1.03656783957426,0.22354062071676,4.6370446509928,3.53426085265923e-06,0.00550098401029955
"FXYD4",17.5516922619853,2.9542037636209,0.639936839294161,4.61639896662198,3.90455976675142e-06,0.00577347729910698
"AC136632.2",14.1336288688951,1.41273100319271,0.309207492935439,4.56887700159219,4.90344421720092e-06,0.00650268532040003
"SFXN4",957.839292105245,0.84406204415852,0.184901480901767,4.56492852324394,4.99664554421147e-06,0.00650268532040003
"SMC1B",20.3886780078893,-2.04676021571524,0.448615452769205,-4.56239347771246,5.05737538867213e-06,0.00650268532040003
"NOC2LP1",16.470333079857,-1.7602123019401,0.388059840611563,-4.53593007502681,5.73501806448394e-06,0.00706673705087432
"RPSAP12",13.5315689572995,1.34541343192917,0.297676804712931,4.51971201863256,6.19238061880966e-06,0.0072639307152847
"MTCO2P22",14.6352351599177,2.4327232408337,0.539026524549366,4.51317909237861,6.38630502814737e-06,0.0072639307152847
"AL009174.1",33.2330173072112,1.50466812616155,0.335503383452673,4.48480760663864,7.29797537195513e-06,0.007370361701042
