"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CGB3",35.1131090813311,-5.23691305349834,1.02797108627263,-5.09441668489638,3.4981662615804e-07,0.00520355352958051
"CNOT2",2932.14862731902,0.763688888056652,0.150540414134139,5.07298251070417,3.91628505838766e-07,0.00520355352958051
"SLC35E3",742.733828924626,0.892187014510981,0.178600329709707,4.99543878760539,5.87021418747097e-07,0.00520355352958051
"APOA2",123.516198146177,-7.24816683132795,1.5130987722956,-4.79028002932774,1.66548716067984e-06,0.0102488547655377
"PLEKHD1",23.3386443239062,2.09811370965087,0.440693650204832,4.76093474157314,1.92698356062454e-06,0.0102488547655377
"PCGF3",3323.10922334696,1.02043539760457,0.2172444585256,4.6971757278878,2.63783496115772e-06,0.0116913241870112
"SERPINC1",24.2230696183736,-3.39751919196802,0.731737648663074,-4.64308375846928,3.43247117270011e-06,0.0120230078891754
"TMEM213",50.1149985015595,-3.45366633025537,0.7455677623009,-4.63226349754849,3.61689403652853e-06,0.0120230078891754
"CGB5",417.260104527632,-4.74067796575779,1.0391208310348,-4.56220087613568,5.06201815266889e-06,0.0144443850722624
"AZU1",28.4248829367139,-3.209782162053,0.709272243447121,-4.52545858336877,6.0264683231391e-06,0.0144443850722624
"AL355916.1",47.9260129585053,-2.34118900645616,0.519139138368088,-4.50975246022806,6.49033144206665e-06,0.0144443850722624
"PRSS41",24.8001374404612,4.06131807817411,0.900743549790055,4.50885058141212,6.51797920005824e-06,0.0144443850722624
"ACTBP9",12.792445259238,2.61356483718917,0.58629987692752,4.4577270779681,8.28332703791165e-06,0.0158125460761053
"ZFP57",99.6581741868366,3.68395349358556,0.826617271267351,4.45666165181548,8.3245833514637e-06,0.0158125460761053
"KRT14",822.735744799802,-3.93455801368034,0.891305527162063,-4.41437632077527,1.01301609746963e-05,0.0175001983956737
"NSG1",302.787647592098,2.31195310208995,0.524727146294149,4.40601009194582,1.05292059688933e-05,0.0175001983956737
"RPL7P9",358.478719081323,-1.24767899709341,0.284136685338763,-4.39112251769199,1.12766973605654e-05,0.0176329414922014
"AC139887.2",71.0901066336595,1.16112420269548,0.265804783994482,4.36833447933575,1.25197649645583e-05,0.0176329414922014
"HTR3A",99.8041643789878,2.49710726075504,0.571817064686292,4.36696876495806,1.25982735438584e-05,0.0176329414922014
"AL391845.2",32.2615049108686,2.08811259489534,0.486420457900797,4.29281408908424,1.76422722324043e-05,0.0229878532105935
"PRSS33",160.199426872395,3.2612665984666,0.7608272033988,4.28647475260838,1.81530822931773e-05,0.0229878532105935
"PICSAR",21.1155851417263,-3.92949420067691,0.926644608060799,-4.24056231104632,2.22960527882408e-05,0.0269508605362586
"STARD4",886.94208786622,1.07656593819935,0.25493056251198,4.22297714166286,2.41096280138355e-05,0.0278759712074751
