"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC079062.1",9.12621237671974,-4.91871931609565,0.818760188279759,-6.00752135546555,1.88381000289323e-09,3.26817932489668e-05
"RPL35P5",29.747429652064,-2.12499097604759,0.354938577539614,-5.98692593737692,2.1384409637484e-09,3.26817932489668e-05
"PCK1",448.882101781811,-3.24718447035008,0.562614123706766,-5.77160141120543,7.85216790118355e-09,8.00031213558588e-05
"MMP1",15845.5324171012,-3.30552767938324,0.589735240504954,-5.6051045492091,2.08129294685728e-08,0.000118802112582115
"B3GALT2",128.30533840946,-2.44929874346467,0.438410647212159,-5.58676838493704,2.31333923050457e-08,0.000118802112582115
"SLC13A2",156.800892109694,-3.59768337627671,0.644126347815278,-5.58536906381674,2.33204434827158e-08,0.000118802112582115
"OTC",75.217854615852,-3.60391722022171,0.671438139503923,-5.3674597973901,7.98532999995517e-08,0.000348685138255185
"SMC1B",24.7258364682053,-2.53388449965342,0.479774459963704,-5.28140764276012,1.28195101651355e-07,0.000489801434634416
"G6PC",48.2405212735049,-3.98761493167228,0.769322092437761,-5.18328405081502,2.18012621208202e-07,0.000680751348027802
"ACE2",806.098522854604,-2.60267427802269,0.502514286827561,-5.17930404417696,2.22715222151345e-07,0.000680751348027802
"TRIM40",21.0279430698586,-3.37277951281813,0.660800705935753,-5.1040797664433,3.32408052176994e-07,0.000923671320258364
"AL136164.3",10.5080499783553,-1.87137931611402,0.382916421400831,-4.88717435848771,1.02293495466357e-06,0.00260558581868723
"DMRTA2",6.92728446166016,3.90650942266673,0.807499023105957,4.83778841940981,1.31291790307486e-06,0.00302372507662825
"WNT11",1082.17929607407,2.59746890726645,0.538267212219574,4.82561235070523,1.39573755487851e-06,0.00302372507662825
"UFC1",5312.31879939465,-0.758867801562453,0.157681880416109,-4.81265063277952,1.4894153182497e-06,0.00302372507662825
"ANPEP",9749.0621283769,-2.3885190996193,0.497557518459854,-4.80048840787846,1.58279137689106e-06,0.00302372507662825
"CYP2C8",141.820350931039,-2.17305185380563,0.460007508251867,-4.72394866349839,2.31308830392414e-06,0.00415893277045561
"ADH1C",1918.68351533973,-2.21910554091672,0.476618333847249,-4.65593827036438,3.22508560911452e-06,0.00502678680086826
"FBN3",11.9426617876613,-2.50651050725278,0.538985411158587,-4.65042365778483,3.31253849780626e-06,0.00502678680086826
"SIGLEC6",46.0938200211343,-2.13708094459849,0.459911584381682,-4.64672127681159,3.37252347215699e-06,0.00502678680086826
"SLC6A19",172.024319428197,-2.77429206960847,0.597808952659647,-4.64076701639491,3.47118318974223e-06,0.00502678680086826
"NTS",90.1283794683286,3.19655637398353,0.69134618984781,4.62366961867137,3.77010180994351e-06,0.00502678680086826
"NEB",699.321538103376,-2.28985858339572,0.495367570824366,-4.62254438574785,3.79061670397671e-06,0.00502678680086826
"C18orf21",439.478361552792,-0.710989939911709,0.15408884653473,-4.61415576727975,3.94696339792051e-06,0.00502678680086826
"AC245100.6",5.61963799292891,-2.91992134605455,0.643363360399574,-4.53852601155446,5.66488089455562e-06,0.00692610997691948
"PODXL",8895.81909278178,1.21892097278533,0.270101839580022,4.51281995961455,6.39713236153438e-06,0.0072887016329897
"COQ8A",2756.47856496942,-0.983724083070975,0.218050160023849,-4.51145774423362,6.4383610577348e-06,0.0072887016329897
"CEACAM20",13.1567898171249,-3.39623981008211,0.756152116407816,-4.49147696129758,7.07309530906656e-06,0.00772129397203316
"SLC19A3",549.75791702261,-2.00547142856731,0.447275764556305,-4.48374713652712,7.33435688052789e-06,0.0077304121520764
"AC108751.5",86.1220526437007,-2.25602338611168,0.505810580198292,-4.46021391096101,8.18778893548225e-06,0.00834226522006501
"MUC21",64.7164668352684,3.35083264185123,0.753685013702315,4.44593242658625,8.75114552280919e-06,0.00862862948548987
"SMIM26",1295.90570435419,-0.729782670962856,0.165452860832268,-4.41081929494523,1.02980232730512e-05,0.0095280654542709
"SECTM1",1083.95849175978,-1.51124476559656,0.34351843119321,-4.39931202627834,1.08594593388046e-05,0.0095280654542709
"TBX5-AS1",5.72092427181143,2.84530885632755,0.646814446011193,4.39895687839711,1.08772434659756e-05,0.0095280654542709
"ABCG5",33.0884778968589,-2.24647970279159,0.510760969324231,-4.3982994741431,1.09102365667566e-05,0.0095280654542709
"ERICH2",38.6158345670973,-1.44515152076773,0.329923984801021,-4.38025602060824,1.18539950890731e-05,0.0100647003859058
"AL392172.1",258.288110471893,-1.00961956957517,0.231769531434447,-4.35613587051985,1.32378622392715e-05,0.0108172322657744
"NAT2",20.7670947513209,-2.42117623739116,0.556658013124031,-4.34948600452768,1.36456991830167e-05,0.0108172322657744
"SAT2",1832.53298099996,-0.816696587926389,0.187876449113594,-4.34698756432531,1.38020041341753e-05,0.0108172322657744
"USH1G",4.5835812198573,2.98530396209047,0.694353957893937,4.29939791967958,1.7126273625105e-05,0.013087041990624
"AC010442.1",1210.72955858848,-1.61487213756167,0.376181464567917,-4.29280092100368,1.76433189524929e-05,0.0131396052081154
"GNAI2",17871.2113648877,0.49351308111695,0.115100232959813,4.28768099269841,1.80548131499329e-05,0.0131396052081154
"COA6",814.3091970339,-0.758951600950267,0.177531015859653,-4.27503665922949,1.91105847123272e-05,0.0133972637876106
"GBA3",108.181715646408,-2.37910921276797,0.556776385137211,-4.2730066796595,1.9285467730644e-05,0.0133972637876106
"GALNT9",33.16485170982,-1.86961829448582,0.438692279683505,-4.26179894443243,2.02787849685043e-05,0.0137742520299401
"C3P1",8.05382101706621,-3.58836922958666,0.843985636786588,-4.25169466538448,2.12158984195345e-05,0.0140975032845977
"LUZP2",109.120348183053,2.02605922918914,0.478405135510151,4.23502817758976,2.2852304870612e-05,0.0148231646211698
"PKIA",488.020797805049,1.21470908249875,0.287105541225048,4.23087996600736,2.32778872543398e-05,0.0148231646211698
"CDH26",68.750644612764,1.6133280713863,0.381930970882478,4.22413523485303,2.3985999457132e-05,0.0149623685593203
"HSPA6",463.896282753538,-1.79286355811437,0.425436396198361,-4.21417531300836,2.506925075762e-05,0.0150302484056476
"AQP10",27.5993137166959,-2.36075545383335,0.560204739689619,-4.21409403844268,2.50782787635944e-05,0.0150302484056476
"TPSG1",78.9679570472966,-2.04767201521823,0.487619529492671,-4.19932322511501,2.67713938979104e-05,0.0154590921512458
"LGALS2",817.613626883772,-1.90504172632588,0.453685462952481,-4.19903629692764,2.68053354713089e-05,0.0154590921512458
"GATA5",61.182074373534,-3.45063902633791,0.823076398373844,-4.19236784477765,2.76057900641814e-05,0.0154922427885971
"TST",3955.01586637906,-1.316091166949,0.314091352929325,-4.19015408948598,2.78765083220847e-05,0.0154922427885971
"LRRC19",137.218309253092,-2.18324768655689,0.527559693096118,-4.13838986398666,3.49751694376398e-05,0.0190901969469803
"MRPL24",2898.79100701718,-0.829117424629502,0.201878488460401,-4.1070122475785,4.00809984350806e-05,0.0214932596169592
"TDP2",2088.69997865358,-0.533293887150087,0.129991920730868,-4.10251563444629,4.08682229823086e-05,0.0215375535116766
"TTC30B",376.255282622355,-0.621897935947044,0.151920698911798,-4.09356947671827,4.24782715367385e-05,0.0216772374094446
"NAT8B",18.3419001446464,-1.80328029972629,0.44055843690213,-4.09316937023473,4.25516667070168e-05,0.0216772374094446
"MIS12",724.509168121806,-0.46850772042143,0.114625984977774,-4.08727323488014,4.36472957545271e-05,0.0218470009642575
"CGB3",54.1109046431262,3.83202354566455,0.938358631245611,4.08375158288658,4.43144035786155e-05,0.0218470009642575
"ADAMTS15",509.692407571741,1.46003765390046,0.358172638701011,4.07635172579232,4.57478040348016e-05,0.0221956726686944
"CYP4A11",29.4841841942488,-2.56767843391872,0.631452878163523,-4.06630252662144,4.77649227743344e-05,0.0228122285862548
"CCDC87",30.2532982756124,-1.30747582172686,0.322357738747012,-4.05597776808135,4.99250083601031e-05,0.0234770431620756
"MLC1",41.5888524813644,-1.7942365781655,0.443796141763391,-4.04292964566172,5.2787463625108e-05,0.0244469941388644
"RPS12",37319.6140693554,-0.8947915866998,0.221715737602153,-4.03576036765336,5.44257448185849e-05,0.0248295121809682
"ITLN1",367.498980643931,-3.24234867109897,0.804379123156992,-4.03087123690324,5.55704824628482e-05,0.0249789318670503
"MRM3",539.25966003223,-0.615357077890148,0.15304724211915,-4.02070020582978,5.80254111796639e-05,0.025704416204603
"HSPA1A",5064.91272684038,-1.49284924350111,0.37216401094335,-4.01126707474234,6.03937429009294e-05,0.0263273794773903
"OLFM2",742.057349427859,-1.25799390404461,0.313846321296629,-4.00831177133864,6.1154352643287e-05,0.0263273794773903
"C2orf70",195.722130272185,-1.562182887861,0.390448583635143,-4.00099514593395,6.30766519338847e-05,0.0264940115034614
"AC034206.1",4.58573183938019,2.06951165443704,0.51748406177572,3.99917950581051,6.35624582651226e-05,0.0264940115034614
"SLURP1",15.0657488468772,3.48744180584751,0.873152454609572,3.994081202471,6.49456045968443e-05,0.0264940115034614
"MGAT4EP",1.80996961179407,-2.1078593270472,0.527776063950473,-3.99385169397338,6.50085344094616e-05,0.0264940115034614
"COG2",1770.22340238799,-0.527966774603202,0.132649014460618,-3.98017864474937,6.88634983956896e-05,0.0276958117363506
"ZNF365",463.398584162041,1.3489650916173,0.339590847605084,3.97232464046273,7.11746292029675e-05,0.0282535547560767
"DERL2",1732.51351861964,-0.453907637468494,0.114530808536616,-3.96319246557468,7.39541125607127e-05,0.0287062883740156
"AC073316.1",8.977070567532,2.63498640503227,0.665292044761965,3.96064619407113,7.47472138330058e-05,0.0287062883740156
"AC011313.1",3.14215632764922,-2.10265729080758,0.531052097038431,-3.9594181108288,7.51326005993997e-05,0.0287062883740156
"DCAF12L1",8.73206722809179,-2.56822954242206,0.649653312912459,-3.95323088696098,7.71029719487314e-05,0.0290954251924065
"TEX19",1.69900224067732,-2.90970887037221,0.738417645421009,-3.94046497725991,8.13238236154905e-05,0.0303139511296473
"MYO1A",1023.98038973306,-2.11711653441807,0.539089000377399,-3.92721152339584,8.59363990456821e-05,0.0310511391131661
"LNCAROD",3.25391056736268,3.07227529555661,0.782351779983256,3.92697425143248,8.60211860003881e-05,0.0310511391131661
"SEPHS2",4698.75995136866,-0.581394533226085,0.148086053816511,-3.92605865469597,8.63491076561905e-05,0.0310511391131661
"AC136632.2",14.1336288688951,-1.22789558368778,0.313133787747593,-3.92131297143044,8.80677895798908e-05,0.031300930887197
"AL133406.1",1.24674050106016,-2.29858675191912,0.587136134737071,-3.91491277052546,9.04368977090945e-05,0.0315838719914745
"NEURL1B",2123.28932460271,0.862401366465069,0.220504526543864,3.91103702033761,9.19006831653121e-05,0.0315838719914745
"AC018742.1",5.60482927849393,-2.08666842433956,0.533555892623202,-3.9108712942529,9.19637704390901e-05,0.0315838719914745
"ADH1A",36.7299906423807,-2.15036456530776,0.550768992907898,-3.90429489131999,9.45004976625582e-05,0.0319766071644958
"TM4SF20",515.941475085631,-3.23100107674232,0.827928593379304,-3.90251176560353,9.51996091071492e-05,0.0319766071644958
"LINC02188",406.612708964167,-2.03107270891487,0.521360213132117,-3.89571865623007,9.79079880837829e-05,0.0325288648235751
"AC009407.1",33.5853324492747,-1.72472751162413,0.443764000262705,-3.88658726395811,0.000101663390896658,0.0334133678080351
"CD207",168.91199434161,-1.78131406505933,0.459448932244492,-3.87706650303284,0.000105723467571018,0.0343781224444226
"GLOD4",2534.48913796125,-0.362402793707753,0.0936528606006891,-3.86963934025403,0.000108996472850969,0.0349047657431109
"UNC13C",13.0219284588923,-2.37842509464365,0.614860890583436,-3.86823284920071,0.00010962695515732,0.0349047657431109
"LRRFIP1P1",51.8277498393213,-0.85136568232989,0.220260121153487,-3.86527383110182,0.000110964633872183,0.0349133931042466
"CRISP2",84.9670657935796,-2.62749846512944,0.680470507679047,-3.86129661091606,0.000112786880014413,0.0349133931042466
"PIFO",232.444622440497,-1.52393341761042,0.394733816575431,-3.8606609153265,0.000113080740604607,0.0349133931042466
