"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STK32A-AS1",27.6478669381855,3.83171775810553,0.713852745900455,5.36765849835346,7.97654022109772e-08,0.00227969519518973
"HSPA6",785.07738511249,-3.53602564281697,0.705912412363823,-5.00915634983129,5.46691483984609e-07,0.00781222130614006
"PNLIPRP2",10284.1187606456,6.94458953380966,1.42220878625521,4.88296064609145,1.04504734129601e-06,0.00995581767141334
"CELA2B",4302.93202882332,5.91825404930313,1.26219444893979,4.68886078074128,2.74730209529421e-06,0.0167020723380141
"PLA2G1B",19247.0650618466,6.09009121954969,1.31284713478856,4.63884260259329,3.50365750381139e-06,0.0167020723380141
"PIGO",1945.71690029267,1.12199545279528,0.241878078353609,4.63868185340469,3.50638327600017e-06,0.0167020723380141
"AL133410.1",59.5759991637365,2.30391652296676,0.50069850786579,4.60140481102515,4.19650931416983e-06,0.0171337480284248
"PRSS1",150158.438634783,5.82545741943036,1.27736073317626,4.56054211479078,5.10217277909307e-06,0.01822751225331
"CELA3B",21159.6866197981,6.5037822325606,1.43543888495411,4.53086669222323,5.87421983082359e-06,0.0184710892423743
"IP6K3",23.3455263183011,-3.12274848574768,0.692305722952342,-4.51064953273924,6.46294235212537e-06,0.0184710892423743
"RHCG",107.705950461465,-3.44029187086784,0.777524559253682,-4.42467293145061,9.65885057970048e-06,0.0231344234739007
"SYCE1",12.1684015728594,3.57772167367429,0.808807299364644,4.42345374044567,9.71354379589951e-06,0.0231344234739007
"AMY2B",1999.4736731385,3.33915151731083,0.760527986897721,4.39057020232957,1.13053807294076e-05,0.0233133086990538
"CTRC",33142.8453236922,5.75274834506968,1.31090639992115,4.38837459746606,1.14200952339662e-05,0.0233133086990538
"ABCC11",27.5842698909217,-2.26008156828502,0.519430630550978,-4.35107487959974,1.35471774274484e-05,0.0250056364808022
"PNLIP",95149.6997620151,6.4218598587174,1.48068131346874,4.33709792938032,1.44376309258396e-05,0.0250056364808022
"SYCN",7823.56177032311,6.6461190137465,1.53470633799197,4.33054770754539,1.48738915386157e-05,0.0250056364808022
"CA9",4981.23210718152,3.48789712947391,0.811804496012237,4.29647427010719,1.73536100071116e-05,0.0275536763335139
"AC011374.1",5.47150800894143,-2.6217305463492,0.615316061563584,-4.26078678929183,2.03708498304014e-05,0.030642046744888
"FGF19",803.888556481729,3.89347398856073,0.917604661190001,4.24308436218213,2.20468508380439e-05,0.0306721571481411
"AQP8",1088.68734772226,5.34247499638317,1.26056875515247,4.2381464513905,2.25372743215872e-05,0.0306721571481411
"CTRL",40.59295224839,4.17255614125553,1.00133284304953,4.16700218136072,3.08631545632821e-05,0.0400940435190274
"SAA4",22.0800336747964,-2.98765417462866,0.720915919425607,-4.14424774668464,3.40931008672778e-05,0.0423643835994261
"BX322639.1",44.5202528281642,1.67725188252493,0.407953461664846,4.11138043952394,3.93300524530853e-05,0.044728514061952
"GPHA2",84.5272958843276,4.72186273731204,1.15006324860021,4.10574178686193,4.03019478474408e-05,0.044728514061952
"CELA2A",22838.055265134,5.93517716173171,1.44811404378612,4.0985564549972,4.15734843025005e-05,0.044728514061952
"REG3A",55044.2025267122,5.31547627510077,1.2981083002705,4.09478644731962,4.22557690578273e-05,0.044728514061952
"TDRD1",50.3671086401274,-3.13998559023221,0.768829820710104,-4.08411004054455,4.42460612638767e-05,0.0451625868186284
"CBLN2",10.9526674835978,-3.36251397877935,0.826588734662466,-4.06794072768536,4.74304416308642e-05,0.0455271582993174
"PCDHA13",10.4721847448265,2.63981840080222,0.649212702943818,4.06618414709403,4.77891794604451e-05,0.0455271582993174
"ULBP3",47.229157419599,1.4682881881792,0.362169476756543,4.0541466976418,5.03176342569507e-05,0.0463896124859242
"GNMT",121.335873541102,3.00757722597939,0.751224039013345,4.00356893521343,6.23940090729079e-05,0.0557256493532409
"AC093720.1",10.6330767886587,3.92805784428467,1.00125667661411,3.92312774139788,8.74067764938611e-05,0.0756995658240772
"AC010343.3",7.29542911108878,4.50294034631559,1.15170700358184,3.90979679059981,9.23737972573748e-05,0.0776483272239933
"WFDC5",2.54284122703796,-3.59207800534934,0.921994724573006,-3.89598542118872,9.7800271841775e-05,0.0778771513302903
"CFAP44-AS1",1.72311952244051,3.07744956649062,0.790548835354124,3.89280134112409,9.90932955308256e-05,0.0778771513302903
"AC009078.2",1077.36820029999,4.48690844606636,1.15614046467618,3.88093712066647,0.000104054743581654,0.0778771513302903
"BIRC7",258.428687636381,2.85104184100359,0.734673576423403,3.88069195966358,0.000104159697183292,0.0778771513302903
"GAPDHP74",4.20585915472462,4.36096478949479,1.12517496669751,3.87581035711683,0.000106270430436715,0.0778771513302903
"CUZD1",6357.31516790637,4.16077589314774,1.08853660343306,3.82235735576126,0.000132181943928789,0.09444399893712
"AMY2A",6571.94262203567,5.81419060502633,1.52661483535439,3.80855109643725,0.000139783463635024,0.0974393022119268
"PTGES3L",33.0702420551106,-1.59592230555504,0.420296346864648,-3.79713580063306,0.000146377608155873,0.0996064771689247
"CELP",151.919176725151,4.56615164502588,1.21081790104179,3.77112994538415,0.000162510015682937,0.108012470888799
"CEL",51315.7962735605,4.86448991461816,1.29415529860079,3.75881466457505,0.00017072023624106,0.108986821284811
"CTRB2",66484.8441205516,5.38245298656896,1.43244665173221,3.75752421918131,0.000171602762694769,0.108986821284811
"CLCA2",46.1574768028986,-3.55122418474475,0.949065915132453,-3.74180984494543,0.000182699739625475,0.113512142576002
"LINC00640",3.60392650439271,-2.21540435249531,0.597414388244474,-3.70832105166627,0.000208638024696629,0.126869675443184
"AF131216.3",18.642224172982,4.38099773382236,1.18950637145638,3.68303847625334,0.000230470356989126,0.134508825072143
"TMED11P",114.199175925781,5.20669306992965,1.41375570979945,3.68288031223461,0.000230613450963436,0.134508825072143
