SFE_1	SFE_2	name	type_1	type_2	int_type	support_1	support_2	freq_1	freq_2	overlap	max_overlap	freq_overlap	r_overlap	r_freq_overlap	diff_overlap	abs_diff_overlap	direction	wMI_stat	wMI_p.value	ME_p.value	E.r.wMI_stat	MI_diff	wMI_p.value_FDR	select_score_good_cancer_cell_2017_criterion_1	select_score
KRAS_12-61	ATRX	KRAS_12-61 - ATRX	MUTATION	MUTATION	MUTATION - MUTATION	1076	180	0.3062909194420723	0.05123825789923143	72	180	0.4	78.367	0.43537222222222227	-6.367000000000004	6.367000000000004	ME	0.0011541847522233972	0.849	0.196	0.0035246257346490673	-0.00237044098242567	FALSE	FALSE	-8.12904636724721e-4
KRAS_12-61	ATR	KRAS_12-61 - ATR	MUTATION	MUTATION	MUTATION - MUTATION	1076	124	0.3062909194420723	0.03529746655280387	36	124	0.2903225806451613	54.645	0.4406854838709678	-18.645000000000003	18.645000000000003	ME	1.1480524856444241e-4	0.971	0	0.002894091960828016	-0.0027792867122635734	FALSE	FALSE	-2.85461335850599e-4
KRAS_12-61	PDGFRA	KRAS_12-61 - PDGFRA	MUTATION	MUTATION	MUTATION - MUTATION	1076	138	0.3062909194420723	0.03928266438941076	42	138	0.30434782608695654	60.254	0.43662318840579706	-18.253999999999998	18.253999999999998	ME	3.570852077483533e-5	0.996	0.002	0.0027639557543922555	-0.00272824723361742	FALSE	FALSE	-0.0013414347075062394
KRAS_12-61	FBXW7	KRAS_12-61 - FBXW7	MUTATION	MUTATION	MUTATION - MUTATION	1076	79	0.3062909194420723	0.022487902077996016	17	79	0.21518987341772153	34.937	0.4422405063291139	-17.936999999999998	17.936999999999998	ME	9.42419574556097e-4	0.54	0	0.00193759964586937	-9.95180071313273e-4	FALSE	FALSE	2.755662412349751e-4
KRAS_12-61	MAP3K1	KRAS_12-61 - MAP3K1	MUTATION	MUTATION	MUTATION - MUTATION	1076	65	0.3062909194420723	0.018502704241389126	25	65	0.38461538461538464	28.803	0.44312307692307695	-3.803000000000001	3.803000000000001	ME	2.6345107805170187e-4	0.86	0.221	0.0018122700582212659	-0.001548818980169564	FALSE	FALSE	-3.1034781667454954e-4
KRAS_12-61	NSD1	KRAS_12-61 - NSD1	MUTATION	MUTATION	MUTATION - MUTATION	1076	89	0.3062909194420723	0.02533447196128665	24	89	0.2696629213483146	39.273	0.44126966292134834	-15.273000000000003	15.273000000000003	ME	2.366931720862997e-4	0.909	0	0.0019540647548086376	-0.001717371582722338	FALSE	FALSE	-8.722207537644465e-4
KRAS_12-61	FLT4	KRAS_12-61 - FLT4	MUTATION	MUTATION	MUTATION - MUTATION	1076	98	0.3062909194420723	0.02789638485624822	31	98	0.3163265306122449	43.243	0.44125510204081636	-12.243000000000002	12.243000000000002	ME	1.4526658922431324e-6	1	0.009	0.0023769627937890725	-0.0023755101278968294	FALSE	FALSE	-0.0016860533735830845
KRAS_12-61	KMT2C	KRAS_12-61 - KMT2C	MUTATION	MUTATION	MUTATION - MUTATION	1076	204	0.3062909194420723	0.05807002561912895	58	204	0.28431372549019607	88.425	0.43345588235294114	-30.424999999999997	30.424999999999997	ME	2.80428627088547e-4	0.991	0	0.0037394102560979192	-0.0034589816290093722	FALSE	FALSE	-0.0019579564488431743
KRAS_12-61	PTPRD	KRAS_12-61 - PTPRD	MUTATION	MUTATION	MUTATION - MUTATION	1076	331	0.3062909194420723	0.09422146313692001	120	331	0.36253776435045315	139.617	0.4218036253776435	-19.61699999999999	19.61699999999999	ME	6.383947752097718e-4	0.995	0.006	0.004808926905309097	-0.004170532130099325	FALSE	FALSE	-0.0021339569773699864
KRAS_12-61	RET	KRAS_12-61 - RET	MUTATION	MUTATION	MUTATION - MUTATION	1076	89	0.3062909194420723	0.02533447196128665	32	89	0.3595505617977528	39.222	0.4406966292134832	-7.222000000000001	7.222000000000001	ME	1.372850534018255e-4	0.95	0.078	0.0022471979351168514	-0.002109912881715026	FALSE	FALSE	3.8391046879120253e-4
