cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Amplification,none,RAS_12-61,KDM5A,colorectal cancer,1421,52,"beta[1,4]",0.093,0.007,0.284,-0.432,-0.368,-0.108,0.097,0.283,0.586,0.657,1451.599,0.999,NA,0.327,0.13,1813,1397,28,24,3262,0.057,0.09,0.05,FALSE,3.65,3.95
multi,Amplification,none,RAS_12-61,PTPRT,colorectal cancer,1015,71,"beta[1,4]",-2.209,0.011,0.433,-3.102,-2.938,-2.491,-2.193,-1.897,-1.559,-1.414,1454.182,0.999,NA,-5.102,6.47,1267,1009,65,6,2347,34.67,8.41,7.43,FALSE,3.65,3.95
multi,Amplification,none,RAS_12-61,LATS2,colorectal cancer,1015,61,"beta[1,4]",0.471,0.041,0.292,-0.085,-0.08,0.288,0.483,0.677,0.927,1.038,50.657,1.056,NA,1.616,0.97,1305,981,27,34,2347,3.476,1.21,1,FALSE,3.65,3.95
multi,Amplification,none,RAS_12-61,BRCA2,colorectal cancer,1759,66,"beta[1,4]",0.466,0.007,0.251,-0.031,0.051,0.309,0.464,0.636,0.874,0.952,1398.795,1,NA,1.861,1.2,2287,1723,30,36,4076,3.092,1.1,0.93,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,IRS2,colorectal cancer,1127,57,"beta[1,4]",0.214,0.007,0.267,-0.316,-0.239,0.047,0.205,0.388,0.639,0.732,1333.871,0.999,NA,0.8,0.37,1420,1099,29,28,2576,0.479,0.31,0.17,FALSE,3.65,3.95
multi,Amplification,none,RAS_12-61,ERBB2,bladder cancer,130,58,"beta[1,4]",-0.831,0.014,0.505,-1.877,-1.7,-1.148,-0.807,-0.489,-0.044,0.123,1392.296,0.999,NA,-1.646,1,1174,126,54,4,1358,0.23,0.2,0.15,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,ERBB2,colorectal cancer,1767,86,"beta[2,4]",-1.334,0.008,0.276,-1.895,-1.811,-1.509,-1.323,-1.148,-0.895,-0.847,1261.652,0.999,NA,-4.832,5.87,2255,1752,71,15,4093,22.645,5.71,5.03,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,ERBB2,non-small cell lung cancer,1975,85,"beta[3,4]",-1.724,0.01,0.371,-2.51,-2.36,-1.96,-1.705,-1.475,-1.14,-1.049,1519.185,0.999,NA,-4.647,5.47,4467,1969,79,6,6521,20.907,5.32,4.68,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,ERBB2,uterine cancer,318,65,"beta[4,4]",-1.729,0.014,0.544,-2.95,-2.666,-2.045,-1.69,-1.365,-0.912,-0.797,1580.874,1,NA,-3.177,2.83,1464,316,63,2,1845,8.467,2.44,1.99,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,CCND1,bladder cancer,130,134,"beta[1,4]",-0.127,0.008,0.307,-0.763,-0.644,-0.326,-0.12,0.081,0.36,0.422,1631.337,1.001,NA,-0.412,0.17,1106,118,122,12,1358,0.01,0.04,0.02,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,CCND1,melanoma,423,70,"beta[2,4]",0.098,0.007,0.264,-0.419,-0.344,-0.08,0.112,0.278,0.528,0.603,1312.014,0.999,NA,0.37,0.15,1103,402,49,21,1575,0.22,0.19,0.15,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,CCND1,non-small cell lung cancer,1949,145,"beta[3,4]",-0.592,0.005,0.21,-1.015,-0.939,-0.733,-0.594,-0.451,-0.247,-0.19,1594.451,0.999,NA,-2.823,2.32,4388,1921,117,28,6454,7.822,2.29,1.86,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,CDK12,colorectal cancer,1422,55,"beta[1,4]",-1.062,0.009,0.336,-1.752,-1.62,-1.281,-1.054,-0.842,-0.512,-0.423,1556.642,0.998,NA,-3.159,2.8,1799,1410,43,12,3264,9.881,2.78,2.3,FALSE,3.65,3.95
multi,Amplification,none,RAS_12-61,ASXL1,colorectal cancer,1758,134,"beta[1,4]",-1.451,0.007,0.241,-1.94,-1.844,-1.612,-1.443,-1.292,-1.063,-0.988,1254.11,1,NA,-6.014,8.74,2203,1737,113,21,4074,41.503,9.93,8.73,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,FLT1,colorectal cancer,1758,145,"beta[1,4]",0.364,0.005,0.171,0.047,0.093,0.242,0.364,0.48,0.644,0.714,1251.178,1.001,NA,2.132,1.48,2246,1683,70,75,4074,4.149,1.38,1.14,FALSE,3.65,3.95
multi,Amplification,none,RAS_12-61,GNAS,colorectal cancer,1767,118,"beta[1,4]",-0.881,0.006,0.216,-1.323,-1.241,-1.018,-0.88,-0.735,-0.531,-0.477,1267.381,0.999,NA,-4.084,4.35,2237,1738,89,29,4093,16.353,4.28,3.68,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,FLT3,colorectal cancer,1767,170,"beta[1,4]",0.28,0.004,0.154,-0.025,0.024,0.178,0.283,0.384,0.533,0.57,1532.981,0.998,NA,1.827,1.17,2241,1682,85,85,4093,3.087,1.1,0.93,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,EGFR,colorectal cancer,1767,53,"beta[1,4]",-2.226,0.012,0.466,-3.193,-3.009,-2.519,-2.214,-1.915,-1.457,-1.327,1412.946,1,NA,-4.772,5.74,2278,1762,48,5,4093,23.537,5.91,5.13,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,EGFR,non-small cell lung cancer,1975,296,"beta[2,4]",-2.78,0.009,0.337,-3.465,-3.362,-2.992,-2.771,-2.542,-2.253,-2.161,1446.408,0.999,NA,-8.245,15.78,4258,1967,288,8,6521,110.377,25.09,23.41,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,DNMT3B,colorectal cancer,959,86,"beta[1,4]",-1.717,0.021,0.298,-2.375,-2.221,-1.866,-1.776,-1.511,-1.244,-1.143,208.557,1.018,NA,-5.757,8.07,1203,948,75,11,2237,31.775,7.76,6.86,FALSE,3.65,3.95
multi,Amplification,none,RAS_12-61,FGFR1,colorectal cancer,1767,69,"beta[1,4]",-1.052,0.008,0.282,-1.605,-1.516,-1.244,-1.052,-0.863,-0.59,-0.519,1347.215,1,NA,-3.726,3.71,2273,1751,53,16,4093,10.61,2.95,2.44,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,FGFR1,non-small cell lung cancer,1975,109,"beta[2,4]",-1.604,0.009,0.345,-2.381,-2.215,-1.809,-1.573,-1.365,-1.092,-1.004,1487.064,0.999,NA,-4.648,5.47,4445,1967,101,8,6521,26.552,6.59,5.75,TRUE,3.53,4.16
multi,Amplification,none,RAS_12-61,NCOA3,colorectal cancer,874,69,"beta[1,4]",-1.554,0.015,0.352,-2.283,-2.131,-1.784,-1.537,-1.311,-1.041,-0.943,576.815,1.008,NA,-4.416,5,1095,864,59,10,2028,22.639,5.71,5.03,TRUE,3.53,4.16
multi,Amplification,none,KRAS_12-61,KDM5A,colorectal cancer,1284,52,"beta[1,4]",0.109,0.008,0.288,-0.459,-0.373,-0.08,0.109,0.314,0.565,0.647,1233.394,1.002,NA,0.377,0.15,1948,1262,30,22,3262,0.087,0.11,0.09,FALSE,3.53,3.53
multi,Amplification,none,KRAS_12-61,PTPRT,colorectal cancer,925,71,"beta[1,4]",-2.539,0.015,0.55,-3.783,-3.49,-2.856,-2.503,-2.16,-1.729,-1.607,1407.792,1.003,NA,-4.615,5.4,1355,921,67,4,2347,33.54,8.16,7.4,FALSE,3.53,3.53
