cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Amplification,agecat,RAS_12-61,KDM5A,colorectal cancer,601,24,"beta[1,4]",0.275,0.011,0.351,-0.365,-0.273,0.031,0.271,0.497,0.868,0.993,1070.543,0.999,50-65,0.784,0.36,781,587,10,14,1392,1.702,0.72,0.46,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,KDM5A,colorectal cancer,424,19,"beta[2,4]",0.068,0.012,0.391,-0.823,-0.592,-0.163,0.093,0.332,0.668,0.736,1034.31,1.002,>65,0.173,0.06,512,417,12,7,948,0.216,0.19,0.07,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,KDM5A,colorectal cancer,1025,43,mu_beta[3],0.16,0.013,0.436,-0.762,-0.506,-0.075,0.17,0.422,0.796,0.941,1107.077,1.002,overall,0.367,0.15,1293,1004,22,21,2340,0.267,0.22,0.08,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,PTPRT,colorectal cancer,196,18,"beta[1,4]",-2.382,0.023,0.545,-3.613,-3.347,-2.687,-2.322,-2.033,-1.597,-1.491,541.688,1,40-50,-4.373,4.91,249,196,18,0,463,12.003,3.27,2.38,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,PTPRT,colorectal cancer,411,29,"beta[2,4]",-2.382,0.023,0.53,-3.599,-3.306,-2.68,-2.323,-2.012,-1.585,-1.488,523.075,1,50-65,-4.496,5.16,553,410,28,1,992,16.185,4.24,3.26,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,PTPRT,colorectal cancer,316,18,"beta[3,4]",-2.192,0.018,0.516,-3.222,-3.042,-2.512,-2.171,-1.857,-1.377,-1.234,808.798,0.999,>65,-4.244,4.66,342,312,14,4,672,3.601,1.24,0.83,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,PTPRT,colorectal cancer,923,65,mu_beta[3],-2.312,0.02,0.5,-3.413,-3.164,-2.624,-2.264,-1.973,-1.552,-1.44,617.531,0.999,overall,-4.621,5.42,1144,918,60,5,2127,33.31,8.1,6.77,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,LATS2,colorectal cancer,196,14,"beta[1,4]",0.519,0.01,0.319,-0.113,-0.017,0.307,0.523,0.739,1.026,1.129,1065.607,1.001,40-50,1.63,0.99,260,189,7,7,463,0.099,0.12,0.03,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,LATS2,colorectal cancer,411,23,"beta[2,4]",0.548,0.008,0.299,-0.037,0.059,0.34,0.553,0.76,1.036,1.129,1360.879,1.003,50-65,1.83,1.17,572,397,9,14,992,2.892,1.05,0.72,FALSE,3.65,3.95
single,Amplification,agecat,RAS_12-61,LATS2,colorectal cancer,316,18,"beta[3,4]",0.508,0.009,0.315,-0.13,-0.014,0.296,0.512,0.722,1.008,1.114,1276.673,1,>65,1.615,0.97,348,306,8,10,672,0.246,0.21,0.08,FALSE,3.65,3.95
