cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Amplification,race,RAS_12-61,KDM5A,colorectal cancer,1100,38,"beta[1,4]",-0.138,0.009,0.345,-0.801,-0.705,-0.368,-0.13,0.086,0.431,0.511,1475.066,1.001,White,-0.399,0.16,1487,1085,23,15,2610,0.029,0.06,0,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,KDM5A,colorectal cancer,1100,38,mu_beta[3],-0.075,0.049,1.937,-4.325,-3.18,-0.999,-0.088,0.784,3.169,4.118,1534.16,1.001,overall,-0.039,0.01,1487,1085,23,15,2610,0.029,0.06,0,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,PTPRT,colorectal cancer,762,64,"beta[1,4]",-2.274,0.014,0.489,-3.307,-3.131,-2.566,-2.272,-1.939,-1.526,-1.396,1263.683,1.001,White,-4.652,5.48,1019,757,59,5,1840,29.436,7.24,6.2,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,PTPRT,colorectal cancer,762,64,mu_beta[3],-1.907,0.056,2.009,-5.682,-4.652,-2.937,-2.112,-1.077,1.812,3.105,1294.714,1.005,overall,-0.949,0.47,1019,757,59,5,1840,29.436,7.24,6.2,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,LATS2,colorectal cancer,762,49,"beta[1,4]",0.45,0.013,0.285,-0.101,-0.013,0.262,0.46,0.646,0.919,1.01,511.775,1.004,White,1.581,0.94,1055,736,23,26,1840,2.343,0.9,0.65,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,LATS2,colorectal cancer,762,49,mu_beta[3],0.408,0.057,2.024,-4.084,-2.896,-0.354,0.427,1.141,3.774,4.829,1255.335,1.003,overall,0.202,0.08,1055,736,23,26,1840,2.343,0.9,0.65,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,BRCA2,colorectal cancer,1402,56,"beta[1,4]",0.553,0.007,0.278,0.016,0.097,0.366,0.555,0.742,1.009,1.095,1429.782,1.002,White,1.991,1.33,1914,1371,25,31,3341,3.655,1.25,0.91,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,BRCA2,colorectal cancer,1402,56,mu_beta[3],0.518,0.051,1.966,-3.532,-2.679,-0.391,0.549,1.436,3.885,4.642,1506.315,1,overall,0.264,0.1,1914,1371,25,31,3341,3.655,1.25,0.91,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,IRS2,colorectal cancer,846,43,"beta[1,4]",0.063,0.009,0.303,-0.545,-0.428,-0.141,0.07,0.271,0.561,0.672,1141.13,0.999,White,0.208,0.08,1141,827,24,19,2011,0.016,0.05,0,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,IRS2,colorectal cancer,846,43,mu_beta[3],-0,0.053,1.985,-4.221,-3.263,-0.845,-0.016,0.864,3.193,4.074,1414.579,1.001,overall,-0,0,1141,827,24,19,2011,0.016,0.05,0,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,ERBB2,bladder cancer,113,51,"beta[1,4]",-0.605,0.023,0.657,-2.115,-1.758,-0.994,-0.525,-0.152,0.313,0.46,848.618,1.001,White,-0.92,0.45,1059,110,48,3,1220,0.365,0.26,0.17,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,ERBB2,colorectal cancer,1408,70,"beta[1,4]",-1.189,0.012,0.317,-1.831,-1.712,-1.408,-1.181,-0.961,-0.679,-0.59,666.1,1.005,White,-3.745,3.74,1890,1395,57,13,3355,15.101,3.99,3.33,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,ERBB2,non-small cell lung cancer,50,12,"beta[1,4]",-1.387,0.029,1.069,-3.58,-3.179,-2.087,-1.351,-0.661,0.333,0.583,1402.62,0.999,Asian,-1.297,0.71,372,49,11,1,433,0,0,0,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,ERBB2,non-small cell lung cancer,1767,65,"beta[2,4]",-2.29,0.015,0.56,-3.46,-3.284,-2.643,-2.241,-1.898,-1.469,-1.321,1351.171,1,White,-4.089,4.36,3600,1764,62,3,5429,22.109,5.59,4.75,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,ERBB2,uterine cancer,273,46,"beta[1,4]",-2.675,0.035,1.14,-5.474,-4.779,-3.305,-2.515,-1.867,-1.125,-0.911,1065.415,1,White,-2.346,1.72,1197,272,45,1,1515,6.995,2.09,1.67,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,ERBB2,bladder cancer,113,51,mu_beta[3],-0.525,0.055,2.125,-5.185,-4.001,-1.554,-0.392,0.448,2.723,3.71,1503.931,1,overall,-0.247,0.09,1059,110,48,3,1220,0.365,0.26,0.17,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,ERBB2,colorectal cancer,1408,70,mu_beta[3],-0.99,0.053,1.976,-5.094,-3.955,-1.858,-1.068,-0.249,2.546,3.423,1415.376,1.002,overall,-0.501,0.21,1890,1395,57,13,3355,15.101,3.99,3.33,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,ERBB2,non-small cell lung cancer,1817,77,mu_beta[3],-1.781,0.032,1.103,-3.959,-3.487,-2.458,-1.802,-1.143,0.039,0.535,1201.426,0.999,overall,-1.614,0.97,3972,1813,73,4,5862,23.078,5.81,4.94,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,ERBB2,uterine cancer,273,46,mu_beta[3],-2.304,0.06,2.17,-6.583,-5.697,-3.501,-2.32,-1.183,1.492,2.436,1311.671,1,overall,-1.062,0.54,1197,272,45,1,1515,6.995,2.09,1.67,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,CCND1,bladder cancer,113,118,"beta[1,4]",-0.045,0.011,0.348,-0.723,-0.617,-0.292,-0.021,0.201,0.506,0.61,1046.61,1.002,White,-0.129,0.05,1000,102,107,11,1220,0,0,0,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,CCND1,melanoma,400,56,"beta[1,4]",0.284,0.009,0.293,-0.309,-0.206,0.096,0.288,0.48,0.755,0.845,1117.303,1.002,White,0.968,0.48,996,381,37,19,1433,0.76,0.42,0.28,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,CCND1,non-small cell lung cancer,1746,124,"beta[1,4]",-0.667,0.007,0.224,-1.145,-1.068,-0.806,-0.655,-0.522,-0.312,-0.246,974.853,1.001,White,-2.973,2.53,3529,1721,99,25,5374,8.23,2.38,1.88,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,CCND1,bladder cancer,113,118,mu_beta[3],-0.066,0.052,1.984,-4.209,-3.407,-0.918,-0.088,0.781,3.141,4.212,1447.387,1,overall,-0.033,0.01,1000,102,107,11,1220,0,0,0,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,CCND1,melanoma,400,56,mu_beta[3],0.188,0.055,1.967,-4.274,-2.974,-0.591,0.221,1.009,3.366,4.451,1302.102,1.002,overall,0.096,0.03,996,381,37,19,1433,0.76,0.42,0.28,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,CCND1,non-small cell lung cancer,1746,124,mu_beta[3],-0.567,0.048,1.84,-4.621,-3.393,-1.364,-0.625,0.174,2.82,3.972,1465.144,0.999,overall,-0.308,0.12,3529,1721,99,25,5374,8.23,2.38,1.88,TRUE,3.53,4.16
single,Amplification,race,RAS_12-61,CDK12,colorectal cancer,1100,47,"beta[1,4]",-1.025,0.01,0.366,-1.777,-1.663,-1.268,-0.999,-0.771,-0.454,-0.363,1425.808,0.999,White,-2.802,2.29,1474,1090,37,10,2611,7.688,2.25,1.77,FALSE,3.65,3.95
single,Amplification,race,RAS_12-61,CDK12,colorectal cancer,1100,47,mu_beta[3],-0.823,0.052,1.969,-5.141,-3.867,-1.678,-0.902,-0.008,2.642,3.582,1435.677,0.999,overall,-0.418,0.17,1474,1090,37,10,2611,7.688,2.25,1.77,FALSE,3.65,3.95
