cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Amplification,sample_type,RAS_12-61,KDM5A,colorectal cancer,551,21,"beta[1,4]",0.106,0.01,0.311,-0.511,-0.402,-0.095,0.111,0.311,0.613,0.736,930.08,1,Metastasis,0.342,0.14,673,541,11,10,1235,0.003,0.02,0,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,KDM5A,colorectal cancer,858,31,"beta[2,4]",0.083,0.01,0.285,-0.47,-0.377,-0.111,0.087,0.278,0.565,0.623,896.153,1,Primary,0.291,0.11,1126,844,17,14,2001,0.006,0.03,0,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,KDM5A,colorectal cancer,1409,52,mu_beta[3],0.093,0.012,0.372,-0.586,-0.436,-0.106,0.103,0.317,0.621,0.743,938.212,1.001,overall,0.251,0.1,1799,1385,28,24,3236,0.059,0.09,0.02,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,PTPRT,colorectal cancer,409,41,"beta[1,4]",-2.34,0.167,0.545,-3.175,-3.065,-2.867,-2.327,-1.908,-1.47,-1.354,10.721,1.232,Metastasis,-4.29,4.75,495,405,37,4,941,18.414,4.75,3.9,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,PTPRT,colorectal cancer,600,30,"beta[2,4]",-2.485,0.162,0.576,-3.528,-3.339,-3.005,-2.469,-2.055,-1.539,-1.406,12.676,1.138,Primary,-4.314,4.8,768,598,28,2,1396,15.017,3.97,3.18,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,PTPRT,colorectal cancer,1009,71,mu_beta[3],-2.432,0.156,0.636,-3.504,-3.217,-2.973,-2.443,-1.983,-1.422,-1.222,16.63,1.123,overall,-3.824,3.88,1263,1003,65,6,2337,34.543,8.38,7.07,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,LATS2,colorectal cancer,409,27,"beta[1,4]",0.637,0.012,0.33,0.05,0.148,0.423,0.617,0.818,1.246,1.383,744.458,1.003,Metastasis,1.931,1.27,523,391,9,18,941,5.157,1.64,1.24,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,LATS2,colorectal cancer,600,34,"beta[2,4]",0.419,0.008,0.301,-0.191,-0.078,0.23,0.434,0.613,0.893,0.986,1298.031,1,Primary,1.389,0.78,778,584,18,16,1396,0.097,0.12,0.04,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,LATS2,colorectal cancer,1009,61,mu_beta[3],0.515,0.01,0.375,-0.192,-0.005,0.31,0.522,0.723,1.06,1.199,1281.044,1,overall,1.373,0.77,1301,975,27,34,2337,3.52,1.22,0.9,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,BRCA2,colorectal cancer,629,36,"beta[1,4]",0.636,0.008,0.3,0.038,0.145,0.442,0.628,0.834,1.119,1.237,1584.005,0.999,Metastasis,2.117,1.47,767,607,14,22,1410,3.415,1.19,0.89,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,BRCA2,colorectal cancer,1113,30,"beta[2,4]",0.249,0.008,0.32,-0.389,-0.262,0.03,0.255,0.466,0.761,0.844,1524.927,1,Primary,0.776,0.36,1503,1099,16,14,2632,0.092,0.12,0.04,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,BRCA2,colorectal cancer,1742,66,mu_beta[3],0.449,0.013,0.518,-0.54,-0.352,0.178,0.44,0.723,1.174,1.474,1713.883,0.998,overall,0.867,0.41,2270,1706,30,36,4042,3.127,1.11,0.82,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,IRS2,colorectal cancer,464,29,"beta[1,4]",0.337,0.016,0.335,-0.274,-0.204,0.105,0.34,0.57,0.898,1.023,436.583,1.002,Metastasis,1.007,0.5,574,447,12,17,1050,1.952,0.79,0.55,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,IRS2,colorectal cancer,657,28,"beta[2,4]",0.065,0.015,0.342,-0.641,-0.504,-0.158,0.075,0.293,0.614,0.699,537.719,1.004,Primary,0.189,0.07,842,646,17,11,1516,0.06,0.09,0.02,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,IRS2,colorectal cancer,1121,57,mu_beta[3],0.197,0.014,0.414,-0.621,-0.4,-0.032,0.189,0.437,0.796,1.001,857.581,1.001,overall,0.476,0.2,1416,1093,29,28,2566,0.492,0.32,0.18,FALSE,3.65,3.95
single,Amplification,sample_type,RAS_12-61,ERBB2,bladder cancer,25,17,"beta[1,4]",-0.32,0.036,0.718,-1.894,-1.591,-0.781,-0.255,0.172,0.743,0.969,391.147,1.005,Metastasis,-0.445,0.18,236,23,15,2,276,0,0,0,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,bladder cancer,104,41,"beta[2,4]",-0.572,0.039,0.655,-2.013,-1.726,-0.974,-0.542,-0.12,0.463,0.678,287.828,1.008,Primary,-0.873,0.42,935,102,39,2,1078,0.616,0.36,0.21,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,colorectal cancer,635,38,"beta[1,4]",-1.321,0.01,0.336,-2.025,-1.895,-1.522,-1.321,-1.098,-0.776,-0.682,1048.861,1.004,Metastasis,-3.934,4.08,752,628,31,7,1418,9.904,2.78,2.16,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,colorectal cancer,1115,48,"beta[2,4]",-1.36,0.009,0.326,-2.041,-1.9,-1.564,-1.355,-1.144,-0.834,-0.741,1256.959,1.001,Primary,-4.176,4.53,1486,1107,40,8,2641,12.04,3.28,2.58,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,non-small cell lung cancer,680,34,"beta[1,4]",-1.997,0.016,0.57,-3.255,-2.921,-2.307,-1.942,-1.617,-1.211,-1.078,1239.326,1.002,Metastasis,-3.503,3.34,1771,679,33,1,2484,9.143,2.6,2,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,non-small cell lung cancer,1283,51,"beta[2,4]",-1.782,0.015,0.443,-2.649,-2.515,-2.079,-1.752,-1.475,-1.085,-0.925,900.661,1.008,Primary,-4.026,4.25,2661,1278,46,5,3990,10.815,3,2.32,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,uterine cancer,80,19,"beta[1,4]",-2.128,0.04,0.862,-3.999,-3.721,-2.617,-2.075,-1.516,-0.847,-0.682,472.565,1.003,Metastasis,-2.468,1.87,401,79,18,1,499,0.972,0.49,0.31,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,uterine cancer,236,46,"beta[2,4]",-2.211,0.037,0.835,-4.18,-3.719,-2.649,-2.118,-1.631,-0.998,-0.864,519.742,1.002,Primary,-2.649,2.09,1055,235,45,1,1336,6.796,2.04,1.58,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,bladder cancer,129,58,mu_beta[3],-0.462,0.038,0.744,-2.029,-1.782,-0.894,-0.419,0.031,0.699,0.787,376.951,1.005,overall,-0.621,0.27,1171,125,54,4,1354,0.22,0.19,0.09,TRUE,3.53,4.16
single,Amplification,sample_type,RAS_12-61,ERBB2,colorectal cancer,1750,86,mu_beta[3],-1.338,0.013,0.443,-2.182,-2.036,-1.561,-1.331,-1.093,-0.735,-0.592,1209.237,1,overall,-3.018,2.59,2238,1735,71,15,4059,22.553,5.69,4.65,TRUE,3.53,4.16
