cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Amplification,sex,RAS_12-61,KDM5A,colorectal cancer,687,30,"beta[1,4]",0.133,0.009,0.312,-0.492,-0.391,-0.081,0.135,0.346,0.65,0.732,1223.595,1,Female,0.426,0.17,774,672,15,15,1476,0.039,0.07,0.01,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,KDM5A,colorectal cancer,734,22,"beta[2,4]",0.003,0.009,0.346,-0.686,-0.587,-0.227,0.015,0.245,0.544,0.645,1337.842,1.001,Male,0.007,0,1039,725,13,9,1786,0,0,0,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,KDM5A,colorectal cancer,1421,52,mu_beta[3],0.063,0.012,0.434,-0.757,-0.589,-0.191,0.071,0.315,0.712,0.896,1354.791,1,overall,0.145,0.05,1813,1397,28,24,3262,0.057,0.09,0.02,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,PTPRT,colorectal cancer,498,38,"beta[1,4]",-2.193,0.014,0.482,-3.207,-3.042,-2.503,-2.181,-1.842,-1.448,-1.314,1247.108,1.002,Female,-4.549,5.27,531,494,34,4,1063,19.394,4.97,4.09,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,PTPRT,colorectal cancer,517,33,"beta[2,4]",-2.292,0.018,0.527,-3.425,-3.211,-2.612,-2.273,-1.929,-1.503,-1.329,866.582,1.004,Male,-4.349,4.86,736,515,31,2,1284,15.048,3.98,3.2,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,PTPRT,colorectal cancer,1015,71,mu_beta[3],-2.218,0.021,0.608,-3.464,-3.213,-2.562,-2.198,-1.849,-1.338,-1.136,871.539,1.002,overall,-3.648,3.58,1267,1009,65,6,2347,34.67,8.41,7.11,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,LATS2,colorectal cancer,498,21,"beta[1,4]",0.338,0.009,0.359,-0.415,-0.249,0.109,0.348,0.58,0.891,1.033,1518.954,0.999,Female,0.941,0.46,555,487,10,11,1063,0.085,0.11,0.03,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,LATS2,colorectal cancer,517,40,"beta[2,4]",0.635,0.008,0.303,0.064,0.143,0.427,0.642,0.844,1.132,1.236,1417.661,1,Male,2.095,1.44,750,494,17,23,1284,4.386,1.44,1.07,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,LATS2,colorectal cancer,1015,61,mu_beta[3],0.471,0.013,0.479,-0.518,-0.276,0.211,0.49,0.746,1.177,1.337,1416.553,1,overall,0.983,0.49,1305,981,27,34,2347,3.476,1.21,0.9,FALSE,3.65,3.95
single,Amplification,sex,RAS_12-61,BRCA2,colorectal cancer,872,22,"beta[1,4]",0.617,0.01,0.374,-0.053,0.045,0.36,0.599,0.838,1.231,1.404,1499.776,0.999,Female,1.652,1.01,973,857,7,15,1852,3.167,1.12,0.84,TRUE,3.53,4.16
