cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Any amplification,none,RAS_12-61,ATR,cancer of unknown primary,241,52,"beta[1,4]",-0.709,0.01,0.393,-1.492,-1.343,-0.97,-0.693,-0.426,-0.111,0.012,1408.507,1.002,NA,-1.802,1.15,852,234,45,7,1138,1.489,0.65,0.42,FALSE,5.93,6.88
multi,Any amplification,none,RAS_12-61,ATR,non-small cell lung cancer,1397,100,"beta[2,4]",-0.851,0.007,0.261,-1.388,-1.284,-1.018,-0.845,-0.674,-0.435,-0.356,1538.074,1,NA,-3.259,2.95,3255,1381,84,16,4736,8.298,2.4,1.74,FALSE,5.93,6.88
multi,Any amplification,none,RAS_12-61,ATR,ovarian cancer,117,65,"beta[3,4]",-1.2,0.013,0.524,-2.387,-2.116,-1.516,-1.152,-0.827,-0.411,-0.27,1515.151,1,NA,-2.29,1.66,866,115,63,2,1046,3.758,1.28,0.88,FALSE,5.93,6.88
multi,Any amplification,none,RAS_12-61,PDGFRA,non-small cell lung cancer,1975,133,"beta[1,4]",-0.927,0.007,0.247,-1.42,-1.334,-1.092,-0.926,-0.757,-0.527,-0.431,1241.037,0.999,NA,-3.754,3.76,4433,1955,113,20,6521,14.225,3.79,2.95,TRUE,5.66,6.74
multi,Any amplification,none,RAS_12-61,FBXW7,non-small cell lung cancer,1975,77,"beta[1,4]",-0.993,0.009,0.329,-1.667,-1.559,-1.2,-0.975,-0.777,-0.483,-0.369,1443.268,1.001,NA,-3.018,2.59,4480,1964,66,11,6521,8.697,2.5,1.81,TRUE,5.66,6.74
multi,Any amplification,none,RAS_12-61,MAP3K1,non-small cell lung cancer,1948,149,"beta[1,4]",-0.217,0.005,0.184,-0.562,-0.521,-0.342,-0.215,-0.09,0.081,0.128,1489.325,1.001,NA,-1.176,0.62,4388,1909,110,39,6446,0.996,0.5,0.31,FALSE,5.93,6.88
multi,Any amplification,none,RAS_12-61,NSD1,non-small cell lung cancer,1396,85,"beta[1,4]",-0.513,0.026,0.229,-0.963,-0.868,-0.595,-0.595,-0.371,-0.089,-0.007,77.649,1.038,NA,-2.241,1.6,3265,1378,67,18,4728,2.506,0.95,0.64,FALSE,5.93,6.88
multi,Any amplification,none,RAS_12-61,FLT4,non-small cell lung cancer,1948,187,"beta[1,4]",-0.332,0.004,0.167,-0.677,-0.611,-0.438,-0.33,-0.218,-0.056,-0.026,1464.48,1,NA,-1.989,1.33,4356,1903,142,45,6446,3.167,1.12,0.77,TRUE,5.66,6.74
multi,Any amplification,none,RAS_12-61,FLT4,ovarian cancer,188,64,"beta[2,4]",-0.494,0.012,0.438,-1.435,-1.24,-0.759,-0.477,-0.197,0.189,0.299,1453.537,1.001,NA,-1.127,0.59,1376,183,59,5,1623,0.581,0.35,0.21,TRUE,5.66,6.74
multi,Any amplification,none,RAS_12-61,PTPRD,colorectal cancer,1378,56,"beta[1,4]",0.065,0.006,0.244,-0.422,-0.328,-0.099,0.071,0.222,0.464,0.539,1546.204,1,NA,0.268,0.1,1769,1353,31,25,3178,0.004,0.02,-0,FALSE,5.93,6.88
