cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any amplification,race,RAS_12-61,ATR,cancer of unknown primary,203,47,"beta[1,4]",-0.734,0.012,0.455,-1.774,-1.571,-1.006,-0.708,-0.434,-0.028,0.083,1375.463,1.001,White,-1.614,0.97,694,197,41,6,938,1.781,0.74,0.43,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,ATR,non-small cell lung cancer,1235,94,"beta[1,4]",-0.958,0.009,0.288,-1.52,-1.435,-1.151,-0.948,-0.76,-0.494,-0.408,1066.9,1.001,White,-3.324,3.05,2516,1220,79,15,3830,10.95,3.03,2.2,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,ATR,ovarian cancer,90,60,"beta[1,4]",-1.485,0.02,0.77,-3.345,-2.904,-1.925,-1.404,-0.933,-0.391,-0.234,1434.115,1,White,-1.929,1.27,708,88,58,2,856,2.763,1.02,0.62,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,ATR,cancer of unknown primary,203,47,mu_beta[3],-0.625,0.05,1.972,-4.993,-3.825,-1.536,-0.673,0.222,2.684,3.567,1540.14,1.001,overall,-0.317,0.12,694,197,41,6,938,1.781,0.74,0.43,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,ATR,non-small cell lung cancer,1235,94,mu_beta[3],-0.872,0.049,1.955,-4.825,-4.163,-1.682,-0.852,-0.037,2.031,3.207,1569.001,0.999,overall,-0.446,0.18,2516,1220,79,15,3830,10.95,3.03,2.2,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,ATR,ovarian cancer,90,60,mu_beta[3],-1.279,0.051,1.965,-5.074,-4.392,-2.271,-1.329,-0.395,2.174,3.157,1462.825,1.002,overall,-0.651,0.29,708,88,58,2,856,2.763,1.02,0.62,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,PDGFRA,non-small cell lung cancer,1767,116,"beta[1,4]",-0.989,0.009,0.262,-1.551,-1.436,-1.159,-0.976,-0.814,-0.571,-0.485,945.885,1,White,-3.778,3.8,3564,1749,98,18,5429,14.876,3.94,3,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,PDGFRA,non-small cell lung cancer,1767,116,mu_beta[3],-0.857,0.056,1.908,-4.505,-3.661,-1.687,-0.861,-0.074,2.344,3.251,1168.086,1.003,overall,-0.449,0.18,3564,1749,98,18,5429,14.876,3.94,3,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,FBXW7,non-small cell lung cancer,1767,65,"beta[1,4]",-1.037,0.013,0.364,-1.767,-1.62,-1.3,-1.036,-0.79,-0.433,-0.312,748.348,1.005,White,-2.85,2.36,3607,1757,55,10,5429,8.053,2.34,1.6,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,FBXW7,non-small cell lung cancer,1767,65,mu_beta[3],-0.879,0.048,1.941,-4.969,-3.939,-1.681,-0.968,-0.098,2.376,3.376,1607.94,1.001,overall,-0.453,0.19,3607,1757,55,10,5429,8.053,2.34,1.6,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,MAP3K1,non-small cell lung cancer,1745,138,"beta[1,4]",-0.218,0.006,0.195,-0.617,-0.551,-0.349,-0.215,-0.085,0.101,0.156,1101.159,1.003,White,-1.115,0.58,3522,1706,99,39,5366,0.98,0.49,0.26,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,MAP3K1,non-small cell lung cancer,1745,138,mu_beta[3],-0.2,0.053,2.025,-4.762,-3.585,-1.013,-0.214,0.629,3.049,4.388,1467.755,0.999,overall,-0.099,0.04,3522,1706,99,39,5366,0.98,0.49,0.26,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,NSD1,non-small cell lung cancer,46,12,"beta[1,4]",-1.705,0.039,1.533,-5.611,-4.571,-2.394,-1.399,-0.629,0.093,0.306,1537.144,0.999,Asian,-1.112,0.57,318,46,12,0,376,0.751,0.41,0.21,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,NSD1,non-small cell lung cancer,1234,68,"beta[2,4]",-0.359,0.007,0.279,-0.913,-0.822,-0.541,-0.35,-0.176,0.095,0.174,1419.159,1,White,-1.29,0.71,2538,1216,50,18,3822,0.817,0.44,0.23,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,NSD1,non-small cell lung cancer,1280,80,mu_beta[3],-1.006,0.031,1.214,-3.95,-3.159,-1.583,-0.862,-0.287,0.582,0.953,1577.258,0.999,overall,-0.829,0.39,2856,1262,62,18,4198,2.088,0.83,0.5,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,FLT4,non-small cell lung cancer,50,13,"beta[1,4]",-1.706,0.039,1.528,-5.722,-4.637,-2.29,-1.41,-0.718,0.043,0.259,1542.588,1.001,Asian,-1.117,0.58,369,50,13,0,432,0.782,0.42,0.22,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,FLT4,non-small cell lung cancer,1745,164,"beta[2,4]",-0.38,0.004,0.179,-0.725,-0.679,-0.498,-0.378,-0.262,-0.085,-0.033,1649.7,0.999,White,-2.124,1.47,3499,1703,122,42,5366,3.363,1.18,0.73,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,FLT4,ovarian cancer,151,61,"beta[1,4]",-0.43,0.013,0.481,-1.446,-1.288,-0.711,-0.405,-0.127,0.335,0.452,1277.819,0.999,White,-0.893,0.43,1163,146,56,5,1370,0.262,0.22,0.09,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,FLT4,non-small cell lung cancer,1795,177,mu_beta[3],-0.993,0.03,1.144,-3.518,-2.974,-1.548,-0.852,-0.32,0.5,0.802,1473.907,1.002,overall,-0.868,0.41,3868,1753,135,42,5798,4.123,1.37,0.87,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,FLT4,ovarian cancer,151,61,mu_beta[3],-0.319,0.052,2.075,-4.792,-3.748,-1.237,-0.348,0.585,2.901,4.026,1577.28,0.999,overall,-0.154,0.06,1163,146,56,5,1370,0.262,0.22,0.09,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,PTPRD,colorectal cancer,1072,50,"beta[1,4]",-0.073,0.007,0.295,-0.681,-0.563,-0.275,-0.059,0.13,0.4,0.472,1549.067,0.999,White,-0.246,0.09,1455,1052,30,20,2557,0.018,0.05,-0,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,PTPRD,non-small cell lung cancer,1348,46,"beta[1,4]",0.088,0.008,0.306,-0.532,-0.434,-0.11,0.099,0.295,0.583,0.667,1356.291,1.001,White,0.288,0.11,2794,1332,30,16,4172,0.041,0.08,0,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,PTPRD,colorectal cancer,1072,50,mu_beta[3],-0.105,0.051,2.02,-4.621,-3.553,-0.952,-0.028,0.755,3.104,4.331,1575.511,0.999,overall,-0.052,0.02,1455,1052,30,20,2557,0.018,0.05,-0,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,PTPRD,non-small cell lung cancer,1348,46,mu_beta[3],0.016,0.052,2.031,-4.448,-3.344,-0.859,0.069,0.92,3.32,4.529,1531.268,1.001,overall,0.008,0,2794,1332,30,16,4172,0.041,0.08,0,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,RET,non-small cell lung cancer,1767,71,"beta[1,4]",0.103,0.008,0.246,-0.368,-0.304,-0.065,0.101,0.274,0.511,0.592,875.141,1.007,White,0.419,0.17,3616,1742,46,25,5429,0.126,0.14,0.04,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,RET,uterine cancer,273,65,"beta[1,4]",0.382,0.009,0.303,-0.254,-0.123,0.188,0.39,0.589,0.854,0.928,1255.065,1,White,1.262,0.68,1193,257,49,16,1515,1.561,0.67,0.39,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,RET,ovarian cancer,151,49,"beta[1,4]",0.738,0.01,0.364,-0.045,0.128,0.504,0.753,0.998,1.299,1.399,1329.382,1,White,2.03,1.37,1180,141,39,10,1370,3.627,1.25,0.78,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,RET,non-small cell lung cancer,1767,71,mu_beta[3],0.019,0.05,1.95,-4.472,-3.102,-0.799,0.003,0.851,3.04,4.122,1535.691,1,overall,0.01,0,3616,1742,46,25,5429,0.126,0.14,0.04,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,RET,uterine cancer,273,65,mu_beta[3],0.27,0.049,1.944,-3.966,-3.134,-0.59,0.348,1.187,3.369,4.104,1551.75,1.003,overall,0.139,0.05,1193,257,49,16,1515,1.561,0.67,0.39,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,RET,ovarian cancer,151,49,mu_beta[3],0.575,0.056,2.073,-4.276,-3.061,-0.283,0.679,1.551,3.699,4.617,1369.17,1.002,overall,0.277,0.11,1180,141,39,10,1370,3.627,1.25,0.78,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,KDM5A,colorectal cancer,1100,95,"beta[1,4]",0.383,0.007,0.2,-0.003,0.067,0.232,0.37,0.522,0.717,0.773,831.745,1.006,White,1.915,1.26,1464,1051,46,49,2610,3.208,1.13,0.7,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,cancer of unknown primary,203,47,"beta[1,4]",0.313,0.01,0.338,-0.35,-0.248,0.083,0.325,0.551,0.841,0.969,1237.074,0.999,White,0.926,0.45,699,190,34,13,936,0.702,0.4,0.2,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,non-small cell lung cancer,1234,120,"beta[1,4]",-0.12,0.005,0.204,-0.511,-0.454,-0.261,-0.121,0.02,0.21,0.281,1496.972,0.999,White,-0.59,0.26,2504,1198,84,36,3822,0.198,0.18,0.07,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,pancreatic cancer,1203,62,"beta[1,4]",-0.5,0.008,0.276,-1.042,-0.961,-0.693,-0.495,-0.317,-0.064,0.047,1245.978,1,White,-1.813,1.16,329,1161,20,42,1552,2.977,1.07,0.66,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,ovarian cancer,90,89,"beta[1,4]",-0.833,0.019,0.468,-1.858,-1.646,-1.125,-0.835,-0.516,-0.119,0.004,623.574,1.004,White,-1.778,1.12,682,85,84,5,856,1.983,0.8,0.48,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,colorectal cancer,1100,95,mu_beta[3],0.285,0.051,1.966,-3.982,-2.929,-0.485,0.304,1.128,3.221,4.324,1481.829,1,overall,0.145,0.05,1464,1051,46,49,2610,3.208,1.13,0.7,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,cancer of unknown primary,203,47,mu_beta[3],0.267,0.056,2.04,-4.024,-3.072,-0.654,0.273,1.164,3.61,4.667,1313.378,1.003,overall,0.131,0.05,699,190,34,13,936,0.702,0.4,0.2,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,non-small cell lung cancer,1234,120,mu_beta[3],-0.193,0.052,2.037,-4.987,-3.496,-1.009,-0.168,0.708,2.893,4.027,1516.825,1.001,overall,-0.095,0.03,2504,1198,84,36,3822,0.198,0.18,0.07,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,pancreatic cancer,1203,62,mu_beta[3],-0.473,0.047,1.862,-4.081,-3.237,-1.304,-0.487,0.26,2.546,3.732,1586.405,1,overall,-0.254,0.1,329,1161,20,42,1552,2.977,1.07,0.66,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,KDM5A,ovarian cancer,90,89,mu_beta[3],-0.719,0.049,1.922,-4.913,-3.652,-1.501,-0.816,-0.006,2.551,3.464,1548.803,1,overall,-0.374,0.15,682,85,84,5,856,1.983,0.8,0.48,FALSE,5.93,6.88
single,Any amplification,race,RAS_12-61,TSHR,non-small cell lung cancer,1234,49,"beta[1,4]",-2.143,0.017,0.648,-3.495,-3.237,-2.549,-2.099,-1.702,-1.142,-0.989,1409.374,1,White,-3.308,3.03,2542,1231,46,3,3822,14.354,3.82,2.88,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,TSHR,non-small cell lung cancer,1234,49,mu_beta[3],-1.727,0.063,2.246,-5.884,-4.96,-2.854,-1.945,-0.769,2.152,3.69,1280.124,1,overall,-0.769,0.35,2542,1231,46,3,3822,14.354,3.82,2.88,TRUE,5.66,6.74
single,Any amplification,race,RAS_12-61,CREBBP,colorectal cancer,1402,85,"beta[1,4]",0.052,0.006,0.222,-0.381,-0.33,-0.089,0.049,0.196,0.426,0.494,1601.383,0.999,White,0.237,0.09,1891,1365,48,37,3341,0.034,0.07,0,TRUE,5.66,6.74
