cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Any deletion,none,RAS_12-61,TP53,colorectal cancer,1767,616,"beta[1,4]",0.05,0.002,0.089,-0.122,-0.099,-0.012,0.053,0.112,0.19,0.223,1280.453,1.002,NA,0.56,0.24,1982,1495,344,272,4093,0.241,0.21,0.12,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,TP53,cancer of unknown primary,308,135,"beta[2,4]",0.112,0.005,0.208,-0.302,-0.232,-0.025,0.11,0.258,0.452,0.519,1546.99,0.999,NA,0.539,0.23,1008,276,103,32,1419,0.233,0.2,0.12,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,TP53,non-small cell lung cancer,1975,496,"beta[3,4]",-0.216,0.003,0.104,-0.422,-0.386,-0.285,-0.216,-0.148,-0.044,-0.012,1483.327,0.999,NA,-2.073,1.42,4180,1845,366,130,6521,4.02,1.35,0.89,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,TP53,pancreatic cancer,1591,138,"beta[4,4]",1,0.007,0.265,0.518,0.592,0.818,0.98,1.168,1.458,1.557,1463.807,1,NA,3.774,3.79,500,1466,13,125,2104,17.073,4.44,2.96,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,TP53,melanoma,423,88,"beta[5,4]",0.94,0.005,0.213,0.53,0.594,0.795,0.933,1.083,1.302,1.39,1608.227,1,NA,4.409,4.98,1109,380,45,43,1577,21.893,5.54,3.81,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,TP53,uterine cancer,318,134,"beta[6,4]",-0.88,0.007,0.291,-1.489,-1.388,-1.07,-0.864,-0.677,-0.427,-0.349,1526.794,1,NA,-3.024,2.6,1403,308,124,10,1845,8.95,2.56,1.71,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,TP53,ovarian cancer,188,227,"beta[7,4]",-0.447,0.006,0.246,-0.94,-0.858,-0.608,-0.443,-0.277,-0.05,0.012,1567.73,0.998,NA,-1.821,1.16,1226,170,209,18,1623,3.038,1.09,0.71,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,TP53,hepatobiliary cancer,135,59,"beta[8,4]",0.17,0.009,0.341,-0.51,-0.392,-0.054,0.18,0.408,0.719,0.8,1338.59,1,NA,0.499,0.21,891,126,50,9,1076,0.197,0.18,0.11,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,TP53,bladder cancer,130,130,"beta[9,4]",0.102,0.007,0.281,-0.438,-0.354,-0.083,0.112,0.292,0.545,0.63,1559.054,0.999,NA,0.363,0.14,1112,116,116,14,1358,0.109,0.13,0.07,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,ATR,non-small cell lung cancer,1397,54,"beta[1,4]",-0.015,0.008,0.306,-0.626,-0.532,-0.216,0.002,0.194,0.471,0.57,1471.108,1.001,NA,-0.049,0.02,3301,1381,38,16,4736,0,0,-0,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,PDGFRA,colorectal cancer,1767,230,"beta[1,4]",-0.059,0.004,0.14,-0.328,-0.287,-0.152,-0.058,0.034,0.177,0.209,1238.489,0.999,NA,-0.421,0.17,2193,1670,133,97,4093,0.06,0.09,0.04,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,PDGFRA,cancer of unknown primary,308,60,"beta[2,4]",-0.387,0.008,0.328,-1.051,-0.939,-0.606,-0.37,-0.152,0.116,0.222,1556.669,0.999,NA,-1.18,0.62,1061,298,50,10,1419,0.652,0.38,0.24,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,PDGFRA,non-small cell lung cancer,1975,94,"beta[3,4]",-0.565,0.006,0.244,-1.065,-0.984,-0.725,-0.557,-0.395,-0.175,-0.122,1603.036,0.999,NA,-2.31,1.68,4471,1956,75,19,6521,4.113,1.37,0.9,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,PDGFRA,ovarian cancer,188,118,"beta[4,4]",-0.407,0.009,0.317,-1.039,-0.93,-0.618,-0.407,-0.19,0.103,0.216,1299.207,1,NA,-1.283,0.7,1327,178,108,10,1623,0.896,0.46,0.3,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FBXW7,colorectal cancer,1767,264,"beta[1,4]",-0.124,0.003,0.131,-0.384,-0.341,-0.21,-0.123,-0.039,0.087,0.133,1569.399,1.001,NA,-0.944,0.46,2169,1660,157,107,4093,0.691,0.39,0.25,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FBXW7,cancer of unknown primary,308,92,"beta[2,4]",-0.558,0.008,0.285,-1.143,-1.026,-0.758,-0.542,-0.36,-0.11,-0.032,1205.642,1.002,NA,-1.96,1.3,1032,295,79,13,1419,2.862,1.04,0.68,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FBXW7,non-small cell lung cancer,1975,145,"beta[3,4]",-0.652,0.005,0.196,-1.039,-0.985,-0.784,-0.645,-0.523,-0.334,-0.28,1570.961,1.001,NA,-3.322,3.05,4428,1948,118,27,6521,9.002,2.57,1.72,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FBXW7,melanoma,423,61,"beta[4,4]",-0.095,0.007,0.269,-0.645,-0.551,-0.271,-0.089,0.095,0.342,0.393,1418.901,1.001,NA,-0.353,0.14,1110,406,44,17,1577,0.002,0.01,-0,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FBXW7,uterine cancer,318,73,"beta[5,4]",-0.467,0.009,0.312,-1.092,-0.996,-0.667,-0.454,-0.266,0.044,0.14,1269.528,0.999,NA,-1.498,0.87,1463,309,64,9,1845,0.95,0.48,0.31,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FBXW7,ovarian cancer,188,199,"beta[6,4]",-0.891,0.007,0.294,-1.5,-1.402,-1.081,-0.881,-0.688,-0.441,-0.335,1567.541,1.002,NA,-3.033,2.62,1246,178,189,10,1623,8.809,2.52,1.68,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,MAP3K1,colorectal cancer,1758,198,"beta[1,4]",-0.531,0.004,0.149,-0.834,-0.777,-0.629,-0.532,-0.426,-0.289,-0.241,1483.286,1.002,NA,-3.556,3.42,2181,1695,135,63,4074,10.417,2.9,1.9,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,MAP3K1,cancer of unknown primary,306,80,"beta[2,4]",-0.403,0.008,0.288,-0.988,-0.871,-0.594,-0.401,-0.211,0.043,0.163,1399.015,1,NA,-1.402,0.79,1043,292,66,14,1415,0.613,0.36,0.23,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,MAP3K1,non-small cell lung cancer,1948,218,"beta[3,4]",-0.954,0.005,0.185,-1.317,-1.252,-1.083,-0.953,-0.821,-0.653,-0.602,1297.224,1,NA,-5.146,6.58,4312,1916,186,32,6446,25.086,6.26,4.37,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,MAP3K1,uterine cancer,318,61,"beta[4,4]",-1.257,0.012,0.453,-2.206,-2.028,-1.539,-1.239,-0.95,-0.539,-0.425,1466.426,1,NA,-2.777,2.26,1466,315,58,3,1842,5.868,1.81,1.18,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,MAP3K1,ovarian cancer,188,164,"beta[5,4]",-1.805,0.012,0.454,-2.794,-2.61,-2.091,-1.782,-1.481,-1.139,-1.004,1528.622,0.999,NA,-3.972,4.15,1273,186,162,2,1623,18.024,4.66,3.13,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,MAP3K1,bladder cancer,130,92,"beta[6,4]",-0.242,0.009,0.359,-0.98,-0.859,-0.475,-0.237,0.015,0.323,0.425,1494.014,0.998,NA,-0.674,0.3,1142,121,83,9,1355,0,0,-0,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,NSD1,colorectal cancer,1421,83,"beta[1,4]",-0.729,0.006,0.242,-1.238,-1.133,-0.89,-0.726,-0.561,-0.351,-0.27,1590.928,1,NA,-3.013,2.59,1780,1399,61,22,3262,9.378,2.66,1.77,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,NSD1,non-small cell lung cancer,1396,69,"beta[2,4]",-0.42,0.007,0.281,-0.979,-0.891,-0.611,-0.402,-0.222,0.02,0.1,1500.851,1,NA,-1.493,0.87,3279,1380,53,16,4728,1.06,0.52,0.33,FALSE,5.96,6.87
multi,Any deletion,none,RAS_12-61,FLT4,colorectal cancer,1758,149,"beta[1,4]",-0.488,0.004,0.168,-0.823,-0.777,-0.606,-0.48,-0.371,-0.21,-0.18,1599.506,1,NA,-2.896,2.42,2215,1710,101,48,4074,7.086,2.11,1.39,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FLT4,cancer of unknown primary,306,61,"beta[2,4]",-0.835,0.009,0.356,-1.581,-1.43,-1.053,-0.823,-0.6,-0.285,-0.164,1536.055,0.999,NA,-2.346,1.72,1054,300,55,6,1415,4.526,1.48,0.97,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FLT4,non-small cell lung cancer,1948,162,"beta[3,4]",-0.594,0.005,0.187,-0.968,-0.904,-0.719,-0.595,-0.466,-0.282,-0.242,1497.331,1.001,NA,-3.17,2.82,4368,1916,130,32,6446,8.132,2.36,1.56,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FLT4,ovarian cancer,188,80,"beta[4,4]",-0.553,0.009,0.364,-1.327,-1.194,-0.777,-0.535,-0.311,0.025,0.117,1565.97,1.003,NA,-1.52,0.89,1361,182,74,6,1623,0.983,0.49,0.32,TRUE,5.57,6.82
multi,Any deletion,none,RAS_12-61,FLT4,bladder cancer,130,87,"beta[5,4]",-0.246,0.009,0.343,-0.939,-0.831,-0.478,-0.231,-0.008,0.294,0.395,1524.3,1,NA,-0.717,0.32,1146,122,79,8,1355,0,0,-0,TRUE,5.57,6.82
