cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Any mutation,none,RAS_12-61,SPEN,bladder cancer,75,77,"beta[1,4]",0.651,0.008,0.312,0.012,0.134,0.447,0.662,0.867,1.133,1.23,1475.755,0.999,NA,2.084,1.43,633,60,62,15,770,8.043,2.34,1.62,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,SPEN,cancer of unknown primary,184,55,"beta[2,4]",-0.257,0.008,0.316,-0.905,-0.787,-0.462,-0.24,-0.05,0.236,0.316,1500.37,0.999,NA,-0.812,0.38,591,174,45,10,820,0.38,0.27,0.11,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,SPEN,colorectal cancer,984,155,"beta[3,4]",-0.87,0.005,0.185,-1.238,-1.185,-0.991,-0.868,-0.746,-0.571,-0.517,1529.222,0.999,NA,-4.716,5.62,1222,948,119,36,2325,23.979,6.01,4.69,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,SPEN,melanoma,250,117,"beta[4,4]",0.097,0.006,0.209,-0.331,-0.252,-0.042,0.104,0.234,0.426,0.49,1332.724,1.001,NA,0.463,0.19,650,218,85,32,985,0.167,0.17,0.04,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,SPEN,non-small cell lung cancer,1070,121,"beta[5,4]",-0.488,0.006,0.215,-0.913,-0.842,-0.633,-0.492,-0.344,-0.13,-0.07,1339.858,0.999,NA,-2.272,1.64,2562,1046,97,24,3729,4.36,1.43,0.93,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,SPEN,uterine cancer,188,120,"beta[6,4]",0.217,0.006,0.231,-0.211,-0.155,0.055,0.213,0.384,0.599,0.66,1409.552,1,NA,0.939,0.46,870,164,96,24,1154,1.064,0.52,0.28,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,KMT2C,bladder cancer,72,129,"beta[1,4]",-0.419,0.009,0.316,-1.025,-0.946,-0.631,-0.415,-0.209,0.084,0.18,1346.791,1.003,NA,-1.327,0.73,570,63,120,9,762,0.789,0.43,0.22,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,KMT2C,cancer of unknown primary,176,61,"beta[2,4]",-0.354,0.008,0.294,-0.936,-0.853,-0.546,-0.354,-0.155,0.111,0.207,1421.543,1,NA,-1.206,0.64,552,165,50,11,778,0.537,0.33,0.16,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,KMT2C,colorectal cancer,960,198,"beta[3,4]",-0.614,0.004,0.15,-0.914,-0.87,-0.713,-0.611,-0.515,-0.365,-0.32,1557.542,1,NA,-4.088,4.36,1174,903,141,57,2275,15.393,4.06,2.92,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,KMT2C,melanoma,242,149,"beta[4,4]",-0.046,0.005,0.196,-0.428,-0.38,-0.176,-0.044,0.083,0.279,0.348,1309.452,0.999,NA,-0.236,0.09,586,204,111,38,939,0,0,-0,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,KMT2C,non-small cell lung cancer,1070,222,"beta[5,4]",-0.056,0.004,0.151,-0.351,-0.304,-0.156,-0.052,0.048,0.196,0.242,1573.818,0.999,NA,-0.369,0.15,2470,1006,158,64,3698,0,0,-0,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,KMT2C,uterine cancer,176,151,"beta[6,4]",-0.507,0.006,0.242,-0.987,-0.912,-0.668,-0.498,-0.343,-0.117,-0.042,1545.698,1.002,NA,-2.096,1.44,797,160,135,16,1108,3.216,1.14,0.73,FALSE,5.37,6.2
multi,Any mutation,none,RAS_12-61,TP53,appendiceal cancer,101,51,"beta[1,4]",0.199,0.008,0.3,-0.39,-0.291,-0.007,0.194,0.408,0.697,0.773,1394.687,1.001,NA,0.661,0.29,56,70,20,31,177,0.22,0.19,0.06,TRUE,5.36,6.31
