cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,agecat,RAS_12-61,SPEN,bladder cancer,23,26,"beta[1,4]",0.23,0.014,0.488,-0.834,-0.595,-0.03,0.209,0.581,0.976,1.086,1263.886,1.008,50-65,0.47,0.19,227,21,24,2,274,0,0,-0,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,bladder cancer,38,41,"beta[2,4]",0.39,0.04,0.44,-0.436,-0.253,0.04,0.376,0.707,1.114,1.221,120.849,1.035,>65,0.887,0.43,367,32,35,6,440,1.308,0.6,0.26,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,cancer of unknown primary,79,11,"beta[1,4]",0.066,0.017,0.595,-1.081,-0.876,-0.359,0.053,0.492,1.029,1.18,1241.275,1.002,50-65,0.111,0.04,227,75,7,4,313,0.261,0.22,0.05,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,cancer of unknown primary,86,38,"beta[2,4]",-0.419,0.012,0.434,-1.338,-1.128,-0.69,-0.411,-0.12,0.291,0.404,1324.632,1.001,>65,-0.966,0.48,254,80,32,6,372,0.861,0.45,0.18,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,colorectal cancer,96,23,"beta[1,4]",-0.523,0.01,0.366,-1.201,-1.114,-0.777,-0.531,-0.285,0.094,0.218,1386.106,1.002,<40,-1.427,0.81,117,86,13,10,226,0,0,-0,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,colorectal cancer,189,25,"beta[2,4]",-0.859,0.009,0.331,-1.49,-1.364,-1.075,-0.871,-0.656,-0.284,-0.2,1489.117,1,40-50,-2.595,2.02,248,182,18,7,455,1.45,0.64,0.29,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,colorectal cancer,395,45,"beta[3,4]",-1.019,0.007,0.289,-1.592,-1.503,-1.202,-1.014,-0.826,-0.561,-0.46,1499.248,1.001,50-65,-3.527,3.38,546,386,36,9,977,7.31,2.16,1.3,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,colorectal cancer,304,62,"beta[4,4]",-1.239,0.008,0.299,-1.894,-1.747,-1.438,-1.213,-1.014,-0.798,-0.738,1464.225,0.999,>65,-4.148,4.47,311,294,52,10,667,22.606,5.7,4.16,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,melanoma,80,35,"beta[1,4]",0.182,0.008,0.32,-0.441,-0.342,-0.027,0.176,0.396,0.703,0.796,1430.931,1,50-65,0.569,0.24,251,70,25,10,356,0.486,0.31,0.1,FALSE,5.37,6.2
single,Any mutation,agecat,RAS_12-61,SPEN,melanoma,135,70,"beta[2,4]",0.051,0.007,0.266,-0.504,-0.378,-0.122,0.059,0.234,0.482,0.573,1273.698,1,>65,0.192,0.07,278,115,50,20,463,0,0,-0,FALSE,5.37,6.2
