cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,race,RAS_12-61,SPEN,bladder cancer,61,71,"beta[1,4]",0.864,0.009,0.348,0.166,0.267,0.628,0.875,1.1,1.41,1.531,1541.447,0.999,White,2.484,1.89,531,48,58,13,650,6.335,1.93,1.15,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,cancer of unknown primary,142,49,"beta[1,4]",-0.219,0.01,0.373,-0.941,-0.827,-0.476,-0.215,0.027,0.414,0.54,1448.194,0.999,White,-0.588,0.25,429,132,39,10,610,0.102,0.13,0.02,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,colorectal cancer,81,11,"beta[1,4]",-1.381,0.015,0.568,-2.746,-2.488,-1.682,-1.312,-0.989,-0.577,-0.455,1404.804,1.002,Black,-2.432,1.82,59,79,9,2,149,4.791,1.54,0.89,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,colorectal cancer,717,121,"beta[2,4]",-1.069,0.007,0.219,-1.53,-1.443,-1.224,-1.057,-0.9,-0.73,-0.68,1059.46,0.999,White,-4.885,5.99,960,692,96,25,1773,20.22,5.16,3.77,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,melanoma,227,112,"beta[1,4]",-0.045,0.006,0.233,-0.509,-0.435,-0.195,-0.037,0.106,0.324,0.423,1543.577,1,White,-0.193,0.07,523,197,82,30,832,0,0,-0,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,non-small cell lung cancer,932,101,"beta[1,4]",-0.549,0.007,0.242,-1.013,-0.959,-0.717,-0.544,-0.384,-0.154,-0.086,1105.694,1,White,-2.269,1.63,1936,910,79,22,2947,4.227,1.4,0.79,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,uterine cancer,14,16,"beta[1,4]",-0.03,0.022,0.592,-1.451,-1.158,-0.328,0.114,0.323,0.736,0.871,730.814,1.012,Asian,-0.051,0.02,50,12,14,2,78,0.074,0.1,0.01,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,uterine cancer,145,91,"beta[2,4]",0.303,0.009,0.248,-0.184,-0.093,0.157,0.278,0.467,0.731,0.799,819.926,1.007,White,1.22,0.65,617,124,70,21,832,1.846,0.76,0.39,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,bladder cancer,61,71,mu_beta[3],0.782,0.053,2.103,-3.965,-2.871,-0.04,0.895,1.767,4.005,5.35,1574.048,0.998,overall,0.372,0.15,531,48,58,13,650,6.335,1.93,1.15,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,cancer of unknown primary,142,49,mu_beta[3],-0.147,0.056,1.956,-3.937,-3.165,-1.029,-0.164,0.691,3.021,3.954,1227.504,1.002,overall,-0.075,0.03,429,132,39,10,610,0.102,0.13,0.02,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,colorectal cancer,798,132,mu_beta[3],-1.221,0.014,0.549,-2.368,-2.075,-1.508,-1.19,-0.899,-0.45,-0.208,1488.423,0.999,overall,-2.223,1.58,1019,771,105,27,1922,24.978,6.24,4.81,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,melanoma,227,112,mu_beta[3],-0.037,0.052,1.97,-4.377,-3.219,-0.912,-0.039,0.857,3.026,4.02,1451.565,1.002,overall,-0.019,0.01,523,197,82,30,832,0,0,-0,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,non-small cell lung cancer,932,101,mu_beta[3],-0.531,0.053,2.027,-4.53,-3.729,-1.436,-0.608,0.252,2.705,4.018,1460.422,1,overall,-0.262,0.1,1936,910,79,22,2947,4.227,1.4,0.79,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,SPEN,uterine cancer,159,107,mu_beta[3],0.131,0.017,0.62,-1.24,-0.891,-0.115,0.167,0.431,0.926,1.178,1361.613,1,overall,0.211,0.08,667,136,84,23,910,1.063,0.52,0.24,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,bladder cancer,59,114,"beta[1,4]",-0.358,0.011,0.398,-1.198,-1.048,-0.606,-0.343,-0.085,0.257,0.389,1388.186,0.999,White,-0.899,0.43,493,51,106,8,658,0.385,0.27,0.1,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,cancer of unknown primary,144,59,"beta[1,4]",-0.333,0.014,0.355,-1.042,-0.916,-0.561,-0.32,-0.095,0.25,0.323,599.91,1.002,White,-0.94,0.46,423,133,48,11,615,0.56,0.34,0.14,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,colorectal cancer,67,14,"beta[1,4]",-0.626,0.008,0.312,-1.228,-1.118,-0.823,-0.633,-0.446,-0.108,0.007,1484.513,1,Asian,-2.007,1.35,78,63,10,4,155,0.77,0.42,0.18,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,colorectal cancer,83,12,"beta[2,4]",-0.713,0.009,0.317,-1.405,-1.299,-0.888,-0.7,-0.518,-0.225,-0.105,1314.412,0.999,Black,-2.248,1.61,60,80,9,3,152,3.401,1.19,0.66,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,colorectal cancer,64,11,"beta[3,4]",-0.363,0.011,0.369,-0.974,-0.899,-0.613,-0.413,-0.157,0.304,0.449,1201.204,1.001,Unknown,-0.984,0.49,65,56,3,8,132,1.864,0.76,0.39,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,colorectal cancer,720,157,"beta[4,4]",-0.696,0.005,0.169,-1.038,-0.979,-0.803,-0.69,-0.591,-0.417,-0.353,1392.402,0.999,White,-4.106,4.4,947,680,117,40,1784,15.167,4.01,2.81,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,melanoma,227,142,"beta[1,4]",-0.134,0.006,0.209,-0.535,-0.484,-0.283,-0.136,0.008,0.221,0.276,1357.224,0.999,White,-0.642,0.28,497,191,106,36,830,0.233,0.2,0.06,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,non-small cell lung cancer,36,14,"beta[1,4]",0.198,0.016,0.576,-0.983,-0.738,-0.168,0.19,0.577,1.167,1.316,1330.036,1.002,Asian,0.343,0.14,282,33,11,3,329,0.717,0.4,0.17,FALSE,5.37,6.2
single,Any mutation,race,RAS_12-61,KMT2C,non-small cell lung cancer,49,11,"beta[2,4]",-0.574,0.017,0.65,-2.068,-1.732,-0.96,-0.506,-0.124,0.38,0.526,1435.896,1,Black,-0.883,0.42,135,48,10,1,194,0.834,0.44,0.19,FALSE,5.37,6.2
