cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,sample_type,RAS_12-61,SPEN,bladder cancer,16,16,"beta[1,4]",-0.275,0.33,1.621,-4.353,-3.133,-0.683,0.386,0.617,1.05,1.239,24.124,1.061,Metastasis,-0.17,0.06,140,16,16,0,172,0.798,0.43,0.18,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,bladder cancer,59,61,"beta[2,4]",0.902,0.19,0.394,0.332,0.48,0.571,0.852,1.211,1.597,1.686,4.288,1.25,Primary,2.29,1.66,477,44,46,15,582,13.902,3.72,2.49,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,cancer of unknown primary,159,50,"beta[1,4]",-0.371,0.015,0.395,-1.188,-1.032,-0.611,-0.369,-0.096,0.263,0.357,650.543,1.002,Metastasis,-0.939,0.46,502,150,41,9,702,0.409,0.28,0.09,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,colorectal cancer,381,45,"beta[1,4]",-1.093,0.008,0.3,-1.741,-1.568,-1.269,-1.09,-0.894,-0.616,-0.529,1257.618,0.999,Metastasis,-3.637,3.56,470,372,36,9,887,9.23,2.62,1.65,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,colorectal cancer,573,110,"beta[2,4]",-0.904,0.006,0.218,-1.335,-1.264,-1.056,-0.902,-0.759,-0.542,-0.464,1266.885,1,Primary,-4.139,4.46,717,546,83,27,1373,13.77,3.68,2.47,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,melanoma,197,92,"beta[1,4]",0.018,0.018,0.235,-0.48,-0.396,-0.141,0.032,0.198,0.368,0.432,169.528,1.024,Metastasis,0.075,0.03,427,172,67,25,691,0.033,0.07,-0,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,melanoma,45,25,"beta[2,4]",0.304,0.012,0.419,-0.455,-0.321,0.066,0.224,0.556,1.035,1.201,1271.026,1.001,Primary,0.726,0.33,185,38,18,7,248,1.155,0.55,0.25,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,non-small cell lung cancer,365,71,"beta[1,4]",-0.478,0.008,0.297,-1.089,-1.007,-0.666,-0.467,-0.281,0.005,0.061,1509.493,1,Metastasis,-1.608,0.97,987,352,58,13,1410,1.841,0.76,0.38,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,non-small cell lung cancer,704,50,"beta[2,4]",-0.528,0.008,0.314,-1.149,-1.022,-0.74,-0.525,-0.314,-0.021,0.081,1513.535,1.001,Primary,-1.685,1.04,1559,693,39,11,2302,1.384,0.62,0.3,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,uterine cancer,66,38,"beta[1,4]",0.353,0.009,0.309,-0.238,-0.13,0.155,0.335,0.556,0.864,0.994,1274.177,1,Metastasis,1.143,0.6,295,56,28,10,389,1.929,0.78,0.4,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,uterine cancer,113,82,"beta[2,4]",0.219,0.008,0.266,-0.339,-0.247,0.044,0.236,0.401,0.619,0.709,1162.658,1,Primary,0.823,0.39,526,99,68,14,707,0.016,0.05,-0,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,bladder cancer,75,77,mu_beta[3],0.347,0.034,0.996,-2.296,-1.466,0.196,0.56,0.729,1.438,1.671,878.639,1.01,overall,0.348,0.14,617,60,62,15,754,7.557,2.22,1.36,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,cancer of unknown primary,159,50,mu_beta[3],-0.373,0.05,1.919,-4.509,-3.445,-1.153,-0.421,0.395,2.839,3.956,1446.279,0.999,overall,-0.195,0.07,502,150,41,9,702,0.409,0.28,0.09,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,colorectal cancer,954,155,mu_beta[3],-1.005,0.01,0.362,-1.73,-1.543,-1.196,-1.01,-0.803,-0.463,-0.353,1315.131,1,overall,-2.778,2.26,1187,918,119,36,2260,23.764,5.96,4.49,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,melanoma,242,117,mu_beta[3],0.144,0.014,0.53,-0.923,-0.674,-0.094,0.14,0.394,0.978,1.24,1336.556,1.001,overall,0.271,0.1,612,210,85,32,939,0.093,0.12,0.01,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,non-small cell lung cancer,1069,121,mu_beta[3],-0.511,0.016,0.611,-1.732,-1.394,-0.799,-0.501,-0.198,0.365,0.691,1504.278,0.999,overall,-0.836,0.39,2546,1045,97,24,3712,4.46,1.46,0.84,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,SPEN,uterine cancer,179,120,mu_beta[3],0.278,0.011,0.387,-0.431,-0.283,0.07,0.279,0.47,0.808,1.002,1243.383,1.002,overall,0.719,0.33,821,155,96,24,1096,1.042,0.51,0.24,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,bladder cancer,16,25,"beta[1,4]",-0.556,0.017,0.573,-1.838,-1.527,-0.863,-0.518,-0.185,0.262,0.44,1156.878,1.006,Metastasis,-0.969,0.48,134,15,24,1,174,0.357,0.26,0.08,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,bladder cancer,56,104,"beta[2,4]",-0.412,0.011,0.39,-1.2,-1.097,-0.677,-0.395,-0.139,0.193,0.296,1306.386,1.002,Primary,-1.056,0.54,436,48,96,8,588,0.268,0.22,0.06,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,cancer of unknown primary,161,59,"beta[1,4]",-0.302,0.009,0.351,-1.016,-0.907,-0.531,-0.292,-0.064,0.26,0.369,1478.146,1.001,Metastasis,-0.861,0.41,501,150,48,11,710,0.372,0.27,0.08,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,colorectal cancer,382,49,"beta[1,4]",-0.718,0.008,0.288,-1.305,-1.186,-0.908,-0.709,-0.531,-0.242,-0.157,1355.747,0.998,Metastasis,-2.497,1.9,468,368,35,14,885,3.895,1.31,0.74,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,colorectal cancer,578,149,"beta[2,4]",-0.623,0.005,0.181,-0.986,-0.933,-0.733,-0.618,-0.504,-0.33,-0.271,1389.696,1,Primary,-3.449,3.25,706,535,106,43,1390,10.543,2.93,1.86,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,melanoma,197,122,"beta[1,4]",-0.139,0.006,0.227,-0.59,-0.499,-0.291,-0.137,0.012,0.235,0.294,1637.701,0.998,Metastasis,-0.612,0.27,403,166,91,31,691,0.526,0.33,0.12,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,melanoma,45,27,"beta[2,4]",0.232,0.011,0.43,-0.531,-0.414,-0.064,0.207,0.515,0.963,1.099,1470.611,0.999,Primary,0.541,0.23,183,38,20,7,248,0.717,0.4,0.17,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,non-small cell lung cancer,365,89,"beta[1,4]",-0.044,0.005,0.196,-0.434,-0.369,-0.173,-0.035,0.084,0.263,0.329,1303.822,1,Metastasis,-0.227,0.09,959,343,67,22,1391,0.045,0.08,-0,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,non-small cell lung cancer,705,133,"beta[2,4]",0.005,0.005,0.169,-0.34,-0.278,-0.108,0.011,0.119,0.268,0.332,1296.126,1.001,Primary,0.029,0.01,1511,663,91,42,2307,0.028,0.06,-0,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,uterine cancer,65,45,"beta[1,4]",-0.424,0.012,0.372,-1.135,-1.013,-0.678,-0.428,-0.179,0.191,0.323,1011.629,1,Metastasis,-1.139,0.59,290,58,38,7,393,0,0,-0,FALSE,5.37,6.2
single,Any mutation,sample_type,RAS_12-61,KMT2C,uterine cancer,111,106,"beta[2,4]",-0.629,0.009,0.312,-1.258,-1.151,-0.834,-0.615,-0.42,-0.14,-0.041,1230.182,0.999,Primary,-2.017,1.36,507,102,97,9,715,4.086,1.36,0.78,FALSE,5.37,6.2
