cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,sex,RAS_12-61,SPEN,bladder cancer,30,15,"beta[1,4]",1.421,0.013,0.527,0.443,0.597,1.071,1.397,1.757,2.348,2.504,1550.126,1.001,Female,2.698,2.16,159,23,8,7,197,9.934,2.79,1.8,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,bladder cancer,45,62,"beta[2,4]",0.733,0.01,0.397,-0.126,0.035,0.482,0.735,1.007,1.35,1.431,1561.775,1,Male,1.847,1.19,474,37,54,8,573,1.73,0.72,0.37,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,cancer of unknown primary,110,26,"beta[1,4]",-0.051,0.011,0.432,-0.862,-0.744,-0.341,-0.065,0.236,0.66,0.807,1469.239,0.999,Female,-0.117,0.04,298,102,18,8,426,0.132,0.15,0.03,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,cancer of unknown primary,74,29,"beta[2,4]",-0.688,0.016,0.598,-1.995,-1.744,-1.023,-0.614,-0.285,0.169,0.298,1425.734,1.001,Male,-1.15,0.6,293,72,27,2,394,2.119,0.84,0.45,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,colorectal cancer,492,55,"beta[1,4]",-1.331,0.009,0.335,-2.045,-1.941,-1.538,-1.303,-1.093,-0.83,-0.741,1350.353,1,Female,-3.974,4.15,524,483,46,9,1062,19.693,5.04,3.68,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,colorectal cancer,492,100,"beta[2,4]",-0.7,0.006,0.238,-1.181,-1.107,-0.859,-0.689,-0.544,-0.324,-0.25,1463.291,1,Male,-2.941,2.48,698,465,73,27,1263,5.992,1.84,1.13,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,melanoma,97,26,"beta[1,4]",0.112,0.01,0.374,-0.619,-0.487,-0.138,0.114,0.37,0.745,0.841,1325.65,1,Female,0.299,0.12,261,89,18,8,376,0.136,0.15,0.03,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,melanoma,153,91,"beta[2,4]",0.097,0.007,0.251,-0.414,-0.324,-0.063,0.106,0.258,0.495,0.56,1399.204,0.998,Male,0.387,0.16,389,129,67,24,609,0.028,0.06,-0,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,non-small cell lung cancer,677,56,"beta[1,4]",-0.313,0.007,0.293,-0.875,-0.806,-0.511,-0.325,-0.104,0.154,0.253,1572.689,0.999,Female,-1.07,0.55,1437,661,40,16,2154,0.103,0.13,0.01,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,non-small cell lung cancer,393,65,"beta[2,4]",-0.743,0.008,0.341,-1.424,-1.318,-0.96,-0.73,-0.507,-0.211,-0.092,1625.898,1,Male,-2.181,1.53,1125,385,57,8,1575,5.106,1.62,0.96,FALSE,5.37,6.2
single,Any mutation,sex,RAS_12-61,SPEN,uterine cancer,188,120,"beta[1,4]",0.259,0.009,0.249,-0.219,-0.149,0.089,0.257,0.42,0.661,0.719,707.341,1.001,Female,1.04,0.52,870,164,96,24,1154,1.064,0.52,0.25,FALSE,5.37,6.2
