cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,TMB,RAS_12-61,SPEN,colorectal cancer,375,11,"beta[1,4]",-0.648,0.016,0.623,-1.885,-1.699,-1.068,-0.613,-0.211,0.347,0.525,1567.848,0.999,4,-1.04,0.53,409,371,7,4,791,0.189,0.18,0.06,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,colorectal cancer,340,31,"beta[2,4]",-0.424,0.009,0.36,-1.153,-1.008,-0.667,-0.425,-0.184,0.182,0.303,1577.728,0.999,5,-1.18,0.62,273,326,17,14,630,0.679,0.39,0.19,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,colorectal cancer,39,107,"beta[3,4]",-0.827,0.01,0.352,-1.532,-1.401,-1.063,-0.832,-0.607,-0.24,-0.122,1256.671,1.001,6,-2.351,1.73,50,22,90,17,179,4.607,1.5,0.93,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,melanoma,163,55,"beta[1,4]",0.132,0.008,0.298,-0.442,-0.352,-0.063,0.124,0.334,0.608,0.715,1551.416,1.003,5,0.443,0.18,210,139,31,24,404,0.15,0.16,0.05,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,melanoma,10,56,"beta[2,4]",-0.061,0.016,0.656,-1.307,-1.105,-0.502,-0.052,0.371,1.036,1.219,1612.58,0.999,6,-0.093,0.03,34,4,50,6,94,0,0,-0,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,non-small cell lung cancer,267,15,"beta[1,4]",-1.273,0.016,0.628,-2.66,-2.426,-1.642,-1.213,-0.849,-0.357,-0.156,1478.698,0.998,4,-2.026,1.37,482,265,13,2,762,2.269,0.88,0.47,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,non-small cell lung cancer,476,87,"beta[2,4]",-0.794,0.007,0.27,-1.321,-1.247,-0.975,-0.784,-0.621,-0.351,-0.285,1489.918,1.005,5,-2.943,2.49,710,456,67,20,1253,8.259,2.39,1.68,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,uterine cancer,71,37,"beta[1,4]",0.507,0.01,0.37,-0.209,-0.095,0.26,0.5,0.758,1.124,1.239,1484.688,0.999,5,1.371,0.77,170,57,23,14,264,2.014,0.81,0.43,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,uterine cancer,15,77,"beta[2,4]",-0.56,0.016,0.566,-1.637,-1.459,-0.957,-0.569,-0.176,0.373,0.56,1330.888,0.999,6,-0.99,0.49,23,6,68,9,106,0.762,0.42,0.21,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,colorectal cancer,754,149,mu_beta[3],-0.602,0.027,1.025,-2.579,-2.26,-1.243,-0.577,0.035,1,1.491,1423.082,0.999,overall,-0.587,0.25,732,719,114,35,1600,35.796,8.66,7.23,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,melanoma,173,111,mu_beta[3],0.027,0.031,1.221,-2.459,-1.948,-0.7,0.006,0.77,1.963,2.441,1518.031,0.999,overall,0.022,0.01,244,143,81,30,498,3.322,1.17,0.67,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,non-small cell lung cancer,743,102,mu_beta[3],-0.997,0.021,0.809,-2.632,-2.259,-1.424,-0.992,-0.561,0.222,0.653,1421.984,0.999,overall,-1.233,0.66,1192,721,80,22,2015,10.13,2.84,2.03,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,SPEN,uterine cancer,86,114,mu_beta[3],-0.019,0.034,1.355,-2.798,-2.079,-0.78,-0.012,0.748,2.072,2.64,1611.373,0.999,overall,-0.014,0,193,63,91,23,370,0.638,0.37,0.18,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,colorectal cancer,367,12,"beta[1,4]",-0.423,0.014,0.562,-1.552,-1.369,-0.801,-0.428,-0.029,0.494,0.634,1578.067,1,4,-0.751,0.34,399,362,7,5,773,0.013,0.04,-0,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,colorectal cancer,320,61,"beta[2,4]",-0.577,0.007,0.276,-1.121,-1.049,-0.759,-0.569,-0.396,-0.109,-0.038,1432.68,0.999,5,-2.086,1.43,240,295,36,25,596,3.863,1.31,0.78,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,colorectal cancer,47,116,"beta[3,4]",-0.34,0.009,0.328,-1.014,-0.88,-0.554,-0.347,-0.131,0.203,0.328,1314.999,1.001,6,-1.037,0.52,51,21,90,26,188,0.75,0.41,0.2,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,melanoma,157,85,"beta[1,4]",-0.299,0.007,0.262,-0.814,-0.726,-0.478,-0.305,-0.119,0.132,0.219,1247.575,1,5,-1.141,0.6,176,127,55,30,388,0.948,0.48,0.25,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,melanoma,10,54,"beta[2,4]",-0.38,0.016,0.636,-1.606,-1.395,-0.801,-0.396,0.033,0.618,0.848,1553.588,0.999,6,-0.597,0.26,24,4,48,6,82,0.004,0.02,-0,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,non-small cell lung cancer,159,13,"beta[1,4]",-1.043,0.018,0.672,-2.455,-2.189,-1.451,-0.985,-0.589,-0.081,0.1,1460.958,1.001,3,-1.553,0.92,451,158,12,1,622,1.372,0.62,0.32,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,non-small cell lung cancer,267,36,"beta[2,4]",-0.307,0.009,0.36,-1.041,-0.912,-0.539,-0.293,-0.064,0.262,0.403,1466.547,1,4,-0.854,0.41,469,256,25,11,761,0.164,0.16,0.05,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,non-small cell lung cancer,476,155,"beta[3,4]",-0.348,0.005,0.184,-0.697,-0.647,-0.473,-0.347,-0.221,-0.044,0.008,1547.169,1,5,-1.892,1.23,648,427,106,49,1230,3.42,1.19,0.69,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,uterine cancer,68,42,"beta[1,4]",-0.663,0.011,0.43,-1.576,-1.381,-0.953,-0.637,-0.36,-0.004,0.097,1397.709,1.001,5,-1.544,0.91,147,60,34,8,249,1.273,0.59,0.3,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,uterine cancer,13,91,"beta[2,4]",-1.774,0.016,0.623,-3.014,-2.815,-2.209,-1.754,-1.343,-0.769,-0.579,1448.3,1,6,-2.848,2.36,15,7,85,6,113,8.734,2.51,1.77,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,colorectal cancer,734,189,mu_beta[3],-0.447,0.026,0.949,-2.279,-1.971,-1.016,-0.468,0.107,1.11,1.484,1355.529,1.001,overall,-0.471,0.2,690,678,133,56,1557,25.681,6.39,5.11,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,melanoma,167,139,mu_beta[3],-0.301,0.028,1.09,-2.318,-2.007,-0.934,-0.344,0.269,1.512,2.042,1504.928,1.003,overall,-0.276,0.11,200,131,103,36,470,7.409,2.19,1.51,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,non-small cell lung cancer,902,204,mu_beta[3],-0.575,0.015,0.566,-1.731,-1.527,-0.92,-0.555,-0.208,0.307,0.534,1443.049,1.002,overall,-1.015,0.51,1568,841,143,61,2613,1.872,0.77,0.4,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,KMT2C,uterine cancer,81,133,mu_beta[3],-1.084,0.036,1.343,-3.613,-3.191,-1.839,-1.148,-0.348,1.107,1.772,1426.938,0.999,overall,-0.807,0.38,162,67,119,14,362,15.934,4.18,3.18,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,TP53,cancer of unknown primary,30,39,"beta[1,4]",-0.035,0.012,0.41,-0.806,-0.701,-0.319,-0.042,0.254,0.645,0.755,1262.861,0.999,2,-0.086,0.03,60,18,27,12,117,0.454,0.3,0.13,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,cancer of unknown primary,40,74,"beta[2,4]",-0.322,0.009,0.327,-0.935,-0.838,-0.542,-0.333,-0.111,0.237,0.349,1412.723,1.001,3,-0.986,0.49,50,21,55,19,145,0.115,0.13,0.04,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,cancer of unknown primary,40,87,"beta[3,4]",-0.831,0.009,0.337,-1.502,-1.388,-1.054,-0.817,-0.607,-0.275,-0.174,1443.098,0.999,4,-2.467,1.87,37,23,70,17,147,5.419,1.7,1.09,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,cancer of unknown primary,49,153,"beta[4,4]",-0.844,0.009,0.317,-1.448,-1.378,-1.067,-0.839,-0.624,-0.315,-0.217,1331.443,1.001,5,-2.662,2.11,35,21,125,28,209,7.384,2.18,1.5,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,colorectal cancer,28,104,"beta[1,4]",-1.308,0.01,0.389,-2.058,-1.931,-1.57,-1.299,-1.052,-0.642,-0.533,1517.896,1,2,-3.364,3.11,21,13,89,15,138,7.571,2.23,1.54,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,colorectal cancer,193,411,"beta[2,4]",-1.504,0.006,0.245,-2.015,-1.924,-1.664,-1.497,-1.33,-1.115,-1.028,1540.231,1,3,-6.144,9.1,24,61,279,132,496,44.925,10.69,9.19,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,colorectal cancer,387,655,"beta[3,4]",-1.224,0.005,0.178,-1.571,-1.513,-1.348,-1.228,-1.105,-0.932,-0.871,1395.915,0.999,4,-6.878,11.22,51,124,392,263,830,51.091,12.05,10.48,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,colorectal cancer,363,423,"beta[4,4]",-0.53,0.004,0.157,-0.856,-0.8,-0.632,-0.525,-0.417,-0.281,-0.24,1449.901,1.003,5,-3.376,3.13,95,154,214,209,672,9.268,2.63,1.87,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,colorectal cancer,45,78,"beta[5,4]",-0.471,0.009,0.33,-1.08,-1,-0.689,-0.47,-0.257,0.085,0.197,1412.723,1.001,6,-1.425,0.81,66,26,59,19,170,0.16,0.16,0.05,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,melanoma,17,14,"beta[1,4]",-1.354,0.026,1.025,-3.769,-3.143,-1.885,-1.227,-0.69,0.018,0.255,1496.195,1.001,3,-1.321,0.73,81,17,14,0,112,1.674,0.71,0.37,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,melanoma,22,16,"beta[2,4]",0.31,0.016,0.575,-0.873,-0.64,-0.062,0.313,0.685,1.231,1.395,1330.979,1.002,4,0.539,0.23,72,17,11,5,105,0.586,0.35,0.17,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,melanoma,165,119,"beta[3,4]",-0.285,0.006,0.226,-0.72,-0.643,-0.438,-0.287,-0.127,0.082,0.148,1586.895,1,5,-1.262,0.68,167,123,77,42,409,1.494,0.65,0.34,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,melanoma,11,52,"beta[4,4]",0.15,0.015,0.56,-0.945,-0.736,-0.232,0.132,0.502,1.08,1.283,1388.728,1.002,6,0.268,0.1,26,3,44,8,81,0.088,0.12,0.02,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,non-small cell lung cancer,83,180,"beta[1,4]",-1.126,0.007,0.285,-1.678,-1.603,-1.314,-1.124,-0.931,-0.66,-0.58,1537.647,1,2,-3.948,4.1,199,64,161,19,443,12.436,3.38,2.49,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,non-small cell lung cancer,159,324,"beta[2,4]",-1.563,0.005,0.198,-1.947,-1.883,-1.7,-1.559,-1.432,-1.24,-1.189,1329.636,1,3,-7.89,14.52,194,121,286,38,639,59.426,13.9,12.3,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,non-small cell lung cancer,270,450,"beta[3,4]",-1.411,0.004,0.157,-1.719,-1.682,-1.512,-1.409,-1.303,-1.151,-1.109,1475,0.999,4,-9.013,18.7,162,176,356,94,788,81.946,18.85,17.07,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,non-small cell lung cancer,491,996,"beta[4,4]",-1.74,0.004,0.14,-2.01,-1.972,-1.836,-1.739,-1.647,-1.506,-1.469,1536.964,0.998,5,-12.429,34.74,105,227,732,264,1328,185.509,41.52,39.2,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,pancreatic cancer,277,216,"beta[1,4]",2.655,0.009,0.333,2.073,2.157,2.433,2.623,2.847,3.259,3.408,1382.037,0.998,2,7.966,14.81,62,68,7,209,346,97.678,22.31,20.39,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,pancreatic cancer,459,392,"beta[2,4]",2.506,0.007,0.241,2.033,2.12,2.344,2.508,2.659,2.902,3.016,1245.463,1,3,10.421,34.74,49,85,18,374,526,89.004,20.4,18.53,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,pancreatic cancer,243,206,"beta[3,4]",2.153,0.008,0.31,1.523,1.622,1.956,2.155,2.375,2.625,2.715,1369.654,0.999,4,6.952,11.44,25,53,16,190,284,25.081,6.26,4.99,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,pancreatic cancer,38,34,"beta[4,4]",1.982,0.011,0.399,1.157,1.284,1.726,2.009,2.258,2.601,2.706,1328.234,0.998,5,4.968,6.17,11,11,7,27,56,4.035,1.35,0.81,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,uterine cancer,14,77,"beta[1,4]",-1.177,0.011,0.425,-2.03,-1.887,-1.446,-1.175,-0.882,-0.513,-0.384,1407.152,1.003,2,-2.768,2.25,59,10,73,4,146,2.636,0.98,0.53,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,uterine cancer,27,167,"beta[2,4]",-1.155,0.009,0.353,-1.856,-1.737,-1.379,-1.163,-0.914,-0.558,-0.461,1590.269,1,3,-3.276,2.98,68,16,156,11,251,7.788,2.28,1.58,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,uterine cancer,48,132,"beta[3,4]",-1.366,0.008,0.315,-2.015,-1.899,-1.565,-1.352,-1.155,-0.878,-0.793,1485.357,1,4,-4.332,4.83,76,36,120,12,244,18.942,4.87,3.77,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,uterine cancer,73,68,"beta[4,4]",-0.684,0.008,0.316,-1.313,-1.192,-0.889,-0.682,-0.466,-0.177,-0.083,1656.665,0.999,5,-2.164,1.52,144,59,54,14,271,1.454,0.64,0.33,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,uterine cancer,11,39,"beta[5,4]",-0.961,0.011,0.463,-1.859,-1.702,-1.266,-0.96,-0.652,-0.181,-0.051,1699.543,1,6,-2.074,1.42,31,7,35,4,77,0.487,0.31,0.14,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,cancer of unknown primary,163,378,mu_beta[3],-0.613,0.011,0.404,-1.434,-1.282,-0.868,-0.611,-0.349,0.074,0.161,1452.875,1.002,overall,-1.519,0.89,183,85,300,78,646,9.629,2.72,1.94,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,colorectal cancer,1016,1671,mu_beta[3],-0.996,0.011,0.427,-1.832,-1.671,-1.264,-1.002,-0.725,-0.3,-0.139,1392.348,0.999,overall,-2.335,1.71,257,378,1033,638,2306,84.209,19.35,17.51,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,melanoma,215,201,mu_beta[3],-0.275,0.017,0.652,-1.669,-1.334,-0.643,-0.263,0.126,0.734,0.914,1423.088,0.999,overall,-0.421,0.17,346,160,146,55,707,1.039,0.51,0.25,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,non-small cell lung cancer,1003,1950,mu_beta[3],-1.45,0.011,0.44,-2.358,-2.146,-1.719,-1.446,-1.176,-0.736,-0.579,1485.472,1,overall,-3.297,3.01,660,588,1535,415,3198,234.715,52.25,49.64,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,pancreatic cancer,1017,848,mu_beta[3],2.316,0.009,0.308,1.699,1.829,2.121,2.323,2.505,2.796,2.915,1134.099,1,overall,7.526,13.28,147,217,48,800,1212,224.898,50.11,47.67,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,TP53,uterine cancer,173,483,mu_beta[3],-1.055,0.009,0.337,-1.724,-1.604,-1.269,-1.064,-0.835,-0.498,-0.368,1420.438,1.001,overall,-3.127,2.75,378,128,438,45,989,42.621,10.18,8.69,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,colorectal cancer,375,19,"beta[1,4]",-0.563,0.012,0.447,-1.441,-1.315,-0.874,-0.546,-0.252,0.127,0.287,1368.817,0.999,4,-1.26,0.68,404,368,12,7,791,0.492,0.32,0.14,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,colorectal cancer,338,35,"beta[2,4]",-0.596,0.008,0.334,-1.23,-1.129,-0.833,-0.597,-0.361,-0.07,0.068,1664.89,1,5,-1.785,1.13,269,324,21,14,628,2.291,0.89,0.47,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,colorectal cancer,42,59,"beta[3,4]",-0.236,0.01,0.366,-0.913,-0.817,-0.495,-0.231,0.013,0.362,0.504,1415.354,1,6,-0.644,0.28,73,28,45,14,160,0.135,0.15,0.04,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,melanoma,162,58,"beta[1,4]",-0.305,0.008,0.294,-0.892,-0.774,-0.5,-0.305,-0.105,0.165,0.279,1323.071,1.001,5,-1.035,0.52,209,142,38,20,409,0.514,0.32,0.15,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,melanoma,8,30,"beta[2,4]",-3.017,0.054,2.027,-8.217,-6.949,-3.837,-2.559,-1.654,-0.733,-0.395,1433.247,1,6,-1.488,0.86,46,8,30,0,84,3.343,1.17,0.67,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,non-small cell lung cancer,267,32,"beta[1,4]",0.036,0.009,0.338,-0.649,-0.545,-0.19,0.048,0.27,0.582,0.686,1480.76,0.999,4,0.107,0.04,476,255,20,12,763,0.013,0.04,-0,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,non-small cell lung cancer,481,160,"beta[2,4]",0.116,0.004,0.169,-0.222,-0.162,0.011,0.121,0.226,0.391,0.452,1591.406,1.001,5,0.689,0.31,673,416,95,65,1249,0.252,0.21,0.07,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,uterine cancer,14,11,"beta[1,4]",-2.301,0.043,1.593,-6.236,-5.181,-3.222,-2.094,-1.14,-0.157,0.141,1374.478,1.001,2,-1.445,0.83,120,14,11,0,145,0.356,0.26,0.1,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,uterine cancer,26,14,"beta[2,4]",-2.44,0.04,1.526,-5.756,-5.15,-3.26,-2.203,-1.38,-0.329,-0.107,1437.181,1.001,3,-1.599,0.96,201,26,14,0,241,0.804,0.43,0.21,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,uterine cancer,70,19,"beta[3,4]",-0.601,0.016,0.603,-1.88,-1.665,-0.961,-0.584,-0.196,0.322,0.492,1482.721,1.001,5,-0.997,0.5,179,66,15,4,264,0.084,0.11,0.02,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,uterine cancer,12,112,"beta[4,4]",-1.177,0.015,0.591,-2.333,-2.155,-1.558,-1.171,-0.779,-0.19,-0.031,1470.373,0.999,6,-1.99,1.33,23,5,105,7,140,2.512,0.95,0.51,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,colorectal cancer,755,113,mu_beta[3],-0.453,0.02,0.765,-1.849,-1.611,-0.921,-0.473,-0.002,0.696,1.04,1403.817,0.999,overall,-0.593,0.26,746,720,78,35,1579,13.118,3.53,2.62,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,melanoma,170,88,mu_beta[3],-1.418,0.039,1.522,-4.959,-4.117,-2.19,-1.281,-0.474,0.778,1.343,1547.822,1,overall,-0.931,0.45,255,150,68,20,493,5.934,1.83,1.19,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,non-small cell lung cancer,748,192,mu_beta[3],0.09,0.016,0.648,-1.2,-0.89,-0.255,0.087,0.425,1.044,1.378,1551.49,1.002,overall,0.138,0.05,1149,671,115,77,2012,0.646,0.38,0.18,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATRX,uterine cancer,122,156,mu_beta[3],-1.573,0.028,1.053,-3.749,-3.402,-2.246,-1.473,-0.857,0.028,0.301,1442.509,1,overall,-1.494,0.87,523,111,145,11,790,9.698,2.73,1.95,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,ATR,colorectal cancer,339,35,"beta[1,4]",-0.543,0.009,0.346,-1.222,-1.103,-0.771,-0.548,-0.307,0.012,0.148,1466.63,1,5,-1.572,0.94,268,324,20,15,627,1.428,0.63,0.33,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,ATR,colorectal cancer,42,65,"beta[2,4]",-0.868,0.011,0.405,-1.7,-1.554,-1.135,-0.858,-0.588,-0.218,-0.108,1456.843,1,6,-2.142,1.49,74,32,55,10,171,4,1.34,0.81,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,ATR,non-small cell lung cancer,159,12,"beta[1,4]",-0.498,0.015,0.569,-1.667,-1.481,-0.855,-0.448,-0.124,0.389,0.564,1438.939,0.999,3,-0.877,0.42,457,157,10,2,626,0.135,0.15,0.04,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,ATR,non-small cell lung cancer,268,15,"beta[2,4]",-0.068,0.012,0.457,-0.944,-0.829,-0.384,-0.058,0.252,0.686,0.816,1341.06,1.001,4,-0.149,0.05,487,262,9,6,764,0.017,0.05,-0,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,ATR,non-small cell lung cancer,475,93,"beta[3,4]",-0.224,0.006,0.22,-0.68,-0.586,-0.367,-0.217,-0.072,0.126,0.196,1297.411,0.999,5,-1.016,0.51,688,444,62,31,1225,1.02,0.51,0.25,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,ATR,colorectal cancer,381,100,mu_beta[3],-0.69,0.031,1.175,-3.014,-2.459,-1.299,-0.716,-0.122,1.15,1.769,1405.207,1,overall,-0.587,0.25,342,356,75,25,798,22.674,5.72,4.52,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,ATR,non-small cell lung cancer,902,120,mu_beta[3],-0.248,0.013,0.505,-1.26,-1.051,-0.563,-0.241,0.065,0.573,0.763,1618.199,1,overall,-0.491,0.21,1632,863,81,39,2615,0.138,0.15,0.04,FALSE,4.7,5.32
single,Any mutation,TMB,RAS_12-61,PDGFRA,non-small cell lung cancer,267,16,"beta[1,4]",-0.068,0.012,0.479,-0.992,-0.861,-0.386,-0.075,0.255,0.7,0.853,1474.487,0.999,4,-0.142,0.05,485,261,10,6,762,0,0,-0,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,PDGFRA,non-small cell lung cancer,476,115,"beta[2,4]",-0.29,0.006,0.215,-0.701,-0.639,-0.436,-0.286,-0.145,0.056,0.129,1351.429,0.998,5,-1.349,0.75,676,439,78,37,1230,1.984,0.8,0.43,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,PDGFRA,non-small cell lung cancer,743,131,mu_beta[3],-0.21,0.021,0.852,-1.962,-1.557,-0.644,-0.201,0.248,1.112,1.583,1582.113,1,overall,-0.247,0.09,1161,700,88,43,1992,1.004,0.5,0.25,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,colorectal cancer,192,22,"beta[1,4]",-0.502,0.011,0.419,-1.346,-1.217,-0.775,-0.5,-0.21,0.2,0.29,1433.672,1,3,-1.198,0.64,280,186,16,6,488,0.927,0.47,0.24,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,colorectal cancer,381,85,"beta[2,4]",0.217,0.006,0.22,-0.214,-0.141,0.064,0.217,0.368,0.573,0.654,1268.58,1,4,0.988,0.49,381,336,40,45,802,0.896,0.46,0.23,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,colorectal cancer,357,160,"beta[3,4]",0.389,0.005,0.178,0.04,0.1,0.267,0.387,0.505,0.674,0.741,1357.624,1.001,5,2.184,1.54,232,258,61,99,650,3.779,1.28,0.76,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,colorectal cancer,38,65,"beta[4,4]",0.419,0.009,0.347,-0.228,-0.131,0.177,0.408,0.658,0.993,1.091,1445.674,1.002,6,1.208,0.64,66,18,45,20,149,1.227,0.57,0.29,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,uterine cancer,26,30,"beta[1,4]",-0.359,0.015,0.582,-1.557,-1.348,-0.727,-0.324,0.049,0.53,0.706,1494.89,0.999,3,-0.617,0.27,188,24,28,2,242,0.207,0.19,0.06,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,uterine cancer,48,29,"beta[2,4]",0.17,0.011,0.425,-0.707,-0.526,-0.113,0.185,0.462,0.852,0.961,1537.085,0.999,4,0.4,0.16,159,41,22,7,229,0.042,0.08,0,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,uterine cancer,70,30,"beta[3,4]",0.413,0.011,0.389,-0.35,-0.233,0.162,0.419,0.661,1.043,1.164,1207.625,1,5,1.062,0.54,173,59,19,11,262,1.187,0.56,0.28,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,uterine cancer,14,47,"beta[4,4]",0.475,0.014,0.518,-0.515,-0.352,0.115,0.479,0.808,1.32,1.511,1416.168,1,6,0.918,0.45,25,4,37,10,76,0.263,0.22,0.08,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,colorectal cancer,968,332,mu_beta[3],0.147,0.013,0.494,-0.86,-0.671,-0.151,0.16,0.46,0.888,1.076,1434.156,0.998,overall,0.299,0.12,959,798,162,170,2089,3.531,1.22,0.71,TRUE,4.77,5.43
single,Any mutation,TMB,RAS_12-61,FBXW7,uterine cancer,158,136,mu_beta[3],0.174,0.019,0.574,-0.919,-0.724,-0.187,0.174,0.536,1.096,1.276,961.07,1.003,overall,0.303,0.12,545,128,106,30,809,0.486,0.31,0.14,TRUE,4.77,5.43
