cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Deletion,none,RAS_12-61,PTEN,colorectal cancer,1767,56,"beta[1,4]",0.348,0.007,0.268,-0.184,-0.102,0.162,0.349,0.53,0.785,0.875,1321.16,0.999,NA,1.297,0.71,2299,1738,27,29,4093,1.38,0.62,0.47,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,CDKN2A,cancer of unknown primary,308,168,"beta[1,4]",0.463,0.004,0.174,0.125,0.184,0.347,0.463,0.576,0.751,0.819,1499.058,1,NA,2.665,2.11,993,258,118,50,1419,6.75,2.03,1.69,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,CDKN2A,non-small cell lung cancer,1975,513,"beta[2,4]",-0.574,0.003,0.112,-0.792,-0.757,-0.649,-0.57,-0.5,-0.395,-0.35,1159.534,1.002,NA,-5.115,6.5,4137,1871,409,104,6521,25.932,6.45,5.52,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,CDKN2A,pancreatic cancer,1591,249,"beta[3,4]",0.412,0.004,0.174,0.076,0.143,0.288,0.415,0.531,0.695,0.754,1664.348,0.998,NA,2.373,1.75,468,1387,45,204,2104,5.717,1.77,1.54,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,CDKN2A,melanoma,423,346,"beta[4,4]",0.388,0.004,0.13,0.125,0.173,0.301,0.386,0.476,0.597,0.636,1321.395,1.001,NA,2.978,2.54,923,308,231,115,1577,8.876,2.54,2.01,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,CDKN2A,hepatobiliary cancer,135,100,"beta[5,4]",-0.382,0.009,0.332,-1.036,-0.931,-0.597,-0.386,-0.151,0.156,0.278,1423.07,0.998,NA,-1.15,0.6,850,126,91,9,1076,0.933,0.48,0.39,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,CDKN2A,bladder cancer,130,259,"beta[6,4]",0.095,0.006,0.228,-0.365,-0.285,-0.061,0.108,0.255,0.453,0.514,1475.981,0.999,NA,0.418,0.17,996,103,232,27,1358,0.16,0.16,0.16,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,SMAD4,colorectal cancer,1767,111,"beta[1,4]",0.405,0.005,0.195,0.015,0.087,0.275,0.401,0.54,0.738,0.811,1337.154,1,NA,2.083,1.43,2273,1709,53,58,4093,3.464,1.2,1.01,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,SMAD4,pancreatic cancer,1591,68,"beta[2,4]",1.127,0.011,0.391,0.441,0.524,0.853,1.102,1.365,1.825,1.987,1363.63,1.001,NA,2.886,2.41,507,1529,6,62,2104,8.375,2.42,1.97,TRUE,2.7,3.71
multi,Deletion,none,RAS_12-61,RB1,uterine cancer,318,70,"beta[1,4]",-2.22,0.022,0.776,-3.957,-3.611,-2.676,-2.105,-1.705,-1.113,-0.933,1276.035,1,NA,-2.861,2.37,1459,316,68,2,1845,9.524,2.69,2.06,TRUE,2.7,3.71
multi,Deletion,none,KRAS_12-61,PTEN,colorectal cancer,1598,56,"beta[1,4]",0.303,0.007,0.269,-0.214,-0.138,0.123,0.303,0.488,0.733,0.814,1545.413,0.999,NA,1.127,0.59,2465,1572,30,26,4093,1.006,0.5,0.48,TRUE,2.7,3.46
multi,Deletion,none,KRAS_12-61,CDKN2A,cancer of unknown primary,278,168,"beta[1,4]",0.477,0.005,0.186,0.106,0.169,0.352,0.485,0.603,0.777,0.826,1528.559,0.999,NA,2.562,1.98,1019,232,122,46,1419,6.79,2.04,1.62,TRUE,2.7,3.46
multi,Deletion,none,KRAS_12-61,CDKN2A,non-small cell lung cancer,1916,513,"beta[2,4]",-0.541,0.003,0.111,-0.748,-0.717,-0.614,-0.544,-0.466,-0.357,-0.32,1561.415,0.999,NA,-4.869,5.95,4195,1813,410,103,6521,22.746,5.73,4.92,TRUE,2.7,3.46
