cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Deletion,agecat,RAS_12-61,PTEN,colorectal cancer,345,11,"beta[1,4]",0.38,0.01,0.318,-0.235,-0.115,0.188,0.386,0.584,0.878,0.976,1054.287,1.001,40-50,1.195,0.63,455,342,8,3,808,0.54,0.33,0.15,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,PTEN,colorectal cancer,762,26,"beta[2,4]",0.461,0.009,0.286,-0.06,0.014,0.257,0.456,0.661,0.937,1.023,1087.111,1,50-65,1.611,0.97,968,745,9,17,1739,4.137,1.38,0.92,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,PTEN,colorectal cancer,510,15,"beta[3,4]",0.416,0.008,0.285,-0.115,-0.04,0.225,0.41,0.61,0.883,0.997,1157.781,1,>65,1.46,0.84,660,502,7,8,1177,0.275,0.22,0.09,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,PTEN,colorectal cancer,1617,52,mu_beta[3],0.42,0.009,0.288,-0.134,-0.022,0.231,0.411,0.611,0.908,1.009,1078.14,1,overall,1.462,0.84,2083,1589,24,28,3724,1.922,0.78,0.46,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,cancer of unknown primary,19,16,"beta[1,4]",0.059,0.015,0.528,-1.151,-0.891,-0.186,0.142,0.392,0.756,0.852,1261.63,1.001,40-50,0.111,0.04,100,18,15,1,134,0.345,0.25,0.1,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,cancer of unknown primary,134,66,"beta[2,4]",0.677,0.018,0.294,0.078,0.182,0.474,0.682,0.881,1.151,1.255,268.557,1.013,50-65,2.302,1.67,413,107,39,27,586,12.598,3.41,2.41,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,cancer of unknown primary,148,81,"beta[3,4]",0.193,0.008,0.263,-0.319,-0.231,0.017,0.192,0.367,0.619,0.727,992.477,1.001,>65,0.734,0.33,406,128,61,20,615,0,0,0,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,non-small cell lung cancer,65,29,"beta[1,4]",-0.474,0.009,0.327,-1.083,-0.995,-0.7,-0.484,-0.283,0.102,0.226,1258.421,1,40-50,-1.449,0.83,264,60,24,5,353,0,0,0,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,non-small cell lung cancer,687,196,"beta[2,4]",-0.731,0.005,0.174,-1.065,-1.016,-0.847,-0.728,-0.607,-0.451,-0.403,1461.161,0.999,50-65,-4.199,4.57,1507,655,164,32,2358,16.316,4.27,2.95,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,non-small cell lung cancer,1215,283,"beta[3,4]",-0.53,0.004,0.138,-0.81,-0.758,-0.618,-0.527,-0.437,-0.307,-0.264,1529.625,0.999,>65,-3.85,3.93,2275,1149,217,66,3707,11.969,3.27,2.41,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,pancreatic cancer,88,21,"beta[1,4]",0.63,0.011,0.39,-0.123,-0.008,0.374,0.633,0.888,1.252,1.401,1337.52,1,40-50,1.615,0.97,56,73,6,15,150,1.085,0.53,0.29,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,pancreatic cancer,615,107,"beta[2,4]",0.389,0.006,0.237,-0.07,0.008,0.229,0.384,0.552,0.784,0.861,1636.141,1,50-65,1.642,1,209,532,24,83,848,1.289,0.59,0.33,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,pancreatic cancer,871,116,"beta[3,4]",0.68,0.008,0.28,0.138,0.25,0.494,0.668,0.857,1.166,1.256,1271.047,1.003,>65,2.433,1.83,160,765,10,106,1041,5.062,1.61,1.03,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,melanoma,20,28,"beta[1,4]",0.371,0.007,0.265,-0.154,-0.061,0.212,0.368,0.534,0.794,0.929,1453.303,1.002,<40,1.404,0.79,93,14,22,6,135,0.653,0.38,0.17,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,melanoma,32,33,"beta[2,4]",0.506,0.007,0.262,0.019,0.1,0.327,0.492,0.669,0.953,1.037,1559.891,1,40-50,1.926,1.27,81,20,21,12,134,2.897,1.05,0.69,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,melanoma,143,131,"beta[3,4]",0.368,0.005,0.181,-0.002,0.077,0.247,0.369,0.487,0.662,0.717,1270.645,1,50-65,2.031,1.37,342,104,92,39,577,1.929,0.78,0.46,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,melanoma,228,154,"beta[4,4]",0.404,0.004,0.158,0.081,0.139,0.301,0.408,0.509,0.649,0.697,1452.688,1.003,>65,2.563,1.98,407,170,96,58,731,3.436,1.2,0.78,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,hepatobiliary cancer,49,43,"beta[1,4]",-0.402,0.021,0.401,-1.192,-1.037,-0.697,-0.405,-0.122,0.251,0.339,355.176,1.009,50-65,-1.002,0.5,316,45,39,4,404,0.125,0.14,0.07,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,hepatobiliary cancer,69,47,"beta[2,4]",-0.413,0.015,0.384,-1.148,-1.05,-0.71,-0.406,-0.13,0.2,0.272,653.845,1.011,>65,-1.074,0.55,374,64,42,5,485,0.272,0.22,0.09,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,bladder cancer,44,76,"beta[1,4]",-0.049,0.009,0.309,-0.738,-0.561,-0.216,-0.043,0.149,0.417,0.516,1235.054,1,50-65,-0.158,0.06,327,38,70,6,441,0.208,0.19,0.08,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,bladder cancer,76,170,"beta[2,4]",0.083,0.008,0.25,-0.425,-0.339,-0.071,0.075,0.254,0.505,0.567,1099.77,1.001,>65,0.331,0.13,612,58,152,18,840,0.402,0.28,0.11,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,cancer of unknown primary,301,163,mu_beta[3],0.309,0.01,0.357,-0.474,-0.284,0.119,0.329,0.525,0.812,0.918,1252.21,1,overall,0.866,0.41,919,253,115,48,1335,4.623,1.5,0.96,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,non-small cell lung cancer,1967,508,mu_beta[3],-0.582,0.007,0.268,-1.08,-0.979,-0.742,-0.598,-0.426,-0.145,-0.032,1471.09,0.999,overall,-2.172,1.52,4046,1864,405,103,6418,27.397,6.78,5.27,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,pancreatic cancer,1574,244,mu_beta[3],0.568,0.011,0.417,-0.181,-0.079,0.313,0.567,0.791,1.183,1.347,1479.865,1.002,overall,1.363,0.76,425,1370,40,204,2039,6.066,1.86,1.19,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,melanoma,423,346,mu_beta[3],0.419,0.005,0.203,0.023,0.09,0.29,0.418,0.543,0.747,0.832,1582.908,1.001,overall,2.068,1.41,923,308,231,115,1577,8.876,2.54,1.77,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,hepatobiliary cancer,118,90,mu_beta[3],-0.403,0.019,0.474,-1.264,-1.107,-0.72,-0.405,-0.126,0.254,0.412,607.851,1.01,overall,-0.851,0.4,690,109,81,9,889,0.643,0.37,0.17,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,CDKN2A,bladder cancer,120,246,mu_beta[3],0.013,0.01,0.365,-0.723,-0.525,-0.16,0.017,0.214,0.5,0.639,1425.065,1.003,overall,0.036,0.01,939,96,222,24,1281,0.012,0.04,0.01,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,SMAD4,colorectal cancer,345,20,"beta[1,4]",0.338,0.013,0.217,-0.09,-0.021,0.192,0.335,0.484,0.71,0.742,286.585,1.01,40-50,1.56,0.92,453,335,10,10,808,0.193,0.18,0.08,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,SMAD4,colorectal cancer,762,49,"beta[2,4]",0.366,0.011,0.21,-0.042,0.017,0.227,0.366,0.511,0.723,0.753,380.856,1.009,50-65,1.744,1.09,956,734,21,28,1739,3.101,1.11,0.72,TRUE,2.7,3.71
single,Deletion,agecat,RAS_12-61,SMAD4,colorectal cancer,510,35,"beta[3,4]",0.343,0.011,0.21,-0.065,-0.01,0.207,0.339,0.484,0.715,0.731,359.4,1.011,>65,1.632,0.99,648,494,19,16,1177,0.013,0.04,0.01,TRUE,2.7,3.71
