cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Deletion,race,RAS_12-61,PTEN,colorectal cancer,1408,46,"beta[1,4]",0.507,0.009,0.308,-0.048,0.027,0.295,0.492,0.713,1.041,1.123,1242.665,1,White,1.647,1,1926,1383,21,25,3355,2.443,0.93,0.72,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,PTEN,colorectal cancer,1408,46,mu_beta[3],0.392,0.053,2.059,-4.348,-2.986,-0.449,0.473,1.347,3.554,4.422,1530.582,0.999,overall,0.19,0.07,1926,1383,21,25,3355,2.443,0.93,0.72,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,CDKN2A,cancer of unknown primary,13,12,"beta[1,4]",0.532,0.017,0.472,-0.313,-0.158,0.234,0.511,0.798,1.374,1.615,759.778,1.001,Asian,1.127,0.59,38,9,8,4,59,0.446,0.3,0.22,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,CDKN2A,cancer of unknown primary,261,145,"beta[2,4]",0.369,0.01,0.201,-0.074,0.019,0.245,0.369,0.51,0.685,0.737,409.381,1.008,White,1.833,1.17,817,220,104,41,1182,3.287,1.16,0.85,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,CDKN2A,non-small cell lung cancer,50,56,"beta[1,4]",-0.614,0.009,0.38,-1.359,-1.252,-0.872,-0.606,-0.353,-0.001,0.115,1614.551,0.999,Asian,-1.616,0.97,331,46,52,4,433,0.777,0.42,0.31,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,CDKN2A,non-small cell lung cancer,76,30,"beta[2,4]",-0.222,0.009,0.361,-0.917,-0.818,-0.464,-0.226,0.015,0.37,0.5,1547.798,1,Black,-0.614,0.27,208,68,22,8,306,0,0.01,0,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,CDKN2A,non-small cell lung cancer,62,16,"beta[3,4]",-0.864,0.012,0.477,-1.876,-1.696,-1.167,-0.82,-0.544,-0.136,-0.018,1556.026,0.999,Unknown,-1.813,1.16,174,61,15,1,251,2.158,0.85,0.65,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,CDKN2A,non-small cell lung cancer,1767,400,"beta[4,4]",-0.552,0.003,0.123,-0.803,-0.754,-0.632,-0.553,-0.477,-0.345,-0.304,1299.763,1.001,White,-4.485,5.14,3352,1677,310,90,5429,19.365,4.97,3.9,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,CDKN2A,pancreatic cancer,59,16,"beta[1,4]",0.661,0.008,0.339,0.021,0.157,0.445,0.641,0.847,1.261,1.391,1612.753,1.001,Asian,1.951,1.29,24,46,3,13,86,0.827,0.44,0.31,TRUE,2.7,3.71
single,Deletion,race,RAS_12-61,CDKN2A,pancreatic cancer,54,11,"beta[2,4]",0.639,0.009,0.348,0.009,0.103,0.411,0.605,0.841,1.231,1.377,1550.463,1,Black,1.839,1.18,17,44,1,10,72,0.894,0.46,0.31,TRUE,2.7,3.71
