cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Deletion,sample_type,RAS_12-61,PTEN,colorectal cancer,635,16,"beta[1,4]",0.203,0.01,0.339,-0.528,-0.407,0.01,0.239,0.415,0.732,0.85,1213.921,1.001,Metastasis,0.599,0.26,774,628,9,7,1418,0,0,-0,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,PTEN,colorectal cancer,1115,39,"beta[2,4]",0.348,0.009,0.283,-0.179,-0.085,0.158,0.32,0.535,0.839,0.938,1080.869,1,Primary,1.227,0.66,1508,1094,18,21,2641,1.737,0.73,0.47,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,PTEN,colorectal cancer,1750,55,mu_beta[3],0.27,0.01,0.372,-0.472,-0.283,0.08,0.237,0.495,0.837,0.96,1284.479,1.001,overall,0.727,0.33,2282,1722,27,28,4059,1.078,0.52,0.34,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,cancer of unknown primary,235,131,"beta[1,4]",0.498,0.019,0.189,0.147,0.213,0.355,0.488,0.64,0.808,0.879,100.1,1.043,Metastasis,2.632,2.07,776,195,91,40,1102,6.906,2.07,1.55,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,cancer of unknown primary,34,16,"beta[2,4]",0.435,0.009,0.302,-0.224,-0.058,0.259,0.415,0.626,0.933,1.036,1085.103,1.005,Not Applicable or Heme,1.439,0.82,79,29,11,5,124,0.005,0.02,-0,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,cancer of unknown primary,30,13,"beta[3,4]",0.395,0.009,0.318,-0.288,-0.121,0.244,0.378,0.593,0.87,0.995,1133.823,1.004,Primary,1.241,0.67,126,27,10,3,166,0.013,0.04,-0,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,non-small cell lung cancer,680,299,"beta[1,4]",-0.464,0.004,0.147,-0.755,-0.709,-0.562,-0.467,-0.364,-0.221,-0.182,1558.871,0.999,Metastasis,-3.147,2.78,1565,620,239,60,2484,8.719,2.5,1.83,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,non-small cell lung cancer,1283,213,"beta[2,4]",-0.633,0.004,0.169,-0.956,-0.915,-0.738,-0.636,-0.517,-0.356,-0.315,1446.54,1,Primary,-3.745,3.74,2538,1239,169,44,3990,13.085,3.53,2.44,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,pancreatic cancer,618,148,"beta[1,4]",0.371,0.005,0.218,-0.043,0.018,0.223,0.369,0.523,0.729,0.798,1576.357,1.002,Metastasis,1.698,1.05,176,501,31,117,825,1.391,0.62,0.43,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,pancreatic cancer,968,101,"beta[2,4]",0.587,0.007,0.273,0.092,0.166,0.397,0.57,0.768,1.057,1.154,1434.656,0.999,Primary,2.151,1.5,290,881,14,87,1272,5.493,1.72,1.3,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,melanoma,308,262,"beta[1,4]",0.478,0.004,0.145,0.198,0.24,0.377,0.479,0.576,0.709,0.753,1561.115,0.999,Metastasis,3.307,3.02,599,211,165,97,1072,11.112,3.07,2.3,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,melanoma,112,79,"beta[2,4]",0.016,0.007,0.271,-0.532,-0.448,-0.152,0.028,0.207,0.431,0.504,1350.173,0.999,Primary,0.058,0.02,313,95,62,17,487,0.038,0.07,-0,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,hepatobiliary cancer,44,32,"beta[1,4]",-0.346,0.089,0.507,-1.303,-1.261,-0.651,-0.316,0.011,0.428,0.53,32.332,1.116,Metastasis,-0.682,0.31,226,39,27,5,297,0,0,-0,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,hepatobiliary cancer,87,66,"beta[2,4]",-0.594,0.071,0.472,-1.4,-1.365,-0.923,-0.531,-0.259,0.119,0.228,44.294,1.08,Primary,-1.258,0.68,616,83,62,4,765,1.486,0.65,0.44,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,bladder cancer,25,57,"beta[1,4]",0.225,0.021,0.34,-0.392,-0.304,-0.007,0.22,0.418,0.817,1.009,264.426,1.023,Metastasis,0.661,0.29,202,17,49,8,276,1.466,0.65,0.44,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,bladder cancer,104,202,"beta[2,4]",0.066,0.015,0.245,-0.407,-0.355,-0.101,0.072,0.248,0.44,0.512,266.86,1.018,Primary,0.271,0.1,791,85,183,19,1078,0,0,-0,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,cancer of unknown primary,299,160,mu_beta[3],0.434,0.01,0.265,-0.077,0.019,0.292,0.424,0.608,0.863,0.953,768.781,1.014,overall,1.638,0.99,981,251,112,48,1392,7.221,2.14,1.6,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,non-small cell lung cancer,1963,512,mu_beta[3],-0.527,0.014,0.534,-1.518,-1.258,-0.798,-0.54,-0.293,0.292,0.56,1403.578,0.999,overall,-0.987,0.49,4103,1859,408,104,6474,25.849,6.43,5.02,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,pancreatic cancer,1586,249,mu_beta[3],0.455,0.017,0.644,-0.851,-0.577,0.152,0.458,0.762,1.378,1.913,1445.315,0.998,overall,0.707,0.32,466,1382,45,204,2097,5.695,1.77,1.33,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,melanoma,420,341,mu_beta[3],0.256,0.013,0.449,-0.578,-0.399,0.03,0.263,0.468,0.906,1.196,1231.968,1.001,overall,0.571,0.25,912,306,227,114,1559,8.925,2.55,1.83,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,hepatobiliary cancer,131,98,mu_beta[3],-0.46,0.08,0.561,-1.394,-1.323,-0.815,-0.413,-0.112,0.346,0.544,49.237,1.076,overall,-0.82,0.39,842,122,89,9,1062,0.697,0.39,0.26,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,CDKN2A,bladder cancer,129,259,mu_beta[3],0.145,0.019,0.419,-0.486,-0.391,-0.076,0.145,0.347,0.668,0.919,478.474,1.01,overall,0.346,0.14,993,102,232,27,1354,0.184,0.18,0.07,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,SMAD4,colorectal cancer,635,60,"beta[1,4]",0.453,0.007,0.249,-0.037,0.037,0.29,0.446,0.62,0.85,0.949,1310.67,1.001,Metastasis,1.817,1.16,756,602,27,33,1418,2.232,0.87,0.58,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,SMAD4,colorectal cancer,1115,51,"beta[2,4]",0.257,0.006,0.246,-0.237,-0.153,0.094,0.258,0.423,0.679,0.739,1446.578,1,Primary,1.048,0.53,1500,1090,26,25,2641,0.722,0.4,0.26,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,SMAD4,pancreatic cancer,618,40,"beta[1,4]",1.364,0.012,0.48,0.464,0.624,1.041,1.353,1.666,2.171,2.334,1502.729,0.999,Metastasis,2.843,2.35,203,582,4,36,825,4.285,1.42,1.05,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,SMAD4,pancreatic cancer,968,27,"beta[2,4]",1.192,0.014,0.528,0.204,0.382,0.819,1.173,1.527,2.083,2.28,1480.518,0.998,Primary,2.258,1.62,302,943,2,25,1272,3.251,1.15,0.83,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,SMAD4,colorectal cancer,1750,111,mu_beta[3],0.351,0.012,0.471,-0.598,-0.384,0.099,0.351,0.614,1.07,1.259,1457.694,1.001,overall,0.745,0.34,2256,1692,53,58,4059,3.512,1.22,0.88,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,SMAD4,pancreatic cancer,1586,67,mu_beta[3],1.293,0.02,0.676,0.012,0.276,0.883,1.265,1.693,2.38,2.716,1147.323,0.999,overall,1.913,1.25,505,1525,6,61,2097,8.078,2.35,1.72,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,RB1,uterine cancer,80,37,"beta[1,4]",-2.864,0.034,1.255,-5.842,-5.245,-3.592,-2.658,-1.975,-1.126,-0.836,1329.615,0.999,Metastasis,-2.283,1.65,383,79,36,1,499,4.259,1.41,1.05,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,RB1,uterine cancer,236,32,"beta[2,4]",-3.596,0.042,1.619,-7.457,-6.493,-4.425,-3.294,-2.481,-1.56,-1.37,1500.417,1,Primary,-2.221,1.58,1068,236,32,0,1336,5.845,1.81,1.35,TRUE,2.7,3.71
single,Deletion,sample_type,RAS_12-61,RB1,uterine cancer,316,69,mu_beta[3],-3.105,0.038,1.459,-6.479,-5.566,-3.908,-2.973,-2.183,-1.022,-0.583,1468.239,0.999,overall,-2.128,1.48,1451,315,68,1,1835,11.387,3.13,2.32,TRUE,2.7,3.71
single,Deletion,sample_type,KRAS_12-61,PTEN,colorectal cancer,571,16,"beta[1,4]",0.139,0.01,0.362,-0.644,-0.478,-0.071,0.151,0.361,0.715,0.811,1235.167,1.001,Metastasis,0.383,0.15,837,565,10,6,1418,0,0,-0,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,PTEN,colorectal cancer,1013,39,"beta[2,4]",0.301,0.01,0.289,-0.247,-0.153,0.103,0.299,0.493,0.781,0.876,779.864,1.002,Primary,1.042,0.53,1608,994,20,19,2641,1.38,0.62,0.38,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,PTEN,colorectal cancer,1584,55,mu_beta[3],0.217,0.012,0.415,-0.57,-0.383,-0.014,0.206,0.456,0.858,0.973,1252.009,1.001,overall,0.521,0.22,2445,1559,30,25,4059,0.714,0.4,0.3,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,cancer of unknown primary,217,131,"beta[1,4]",0.513,0.005,0.196,0.115,0.18,0.386,0.515,0.64,0.828,0.891,1624.111,1,Metastasis,2.619,2.05,791,180,94,37,1102,6.277,1.91,1.39,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,cancer of unknown primary,31,16,"beta[2,4]",0.468,0.008,0.327,-0.207,-0.109,0.273,0.493,0.668,0.984,1.068,1530.28,1.002,Not Applicable or Heme,1.434,0.82,82,26,11,5,124,0.096,0.12,0.05,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,cancer of unknown primary,24,13,"beta[3,4]",0.37,0.01,0.357,-0.457,-0.271,0.166,0.408,0.604,0.885,0.975,1350.488,1,Primary,1.037,0.52,131,22,11,2,166,0,0,-0,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,non-small cell lung cancer,655,299,"beta[1,4]",-0.412,0.004,0.15,-0.703,-0.66,-0.514,-0.413,-0.311,-0.162,-0.122,1541.164,1,Metastasis,-2.749,2.22,1590,595,239,60,2484,6.589,1.99,1.43,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,non-small cell lung cancer,1249,213,"beta[2,4]",-0.618,0.005,0.169,-0.955,-0.9,-0.727,-0.62,-0.505,-0.351,-0.304,1371.433,1.001,Primary,-3.664,3.61,2571,1206,170,43,3990,12.388,3.36,2.36,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,pancreatic cancer,612,148,"beta[1,4]",0.286,0.005,0.216,-0.148,-0.074,0.142,0.291,0.431,0.631,0.712,1557.432,1,Metastasis,1.324,0.73,179,498,34,114,825,0.592,0.35,0.27,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,pancreatic cancer,961,101,"beta[2,4]",0.602,0.007,0.281,0.089,0.158,0.401,0.594,0.785,1.08,1.171,1531.907,1,Primary,2.14,1.49,297,874,14,87,1272,6.051,1.86,1.37,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,hepatobiliary cancer,38,32,"beta[1,4]",-0.377,0.017,0.505,-1.469,-1.257,-0.686,-0.37,-0.043,0.415,0.579,901.848,1.001,Metastasis,-0.748,0.34,231,34,28,4,297,0,0,-0,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,hepatobiliary cancer,69,66,"beta[2,4]",-0.621,0.014,0.484,-1.626,-1.491,-0.906,-0.587,-0.278,0.087,0.217,1269.834,0.999,Primary,-1.284,0.7,633,66,63,3,765,1.216,0.57,0.36,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,cancer of unknown primary,272,160,mu_beta[3],0.447,0.008,0.294,-0.184,-0.052,0.277,0.461,0.639,0.89,0.984,1523.957,1,overall,1.52,0.89,1004,228,116,44,1392,6.724,2.02,1.43,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,non-small cell lung cancer,1904,512,mu_beta[3],-0.497,0.013,0.487,-1.464,-1.234,-0.752,-0.507,-0.248,0.254,0.487,1341.784,1,overall,-1.02,0.51,4161,1801,409,103,6474,22.643,5.71,4.41,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,pancreatic cancer,1573,249,mu_beta[3],0.465,0.02,0.787,-1.074,-0.638,0.101,0.42,0.802,1.625,1.996,1614.33,1,overall,0.591,0.26,476,1372,48,201,2097,4.577,1.49,1.14,TRUE,2.7,3.46
single,Deletion,sample_type,KRAS_12-61,CDKN2A,hepatobiliary cancer,107,98,mu_beta[3],-0.506,0.017,0.585,-1.665,-1.461,-0.863,-0.481,-0.16,0.36,0.577,1136.567,0.999,overall,-0.865,0.41,864,100,91,7,1062,0.699,0.39,0.3,TRUE,2.7,3.46
