cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Inactivating mutation,none,RAS_12-61,KMT2C,bladder cancer,70,60,"beta[1,4]",-0.267,0.013,0.457,-1.236,-1.029,-0.57,-0.241,0.061,0.399,0.554,1275.387,0.999,NA,-0.585,0.25,618,65,55,5,743,0.005,0.03,0,FALSE,4.1,4.41
multi,Inactivating mutation,none,RAS_12-61,KMT2C,colorectal cancer,950,66,"beta[2,4]",-0.688,0.007,0.272,-1.216,-1.133,-0.873,-0.685,-0.512,-0.239,-0.143,1362.528,1.003,NA,-2.532,1.94,1224,932,48,18,2222,6.025,1.85,1.46,FALSE,4.1,4.41
multi,Inactivating mutation,none,RAS_12-61,KMT2C,non-small cell lung cancer,1067,58,"beta[3,4]",-0.218,0.008,0.298,-0.83,-0.719,-0.415,-0.211,-0.014,0.259,0.361,1450.569,0.999,NA,-0.731,0.33,2571,1052,43,15,3681,0.147,0.15,0.09,FALSE,4.1,4.41
multi,Inactivating mutation,none,RAS_12-61,TP53,bladder cancer,69,109,"beta[1,4]",-0.587,0.01,0.398,-1.406,-1.253,-0.841,-0.583,-0.308,0.045,0.144,1519.553,1,NA,-1.473,0.85,594,63,103,6,766,1.437,0.64,0.49,TRUE,4.16,4.86
multi,Inactivating mutation,none,RAS_12-61,TP53,cancer of unknown primary,184,164,"beta[2,4]",-0.077,0.005,0.211,-0.49,-0.419,-0.219,-0.075,0.07,0.266,0.331,1472.603,0.999,NA,-0.367,0.15,514,149,129,35,827,0.043,0.08,0.04,TRUE,4.16,4.86
multi,Inactivating mutation,none,RAS_12-61,TP53,colorectal cancer,1092,553,"beta[3,4]",-0.477,0.003,0.104,-0.674,-0.653,-0.546,-0.477,-0.411,-0.309,-0.27,1637.535,0.999,NA,-4.609,5.39,1072,903,364,189,2528,22.997,5.79,4.95,TRUE,4.16,4.86
multi,Inactivating mutation,none,RAS_12-61,TP53,hepatobiliary cancer,101,74,"beta[4,4]",-0.041,0.009,0.35,-0.696,-0.629,-0.279,-0.027,0.21,0.507,0.604,1486.542,1,NA,-0.117,0.04,615,91,64,10,780,0,0,0,TRUE,4.16,4.86
multi,Inactivating mutation,none,RAS_12-61,TP53,melanoma,249,85,"beta[5,4]",-0.093,0.007,0.262,-0.631,-0.527,-0.265,-0.076,0.075,0.332,0.397,1439.569,1,NA,-0.354,0.14,659,228,64,21,972,0.005,0.03,0,TRUE,4.16,4.86
multi,Inactivating mutation,none,RAS_12-61,TP53,non-small cell lung cancer,1107,689,"beta[6,4]",-0.687,0.003,0.107,-0.899,-0.861,-0.758,-0.687,-0.619,-0.51,-0.472,1555.08,1.001,NA,-6.443,9.93,2171,980,562,127,3840,43.611,10.4,9.22,TRUE,4.16,4.86
multi,Inactivating mutation,none,RAS_12-61,TP53,ovarian cancer,113,186,"beta[7,4]",-1.319,0.009,0.371,-2.107,-1.964,-1.548,-1.297,-1.067,-0.755,-0.646,1551.136,1.004,NA,-3.556,3.42,721,107,180,6,1014,13.46,3.61,2.99,TRUE,4.16,4.86
