cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,bladder cancer,22,19,"beta[1,4]",-0.973,0.031,1.012,-3.469,-2.701,-1.343,-0.817,-0.313,0.228,0.379,1052.135,0.999,50-65,-0.961,0.47,222,22,19,0,263,0.878,0.46,0.28,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,bladder cancer,38,33,"beta[2,4]",-0.564,0.024,0.668,-1.993,-1.758,-0.997,-0.524,-0.097,0.434,0.605,753.138,1.001,>65,-0.844,0.4,358,35,30,3,426,0,0,-0,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,colorectal cancer,181,12,"beta[1,4]",-0.93,0.011,0.366,-1.66,-1.544,-1.17,-0.915,-0.687,-0.328,-0.211,1088.856,1.001,40-50,-2.539,1.95,249,177,8,4,438,0.074,0.11,0.04,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,colorectal cancer,383,25,"beta[2,4]",-0.957,0.011,0.342,-1.673,-1.541,-1.169,-0.948,-0.723,-0.426,-0.327,1007.736,1.005,50-65,-2.795,2.28,538,377,19,6,940,2.313,0.89,0.59,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,colorectal cancer,295,21,"beta[3,4]",-1.048,0.011,0.364,-1.785,-1.678,-1.273,-1.029,-0.792,-0.492,-0.41,1045.626,1.009,>65,-2.879,2.4,320,292,18,3,633,7.823,2.29,1.68,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,non-small cell lung cancer,356,27,"beta[1,4]",-0.018,0.065,0.376,-0.65,-0.497,-0.356,-0.046,0.264,0.61,0.719,33.072,1.055,50-65,-0.049,0.02,936,347,18,9,1310,0.258,0.21,0.1,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,non-small cell lung cancer,675,27,"beta[2,4]",-0.308,0.009,0.341,-1.065,-0.896,-0.478,-0.35,-0.102,0.248,0.347,1550.371,1.001,>65,-0.906,0.44,1425,669,21,6,2121,0.757,0.42,0.25,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,bladder cancer,60,52,mu_beta[3],-0.769,0.025,0.855,-2.597,-2.167,-1.213,-0.691,-0.222,0.394,0.566,1159.398,0.999,overall,-0.899,0.43,580,57,49,3,689,0.277,0.22,0.1,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,colorectal cancer,859,58,mu_beta[3],-0.978,0.011,0.347,-1.668,-1.571,-1.199,-0.971,-0.732,-0.447,-0.344,1036.832,1.005,overall,-2.821,2.32,1107,846,45,13,2011,9.223,2.62,1.95,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,KMT2C,non-small cell lung cancer,1031,54,mu_beta[3],-0.135,0.016,0.523,-0.997,-0.797,-0.357,-0.195,0.122,0.61,0.896,1076.699,1.005,overall,-0.257,0.1,2361,1016,39,15,3431,0.047,0.08,0.03,FALSE,4.1,4.41
single,Inactivating mutation,agecat,RAS_12-61,TP53,bladder cancer,22,48,"beta[1,4]",-0.843,0.019,0.608,-2.072,-1.896,-1.212,-0.823,-0.434,0.136,0.313,1046.288,1.001,50-65,-1.386,0.78,207,19,45,3,274,0.043,0.08,0.02,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,bladder cancer,37,53,"beta[2,4]",-1.223,0.019,0.688,-2.791,-2.38,-1.624,-1.155,-0.743,-0.251,-0.104,1349.776,1,>65,-1.777,1.12,349,36,52,1,438,2.46,0.93,0.62,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,cancer of unknown primary,11,11,"beta[1,4]",0.081,0.011,0.422,-0.699,-0.548,-0.185,0.036,0.311,0.846,1.042,1475.662,0.999,40-50,0.191,0.07,61,8,8,3,80,0.867,0.45,0.27,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,cancer of unknown primary,80,62,"beta[2,4]",0.051,0.007,0.264,-0.467,-0.373,-0.117,0.046,0.228,0.484,0.574,1367.746,0.999,50-65,0.195,0.07,194,63,45,17,319,0.096,0.12,0.05,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,cancer of unknown primary,85,85,"beta[3,4]",-0.19,0.007,0.277,-0.771,-0.675,-0.374,-0.169,-0.001,0.243,0.304,1392.011,0.999,>65,-0.684,0.31,214,70,70,15,369,1.435,0.64,0.39,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,colorectal cancer,100,52,"beta[1,4]",-0.463,0.004,0.128,-0.701,-0.67,-0.548,-0.468,-0.38,-0.245,-0.2,1273.973,1.002,<40,-3.61,3.51,104,80,32,20,236,0.238,0.2,0.09,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,colorectal cancer,204,105,"beta[2,4]",-0.472,0.003,0.119,-0.69,-0.662,-0.547,-0.477,-0.395,-0.276,-0.219,1168.072,1,40-50,-3.969,4.14,212,167,68,37,484,2.277,0.88,0.59,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,colorectal cancer,455,248,"beta[3,4]",-0.509,0.003,0.114,-0.74,-0.704,-0.585,-0.51,-0.429,-0.323,-0.294,1221.41,0.998,50-65,-4.445,5.06,450,381,174,74,1079,19.423,4.98,3.96,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,colorectal cancer,333,148,"beta[4,4]",-0.465,0.003,0.116,-0.685,-0.646,-0.541,-0.468,-0.391,-0.27,-0.223,1216.5,1.001,>65,-4.006,4.21,306,275,90,58,729,2.832,1.03,0.7,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,hepatobiliary cancer,38,38,"beta[1,4]",-0.04,0.012,0.433,-0.901,-0.77,-0.326,-0.026,0.253,0.659,0.767,1324.264,0.999,50-65,-0.092,0.03,229,33,33,5,300,0,0,-0,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,hepatobiliary cancer,53,27,"beta[2,4]",-0.098,0.013,0.47,-1.131,-0.913,-0.391,-0.061,0.217,0.64,0.752,1337.98,1.002,>65,-0.207,0.08,264,49,23,4,340,0,0,-0,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,melanoma,81,24,"beta[1,4]",0.212,0.011,0.407,-0.565,-0.448,-0.058,0.204,0.477,0.921,1.031,1498.325,1,50-65,0.522,0.22,257,73,16,8,354,1.022,0.51,0.31,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,melanoma,130,48,"beta[2,4]",-0.208,0.009,0.342,-0.891,-0.782,-0.423,-0.194,0.028,0.329,0.419,1322.393,0.998,>65,-0.607,0.26,276,119,37,11,443,0.753,0.41,0.25,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,non-small cell lung cancer,32,35,"beta[1,4]",-0.083,0.011,0.43,-0.85,-0.742,-0.395,-0.1,0.193,0.641,0.794,1422.531,1,40-50,-0.193,0.07,143,24,27,8,202,0.991,0.5,0.3,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,non-small cell lung cancer,371,271,"beta[2,4]",-0.486,0.004,0.161,-0.808,-0.759,-0.594,-0.488,-0.374,-0.217,-0.171,1436.482,1.003,50-65,-3.017,2.59,794,317,217,54,1382,7.785,2.28,1.68,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,non-small cell lung cancer,698,374,"beta[3,4]",-0.882,0.004,0.144,-1.161,-1.117,-0.984,-0.88,-0.78,-0.651,-0.616,1378.158,0.999,>65,-6.135,9.07,1184,633,309,65,2191,42.745,10.21,8.73,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,ovarian cancer,16,13,"beta[1,4]",-2.263,0.026,0.985,-4.45,-3.918,-2.764,-2.153,-1.614,-0.923,-0.706,1479.055,1,40-50,-2.297,1.67,79,16,13,0,108,1.409,0.63,0.39,TRUE,4.16,4.86
single,Inactivating mutation,agecat,RAS_12-61,TP53,ovarian cancer,60,91,"beta[2,4]",-1.754,0.016,0.58,-3.009,-2.767,-2.133,-1.718,-1.339,-0.853,-0.664,1376.577,1.001,50-65,-3.025,2.6,338,56,87,4,485,5.698,1.77,1.28,TRUE,4.16,4.86
