cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,race,RAS_12-61,KMT2C,bladder cancer,57,51,"beta[1,4]",0.009,0.015,0.522,-1.105,-0.912,-0.311,0.06,0.381,0.812,0.938,1272.119,0.999,White,0.018,0.01,536,52,46,5,639,0,0,-0,FALSE,4.1,4.41
single,Inactivating mutation,race,RAS_12-61,KMT2C,colorectal cancer,715,55,"beta[1,4]",-0.852,0.01,0.331,-1.518,-1.409,-1.064,-0.855,-0.616,-0.337,-0.27,1017.32,0.999,White,-2.572,2,985,702,42,13,1742,6.389,1.94,1.36,FALSE,4.1,4.41
single,Inactivating mutation,race,RAS_12-61,KMT2C,non-small cell lung cancer,930,50,"beta[1,4]",-0.339,0.023,0.343,-1.001,-0.869,-0.56,-0.366,-0.107,0.265,0.328,229.735,1.024,White,-0.989,0.49,1950,917,37,13,2917,0.558,0.34,0.19,FALSE,4.1,4.41
single,Inactivating mutation,race,RAS_12-61,KMT2C,bladder cancer,57,51,mu_beta[3],-0.078,0.059,2.049,-4.42,-3.406,-1.047,-0.026,0.871,3.124,4.651,1203.725,1,overall,-0.038,0.01,536,52,46,5,639,0,0,-0,FALSE,4.1,4.41
single,Inactivating mutation,race,RAS_12-61,KMT2C,colorectal cancer,715,55,mu_beta[3],-0.684,0.059,2.046,-5.021,-3.653,-1.645,-0.758,0.084,2.913,4.157,1191.113,1,overall,-0.335,0.13,985,702,42,13,1742,6.389,1.94,1.36,FALSE,4.1,4.41
single,Inactivating mutation,race,RAS_12-61,KMT2C,non-small cell lung cancer,930,50,mu_beta[3],-0.242,0.05,1.918,-4.294,-3.173,-1.012,-0.238,0.514,2.846,3.948,1460.406,0.999,overall,-0.126,0.05,1950,917,37,13,2917,0.558,0.34,0.19,FALSE,4.1,4.41
single,Inactivating mutation,race,RAS_12-61,TP53,bladder cancer,55,85,"beta[1,4]",-1.174,0.017,0.632,-2.511,-2.271,-1.555,-1.109,-0.717,-0.217,-0.1,1320.653,1.002,White,-1.857,1.2,502,52,82,3,639,2.512,0.95,0.63,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,cancer of unknown primary,9,14,"beta[1,4]",-0.045,0.013,0.489,-1.175,-0.944,-0.28,-0.014,0.25,0.682,0.835,1393.394,1,Unknown,-0.092,0.03,36,7,12,2,57,0,0,-0,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,cancer of unknown primary,142,128,"beta[2,4]",0.046,0.006,0.227,-0.399,-0.341,-0.103,0.045,0.197,0.405,0.485,1312.135,1,White,0.202,0.08,376,111,97,31,615,0.05,0.08,0.02,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,colorectal cancer,79,37,"beta[1,4]",-0.518,0.005,0.185,-0.91,-0.843,-0.631,-0.513,-0.401,-0.212,-0.163,1398.138,1,Asian,-2.801,2.29,76,66,24,13,179,1.106,0.53,0.32,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,colorectal cancer,84,36,"beta[2,4]",-0.493,0.005,0.185,-0.901,-0.811,-0.601,-0.485,-0.376,-0.202,-0.128,1361.818,1.005,Black,-2.658,2.1,48,69,21,15,153,2.668,0.99,0.64,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,colorectal cancer,61,31,"beta[3,4]",-0.507,0.005,0.194,-0.908,-0.827,-0.624,-0.501,-0.386,-0.184,-0.121,1349.567,0.999,Unknown,-2.612,2.05,47,50,20,11,128,1.829,0.75,0.48,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,colorectal cancer,808,438,"beta[4,4]",-0.502,0.003,0.106,-0.707,-0.676,-0.578,-0.501,-0.428,-0.325,-0.299,1339.781,1,White,-4.742,5.68,841,664,294,144,1943,17.194,4.47,3.6,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,hepatobiliary cancer,80,51,"beta[1,4]",0.284,0.011,0.402,-0.518,-0.375,0.032,0.289,0.55,0.937,1.059,1442.79,1.001,White,0.706,0.32,461,71,42,9,583,0.409,0.28,0.14,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,melanoma,226,79,"beta[1,4]",-0.132,0.015,0.265,-0.682,-0.593,-0.316,-0.124,0.075,0.25,0.33,305.38,1.01,White,-0.498,0.21,533,206,59,20,818,0.123,0.14,0.05,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,non-small cell lung cancer,36,59,"beta[1,4]",-0.764,0.011,0.402,-1.63,-1.464,-1.017,-0.743,-0.497,-0.123,-0.014,1462.701,0.999,Asian,-1.899,1.24,258,33,56,3,350,1.458,0.64,0.4,TRUE,4.16,4.86
single,Inactivating mutation,race,RAS_12-61,TP53,non-small cell lung cancer,50,52,"beta[2,4]",-0.388,0.008,0.316,-1.018,-0.899,-0.601,-0.39,-0.175,0.136,0.21,1679.269,0.999,Black,-1.23,0.66,110,39,41,11,201,0.286,0.23,0.1,TRUE,4.16,4.86
