cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Inactivating mutation,sample_type,RAS_12-61,KMT2C,bladder cancer,54,53,"beta[1,4]",-0.408,0.017,0.535,-1.531,-1.31,-0.686,-0.446,-0.057,0.48,0.619,998.987,1.011,Primary,-0.763,0.35,470,50,49,4,573,0.06,0.09,0.04,FALSE,4.1,4.41
single,Inactivating mutation,sample_type,RAS_12-61,KMT2C,colorectal cancer,381,18,"beta[1,4]",-0.677,0.011,0.374,-1.459,-1.29,-0.912,-0.684,-0.438,-0.058,0.07,1265.592,1,Metastasis,-1.812,1.15,486,375,12,6,879,0.392,0.27,0.14,FALSE,4.1,4.41
single,Inactivating mutation,sample_type,RAS_12-61,KMT2C,colorectal cancer,569,48,"beta[2,4]",-0.75,0.01,0.304,-1.363,-1.261,-0.953,-0.737,-0.523,-0.272,-0.208,1012.871,1.005,Primary,-2.464,1.86,738,557,36,12,1343,5.434,1.7,1.24,FALSE,4.1,4.41
single,Inactivating mutation,sample_type,RAS_12-61,KMT2C,non-small cell lung cancer,363,27,"beta[1,4]",0.048,0.01,0.383,-0.672,-0.558,-0.217,0.048,0.289,0.684,0.835,1571.728,0.999,Metastasis,0.125,0.05,1001,354,18,9,1382,0.387,0.27,0.14,FALSE,4.1,4.41
single,Inactivating mutation,sample_type,RAS_12-61,KMT2C,non-small cell lung cancer,704,31,"beta[2,4]",-0.362,0.013,0.377,-1.137,-1,-0.6,-0.332,-0.115,0.206,0.316,865.827,0.998,Primary,-0.961,0.47,1570,698,25,6,2299,1.379,0.62,0.41,FALSE,4.1,4.41
single,Inactivating mutation,sample_type,RAS_12-61,KMT2C,bladder cancer,54,53,mu_beta[3],-0.334,0.05,1.823,-4.204,-3.249,-1.138,-0.421,0.421,2.801,3.729,1317.208,1,overall,-0.183,0.07,470,50,49,4,573,0.06,0.09,0.04,FALSE,4.1,4.41
single,Inactivating mutation,sample_type,RAS_12-61,KMT2C,colorectal cancer,950,66,mu_beta[3],-0.712,0.012,0.451,-1.633,-1.414,-0.966,-0.71,-0.481,-0.033,0.252,1448.8,1,overall,-1.579,0.94,1224,932,48,18,2222,6.025,1.85,1.36,FALSE,4.1,4.41
single,Inactivating mutation,sample_type,RAS_12-61,KMT2C,non-small cell lung cancer,1067,58,mu_beta[3],-0.125,0.014,0.518,-1.017,-0.844,-0.398,-0.132,0.136,0.619,0.903,1372.785,1.002,overall,-0.241,0.09,2571,1052,43,15,3681,0.147,0.15,0.07,FALSE,4.1,4.41
single,Inactivating mutation,sample_type,RAS_12-61,TP53,bladder cancer,16,23,"beta[1,4]",-1.102,0.037,1.036,-3.752,-2.78,-1.374,-0.89,-0.512,-0.036,0.123,801.117,1.002,Metastasis,-1.064,0.54,131,16,23,0,170,1.634,0.7,0.46,TRUE,4.16,4.86
single,Inactivating mutation,sample_type,RAS_12-61,TP53,bladder cancer,53,86,"beta[2,4]",-0.645,0.013,0.471,-1.653,-1.461,-0.928,-0.603,-0.32,0.069,0.194,1340.116,1.002,Primary,-1.369,0.77,447,47,80,6,580,0.304,0.24,0.12,TRUE,4.16,4.86
single,Inactivating mutation,sample_type,RAS_12-61,TP53,cancer of unknown primary,159,156,"beta[1,4]",-0.143,0.006,0.226,-0.573,-0.511,-0.292,-0.147,0.005,0.253,0.309,1458.018,1.005,Metastasis,-0.632,0.28,427,127,124,32,710,0.28,0.22,0.12,TRUE,4.16,4.86
single,Inactivating mutation,sample_type,RAS_12-61,TP53,colorectal cancer,423,231,"beta[1,4]",-0.372,0.004,0.142,-0.614,-0.589,-0.477,-0.381,-0.285,-0.12,-0.069,1393.891,1.003,Metastasis,-2.612,2.05,394,333,141,90,958,3.058,1.1,0.78,TRUE,4.16,4.86
single,Inactivating mutation,sample_type,RAS_12-61,TP53,colorectal cancer,639,322,"beta[2,4]",-0.567,0.003,0.116,-0.805,-0.763,-0.641,-0.563,-0.49,-0.392,-0.351,1402.079,1,Primary,-4.898,6.01,643,540,223,99,1505,22.398,5.65,4.67,TRUE,4.16,4.86
single,Inactivating mutation,sample_type,RAS_12-61,TP53,hepatobiliary cancer,38,26,"beta[1,4]",-0.066,0.013,0.469,-1.068,-0.877,-0.38,-0.028,0.251,0.664,0.805,1337.3,1,Metastasis,-0.14,0.05,161,34,22,4,221,0,0,-0,TRUE,4.16,4.86
single,Inactivating mutation,sample_type,RAS_12-61,TP53,hepatobiliary cancer,61,48,"beta[2,4]",0.01,0.011,0.393,-0.792,-0.667,-0.242,0.023,0.279,0.646,0.765,1383.302,1.002,Primary,0.026,0.01,440,55,42,6,543,0.003,0.02,-0,TRUE,4.16,4.86
