cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Rearrangement,none,RAS_12-61,APC,colorectal cancer,2891,22,"beta[1,4]",0.049,0.012,0.425,-0.774,-0.666,-0.232,0.055,0.326,0.709,0.871,1255.798,1.002,NA,0.115,0.04,3752,2881,12,10,6655,0,0,0,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,KMT2C,breast cancer,58,15,"beta[1,4]",-4.414,0.352,8.021,-15.052,-12.243,-6.246,-3.407,-0.885,1.523,1.94,519.069,1.004,NA,-0.55,0.23,6442,58,15,0,6515,0,0,0,FALSE,2.86,2.99
multi,Rearrangement,none,RAS_12-61,FGFR3,bladder cancer,138,17,"beta[1,4]",-5.758,0.077,2.995,-12.413,-11.171,-7.648,-5.387,-3.568,-1.514,-0.964,1517.538,1,NA,-1.922,1.26,1425,138,17,0,1580,0.723,0.4,0.07,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,FGFR3,cns cancer,67,32,"beta[2,4]",-5.812,0.078,3.079,-12.621,-11.394,-7.814,-5.489,-3.525,-1.472,-0.939,1552.236,1.002,NA,-1.887,1.23,4466,67,32,0,4565,0,0,0,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,FGFR3,non-small cell lung cancer,2975,12,"beta[3,4]",-5.978,0.078,2.929,-12.729,-11.475,-7.715,-5.527,-3.792,-2.04,-1.605,1407.434,1.002,NA,-2.041,1.38,7015,2975,12,0,10002,3.761,1.28,0.58,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,TP53,bone cancer,6,21,"beta[1,4]",-1.872,0.067,2.423,-7.779,-6.04,-2.99,-1.505,-0.236,1.196,1.602,1327.325,1,NA,-0.772,0.36,544,6,21,0,571,0,0,0,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,TP53,non-small cell lung cancer,2860,13,"beta[2,4]",0.163,0.016,0.591,-1.069,-0.855,-0.229,0.192,0.568,1.081,1.262,1328.666,1.001,NA,0.276,0.11,6786,2855,8,5,9654,0.155,0.16,0,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,TP53,prostate cancer,32,21,"beta[3,4]",-1.983,0.061,2.381,-7.82,-6.842,-3.143,-1.558,-0.323,1.096,1.444,1535.576,0.999,NA,-0.833,0.39,2386,32,21,0,2439,0,0,0,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,RET,non-small cell lung cancer,3008,60,"beta[1,4]",-6.759,0.071,2.701,-13.263,-12.008,-8.233,-6.303,-4.768,-3.314,-2.973,1426.824,0.999,NA,-2.503,1.91,7063,3008,60,0,10131,24.078,6.03,4.86,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,RET,thyroid cancer,198,19,"beta[2,4]",-6.634,0.074,2.806,-13.062,-11.646,-8.305,-6.116,-4.612,-2.817,-2.328,1428.94,1,NA,-2.365,1.74,798,198,19,0,1015,3.512,1.22,0.58,TRUE,3.53,4.02
multi,Rearrangement,none,RAS_12-61,TMPRSS2,prostate cancer,30,484,"beta[1,4]",-1.145,0.017,0.648,-2.564,-2.288,-1.551,-1.102,-0.698,-0.169,-0.018,1464.166,1.001,NA,-1.767,1.11,1570,27,481,3,2081,2.291,0.89,0.41,FALSE,2.86,2.99
