cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Rearrangement,sex,RAS_12-61,APC,colorectal cancer,1414,11,"beta[1,4]",0.039,0.013,0.485,-0.936,-0.766,-0.286,0.052,0.381,0.817,0.944,1395.042,1,Female,0.079,0.03,1583,1409,6,5,3003,0,0,0,TRUE,3.53,4.2
single,Rearrangement,sex,RAS_12-61,APC,colorectal cancer,1477,11,"beta[2,4]",0.067,0.012,0.483,-0.887,-0.717,-0.267,0.079,0.403,0.847,0.985,1517.5,0.999,Male,0.139,0.05,2169,1472,6,5,3652,0.001,0.01,0,TRUE,3.53,4.2
single,Rearrangement,sex,RAS_12-61,KMT2C,breast cancer,58,15,"beta[1,4]",-3.929,0.239,4.833,-15.465,-12.697,-6.127,-3.121,-0.527,1.865,2.17,408.025,1.006,Female,-0.813,0.38,6414,58,15,0,6487,0,0,0,FALSE,2.7,2.86
single,Rearrangement,sex,RAS_12-61,FGFR3,bladder cancer,100,13,"beta[1,4]",-5.127,0.114,3.971,-14.362,-12.294,-6.987,-4.451,-2.414,-0.378,0.06,1208.682,1,Male,-1.291,0.71,1074,100,13,0,1187,0.357,0.26,0,TRUE,3.53,4.2
single,Rearrangement,sex,RAS_12-61,FGFR3,cns cancer,24,13,"beta[1,4]",-3.419,0.246,3.226,-10.818,-9.418,-5.296,-2.854,-0.836,0.529,1.106,172.618,1.024,Female,-1.06,0.54,1957,24,13,0,1994,0,0,0,TRUE,3.53,4.2
single,Rearrangement,sex,RAS_12-61,FGFR3,cns cancer,42,19,"beta[2,4]",-3.431,0.238,3.264,-10.869,-9.33,-5.368,-2.793,-0.783,0.565,1.098,188.591,1.023,Male,-1.051,0.53,2508,42,19,0,2569,0,0,0,TRUE,3.53,4.2
single,Rearrangement,sex,RAS_12-61,TP53,prostate cancer,31,21,"beta[1,4]",-4.554,0.128,4.526,-14.58,-12.047,-6.829,-3.788,-1.427,0.797,1.272,1251.222,1.001,Male,-1.006,0.5,2383,31,21,0,2435,0,0,0,TRUE,3.53,4.2
single,Rearrangement,sex,RAS_12-61,RET,non-small cell lung cancer,1850,31,"beta[1,4]",-6.418,0.079,2.519,-12.426,-11.283,-7.878,-5.856,-4.535,-3.225,-2.825,1020.126,1.004,Female,-2.547,1.96,3844,1850,31,0,5725,13.432,3.61,2.68,TRUE,3.53,4.2
single,Rearrangement,sex,RAS_12-61,RET,non-small cell lung cancer,1158,29,"beta[2,4]",-6.39,0.077,2.538,-12.415,-11.042,-7.906,-5.863,-4.503,-3.172,-2.73,1083.876,1.002,Male,-2.517,1.93,3216,1158,29,0,4403,9.096,2.59,1.76,TRUE,3.53,4.2
single,Rearrangement,sex,RAS_12-61,RET,thyroid cancer,104,14,"beta[1,4]",-5.823,0.143,3.969,-14.659,-12.536,-7.471,-5.097,-3.226,-1.536,-1.154,775.558,1.001,Female,-1.467,0.85,419,104,14,0,537,2.297,0.89,0.33,TRUE,3.53,4.2
