cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Any mutation (gene_pathways),none,KRAS_12A,Cell_Cycle,non-small cell lung cancer,88,701,"beta[1,4]",0.147,0.007,0.264,-0.388,-0.297,-0.02,0.147,0.326,0.57,0.652,1394.146,1.002,NA,0.559,0.24,2910,69,682,19,3680,0.228,0.2,0.02,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,88,1583,"beta[1,4]",0.001,0.006,0.221,-0.427,-0.356,-0.144,-0.001,0.15,0.362,0.441,1519.978,1.003,NA,0.005,0,2047,50,1545,38,3680,0,0,0,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,661,"beta[1,4]",0.064,0.007,0.267,-0.487,-0.397,-0.107,0.078,0.244,0.489,0.561,1545.719,1.001,NA,0.24,0.09,2948,71,644,17,3680,0.038,0.07,0,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,wnt,non-small cell lung cancer,88,469,"beta[1,4]",0.242,0.008,0.298,-0.364,-0.262,0.053,0.252,0.441,0.722,0.806,1514.254,1.004,NA,0.812,0.38,3137,74,455,14,3680,0.547,0.34,0.08,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,DDR,non-small cell lung cancer,88,988,"beta[1,4]",0.29,0.006,0.232,-0.192,-0.106,0.137,0.301,0.443,0.659,0.726,1371.41,1,NA,1.248,0.67,2633,59,959,29,3680,1.408,0.63,0.28,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,88,2245,"beta[1,4]",-1.04,0.008,0.221,-1.484,-1.421,-1.186,-1.035,-0.888,-0.69,-0.623,757.29,1.002,NA,-4.702,5.59,1379,56,2213,32,3680,21.964,5.56,4.6,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,88,805,"beta[1,4]",-0.961,0.018,0.363,-1.698,-1.603,-1.204,-0.941,-0.704,-0.385,-0.315,393.317,1.005,NA,-2.645,2.09,2796,79,796,9,3680,6.476,1.96,1.31,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,PI3K_AKT,non-small cell lung cancer,88,570,"beta[1,4]",-0.079,0.01,0.3,-0.693,-0.596,-0.282,-0.066,0.126,0.405,0.469,857.558,1.003,NA,-0.263,0.1,3035,75,557,13,3680,0.002,0.01,0,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,88,774,"beta[1,4]",0.399,0.007,0.242,-0.083,0,0.239,0.398,0.562,0.785,0.855,1305.001,1,NA,1.649,1,2843,63,749,25,3680,2.516,0.95,0.47,TRUE,3.21,3.21
multi,Any mutation (gene_pathways),none,KRAS_12C,Cell_Cycle,colorectal cancer,66,226,"beta[1,4]",-0.635,0.012,0.491,-1.76,-1.508,-0.908,-0.6,-0.306,0.11,0.231,1556.163,1.001,NA,-1.291,0.71,1930,62,222,4,2218,0.845,0.45,0.27,TRUE,3.21,3.81
multi,Any mutation (gene_pathways),none,KRAS_12C,Cell_Cycle,non-small cell lung cancer,455,701,"beta[2,4]",-0.318,0.004,0.137,-0.597,-0.545,-0.413,-0.316,-0.224,-0.099,-0.059,1411.581,1.001,NA,-2.316,1.69,2593,386,632,69,3680,4.796,1.54,1.07,TRUE,3.21,3.81
multi,Any mutation (gene_pathways),none,KRAS_12C,Chromatin_Regulation,colorectal cancer,66,750,"beta[1,4]",-0.46,0.007,0.282,-1.024,-0.926,-0.641,-0.453,-0.272,0.006,0.071,1553.427,0.999,NA,-1.63,0.99,1418,50,734,16,2218,2.361,0.91,0.69,TRUE,3.21,3.81
multi,Any mutation (gene_pathways),none,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,455,1583,"beta[2,4]",0.388,0.003,0.098,0.196,0.23,0.32,0.386,0.458,0.551,0.581,1462.425,1,NA,3.959,4.12,1876,221,1349,234,3680,14.6,3.88,3.22,TRUE,3.21,3.81
multi,Any mutation (gene_pathways),none,KRAS_12C,NRF2_pathway_oxidative_stress_response,colorectal cancer,66,68,"beta[1,4]",-0.773,0.024,0.944,-3.007,-2.448,-1.276,-0.639,-0.124,0.526,0.685,1533.558,1,NA,-0.818,0.38,2085,65,67,1,2218,0.144,0.15,0.13,TRUE,3.21,3.81
