cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),agecat,KRAS_12A,Cell_Cycle,non-small cell lung cancer,25,258,"beta[2,4]",0.146,0.009,0.361,-0.614,-0.476,-0.077,0.164,0.374,0.718,0.822,1456.936,0.999,50-65,0.405,0.16,1032,19,252,6,1309,0.084,0.11,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Cell_Cycle,non-small cell lung cancer,63,406,"beta[3,4]",0.12,0.007,0.289,-0.468,-0.365,-0.057,0.139,0.294,0.59,0.689,1498.861,0.999,>65,0.415,0.17,1665,50,393,13,2121,0.021,0.05,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Cell_Cycle,non-small cell lung cancer,88,693,mu_beta[3],0.1,0.011,0.455,-0.858,-0.648,-0.14,0.118,0.362,0.81,0.978,1617.103,0.998,overall,0.219,0.08,2856,69,674,19,3618,0.203,0.19,0.03,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,25,594,"beta[3,4]",-0.447,0.01,0.393,-1.27,-1.125,-0.703,-0.429,-0.181,0.151,0.265,1596.587,0.999,50-65,-1.138,0.59,698,17,586,8,1309,1.331,0.6,0.14,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,63,901,"beta[4,4]",0.169,0.007,0.254,-0.35,-0.236,0.007,0.165,0.342,0.592,0.676,1179.088,1.001,>65,0.666,0.3,1187,33,871,30,2121,0.502,0.32,0.06,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,88,1583,mu_beta[3],-0.288,0.015,0.598,-1.651,-1.257,-0.59,-0.258,0.07,0.573,0.777,1615.47,1,overall,-0.482,0.2,2047,50,1545,38,3680,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,25,240,"beta[2,4]",0.036,0.026,0.382,-0.752,-0.615,-0.185,0.015,0.348,0.644,0.773,217.062,1.016,50-65,0.094,0.03,1049,20,235,5,1309,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,63,395,"beta[3,4]",0.03,0.035,0.286,-0.573,-0.432,-0.141,-0.008,0.248,0.466,0.551,68.779,1.044,>65,0.106,0.04,1675,51,383,12,2121,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,660,mu_beta[3],-0.008,0.028,0.487,-1.108,-0.778,-0.198,-0.025,0.322,0.649,0.807,303.995,1.015,overall,-0.016,0.01,2887,71,643,17,3618,0.016,0.05,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,25,171,"beta[2,4]",-0.166,0.021,0.564,-1.446,-1.203,-0.469,-0.098,0.227,0.59,0.778,690.02,1.006,50-65,-0.294,0.11,1115,23,169,2,1309,0.211,0.19,0.03,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,63,268,"beta[3,4]",0.349,0.011,0.332,-0.318,-0.212,0.143,0.344,0.575,0.883,0.97,976.155,1.002,>65,1.051,0.53,1802,51,256,12,2121,1.857,0.76,0.22,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,88,464,mu_beta[3],0.064,0.018,0.533,-1.076,-0.847,-0.248,0.107,0.401,0.845,1.063,860.285,1.003,overall,0.121,0.04,3080,74,450,14,3618,0.511,0.32,0.06,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,DDR,non-small cell lung cancer,25,369,"beta[2,4]",0.178,0.01,0.387,-0.608,-0.504,-0.057,0.184,0.434,0.789,0.918,1438.976,0.999,50-65,0.459,0.19,923,17,361,8,1309,0.041,0.08,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,DDR,non-small cell lung cancer,63,582,"beta[3,4]",0.294,0.007,0.256,-0.207,-0.119,0.122,0.297,0.468,0.708,0.786,1468.263,0.999,>65,1.151,0.6,1497,42,561,21,2121,0.848,0.45,0.13,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,DDR,non-small cell lung cancer,88,984,mu_beta[3],0.147,0.014,0.548,-1.012,-0.788,-0.107,0.179,0.436,0.914,1.148,1435.574,0.999,overall,0.269,0.1,2575,59,955,29,3618,1.227,0.57,0.14,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,25,820,"beta[3,4]",-1.495,0.011,0.426,-2.389,-2.233,-1.769,-1.464,-1.189,-0.84,-0.712,1513.436,0.999,50-65,-3.507,3.34,470,19,814,6,1309,14.624,3.88,2.75,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,63,1285,"beta[4,4]",-0.861,0.007,0.259,-1.373,-1.282,-1.023,-0.858,-0.691,-0.433,-0.356,1373.65,0.999,>65,-3.322,3.05,799,37,1259,26,2121,9.327,2.65,1.69,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,88,2245,mu_beta[3],-1.286,0.015,0.556,-2.517,-2.248,-1.587,-1.238,-0.953,-0.51,-0.298,1421.993,1.002,overall,-2.313,1.68,1379,56,2213,32,3680,21.964,5.56,4.12,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,25,273,"beta[2,4]",-1.09,0.014,0.516,-2.241,-1.981,-1.378,-1.047,-0.75,-0.335,-0.193,1355.2,1.002,50-65,-2.11,1.46,1013,23,271,2,1309,1.82,0.75,0.22,TRUE,3.21,3.21
single,Any mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,63,486,"beta[3,4]",-0.983,0.01,0.374,-1.77,-1.598,-1.237,-0.954,-0.722,-0.396,-0.298,1408.453,0.999,>65,-2.626,2.06,1579,56,479,7,2121,4.455,1.46,0.73,TRUE,3.21,3.21
