cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,6,38,"beta[1,4]",-0.57,0.017,0.588,-1.789,-1.576,-0.936,-0.569,-0.165,0.382,0.575,1262.944,1.002,Signature.13,-0.97,0.48,54,4,36,2,96,0,-0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,7,23,"beta[3,4]",-1.048,0.02,0.72,-2.559,-2.258,-1.497,-1.024,-0.577,0.109,0.33,1307.086,0.999,Signature.15,-1.455,0.84,104,7,23,0,134,0.522,0.33,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,38,18,"beta[5,4]",-0.651,0.014,0.525,-1.732,-1.547,-0.993,-0.632,-0.296,0.203,0.359,1374.187,1.003,Signature.18,-1.24,0.67,96,35,15,3,149,0.396,0.28,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,7,46,"beta[6,4]",-0.689,0.018,0.65,-2.079,-1.786,-1.1,-0.665,-0.25,0.333,0.531,1352.827,0.999,Signature.1A,-1.06,0.54,210,6,45,1,262,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,48,86,"beta[7,4]",-1.112,0.011,0.419,-1.96,-1.816,-1.386,-1.095,-0.824,-0.451,-0.322,1409.417,1,Signature.2,-2.656,2.1,193,43,81,5,322,6.702,2.02,1.02,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,6,22,"beta[8,4]",-0.719,0.017,0.654,-2.04,-1.804,-1.162,-0.704,-0.271,0.335,0.526,1527.847,1,Signature.20,-1.1,0.57,49,5,21,1,76,0.049,0.08,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,11,50,"beta[9,4]",-0.892,0.015,0.603,-2.089,-1.942,-1.265,-0.85,-0.494,0.04,0.224,1543.97,1,Signature.3,-1.478,0.86,182,10,49,1,242,0.347,0.26,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,100,226,"beta[10,4]",-0.266,0.006,0.227,-0.713,-0.651,-0.407,-0.265,-0.117,0.11,0.181,1509.305,1.002,Signature.4,-1.168,0.61,404,72,198,28,702,0.729,0.41,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,6,13,"beta[11,4]",-0.232,0.016,0.641,-1.498,-1.336,-0.654,-0.22,0.212,0.777,0.945,1581.936,0.999,Signature.6,-0.363,0.14,36,4,11,2,53,0.001,0.01,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,Cell_Cycle,non-small cell lung cancer,9,16,"beta[12,4]",-0.279,0.018,0.64,-1.563,-1.274,-0.698,-0.273,0.142,0.758,0.969,1318.425,0.999,Signature.7,-0.435,0.18,84,7,14,2,107,0.023,0.06,-0,TRUE,3.21,3.21
