cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,25,278,"beta[1,4]",0.066,0.009,0.345,-0.688,-0.54,-0.147,0.083,0.289,0.604,0.713,1591.24,1.002,Metastasis,0.191,0.07,1084,20,273,5,1382,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,63,423,"beta[2,4]",0.18,0.008,0.279,-0.369,-0.289,-0.008,0.197,0.364,0.632,0.727,1327.167,1,Primary,0.645,0.28,1826,49,409,14,2298,0.394,0.28,0.05,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,88,701,mu_beta[3],0.113,0.01,0.4,-0.728,-0.531,-0.101,0.128,0.351,0.708,0.849,1504.332,0.999,overall,0.282,0.11,2910,69,682,19,3680,0.228,0.2,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,25,644,"beta[1,4]",-0.08,0.008,0.304,-0.708,-0.587,-0.269,-0.075,0.121,0.418,0.521,1381.079,1,Metastasis,-0.264,0.1,724,14,633,11,1382,0.004,0.02,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,63,939,"beta[2,4]",0.065,0.006,0.23,-0.376,-0.305,-0.086,0.058,0.214,0.452,0.522,1324.663,0.999,Primary,0.281,0.11,1323,36,912,27,2298,0.039,0.07,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,88,1583,mu_beta[3],0.003,0.011,0.441,-0.804,-0.618,-0.207,-0.003,0.208,0.627,0.814,1628.55,0.999,overall,0.007,0,2047,50,1545,38,3680,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,25,277,"beta[1,4]",0.432,0.011,0.425,-0.376,-0.25,0.136,0.425,0.691,1.173,1.26,1412.598,0.999,Metastasis,1.016,0.51,1089,16,268,9,1382,3.095,1.1,0.52,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,63,384,"beta[2,4]",-0.138,0.011,0.356,-0.918,-0.771,-0.364,-0.117,0.109,0.396,0.502,1003.466,1.004,Primary,-0.388,0.16,1859,55,376,8,2298,0.482,0.31,0.06,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,661,mu_beta[3],0.162,0.016,0.568,-0.941,-0.686,-0.152,0.145,0.45,1.088,1.435,1315.581,1,overall,0.285,0.11,2948,71,644,17,3680,0.038,0.07,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,25,198,"beta[1,4]",0.193,0.016,0.393,-0.668,-0.464,-0.06,0.233,0.437,0.765,0.878,581.739,1.004,Metastasis,0.492,0.21,1163,21,194,4,1382,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,63,271,"beta[2,4]",0.288,0.014,0.314,-0.365,-0.257,0.091,0.321,0.512,0.775,0.863,512.716,1.002,Primary,0.915,0.44,1974,53,261,10,2298,0.673,0.38,0.07,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,88,469,mu_beta[3],0.249,0.015,0.447,-0.647,-0.443,-0.022,0.287,0.484,0.898,1.085,864.53,1.002,overall,0.558,0.24,3137,74,455,14,3680,0.547,0.34,0.06,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,DDR,non-small cell lung cancer,25,419,"beta[1,4]",0.322,0.009,0.315,-0.305,-0.218,0.121,0.308,0.522,0.852,0.967,1347.878,1.001,Metastasis,1.022,0.51,948,15,409,10,1382,0.711,0.4,0.07,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sample_type,KRAS_12A,DDR,non-small cell lung cancer,63,569,"beta[2,4]",0.293,0.007,0.256,-0.236,-0.131,0.13,0.295,0.472,0.711,0.782,1319.598,1.001,Primary,1.144,0.6,1685,44,550,19,2298,0.737,0.41,0.07,TRUE,3.21,3.21
