cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),sex,KRAS_12A,Cell_Cycle,non-small cell lung cancer,56,373,"beta[1,4]",0.184,0.008,0.296,-0.394,-0.316,-0.013,0.19,0.379,0.666,0.78,1322.028,1.001,Female,0.623,0.27,1718,44,361,12,2135,0.375,0.27,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,Cell_Cycle,non-small cell lung cancer,32,328,"beta[2,4]",0.081,0.01,0.333,-0.616,-0.48,-0.126,0.099,0.297,0.626,0.728,1221.751,1.003,Male,0.244,0.09,1192,25,321,7,1545,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,Cell_Cycle,non-small cell lung cancer,88,701,mu_beta[3],0.131,0.012,0.417,-0.748,-0.538,-0.077,0.148,0.363,0.776,0.919,1182.807,1.001,overall,0.313,0.12,2910,69,682,19,3680,0.228,0.2,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,56,851,"beta[1,4]",0.024,0.006,0.249,-0.498,-0.394,-0.144,0.024,0.195,0.429,0.501,1475.54,0.999,Female,0.097,0.04,1251,33,828,23,2135,0.002,0.02,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,32,732,"beta[2,4]",-0.027,0.007,0.278,-0.578,-0.488,-0.202,-0.034,0.147,0.434,0.563,1470.888,1,Male,-0.097,0.03,796,17,717,15,1545,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,88,1583,mu_beta[3],-0.005,0.01,0.399,-0.763,-0.572,-0.214,0.001,0.194,0.583,0.798,1457.602,0.999,overall,-0.012,0,2047,50,1545,38,3680,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,56,306,"beta[1,4]",0.089,0.008,0.331,-0.585,-0.469,-0.115,0.097,0.311,0.613,0.698,1579.215,1,Female,0.269,0.1,1782,47,297,9,2135,0.034,0.07,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,32,355,"beta[2,4]",0.08,0.009,0.359,-0.63,-0.519,-0.159,0.082,0.334,0.647,0.753,1517.997,1,Male,0.224,0.08,1166,24,347,8,1545,0.004,0.02,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,661,mu_beta[3],0.096,0.015,0.531,-0.919,-0.705,-0.194,0.083,0.371,0.886,1.148,1315.532,0.999,overall,0.182,0.07,2948,71,644,17,3680,0.038,0.07,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,56,280,"beta[1,4]",0.223,0.015,0.296,-0.386,-0.229,0.045,0.188,0.429,0.712,0.808,374.118,1.013,Female,0.753,0.35,1809,46,270,10,2135,0.748,0.41,0.02,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,32,189,"beta[2,4]",0.149,0.01,0.344,-0.619,-0.47,-0.021,0.097,0.377,0.698,0.774,1233.946,1,Male,0.434,0.18,1328,28,185,4,1545,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,wnt,non-small cell lung cancer,88,469,mu_beta[3],0.194,0.011,0.368,-0.553,-0.408,0.025,0.135,0.417,0.733,0.878,1116.368,1.005,overall,0.528,0.22,3137,74,455,14,3680,0.547,0.34,0.02,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,DDR,non-small cell lung cancer,56,543,"beta[1,4]",0.312,0.007,0.256,-0.191,-0.114,0.138,0.311,0.488,0.726,0.805,1225.251,0.999,Female,1.219,0.65,1554,38,525,18,2135,1.026,0.51,0.08,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,DDR,non-small cell lung cancer,32,445,"beta[2,4]",0.262,0.009,0.281,-0.292,-0.212,0.081,0.264,0.459,0.699,0.778,1078.154,1.001,Male,0.935,0.46,1079,21,434,11,1545,0.256,0.21,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,DDR,non-small cell lung cancer,88,988,mu_beta[3],0.283,0.01,0.355,-0.398,-0.215,0.09,0.286,0.484,0.785,0.921,1353.438,1.002,overall,0.798,0.37,2633,59,959,29,3680,1.408,0.63,0.15,TRUE,3.21,3.21
single,Any mutation (gene_pathways),sex,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,56,1331,"beta[1,4]",-0.992,0.007,0.248,-1.463,-1.398,-1.163,-0.988,-0.82,-0.595,-0.52,1388.999,1.002,Female,-4,4.2,771,33,1308,23,2135,10.172,2.85,1.89,TRUE,3.21,3.21
