cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,27,25,"beta[1,4]",-1.308,0.023,0.875,-3.382,-2.958,-1.742,-1.198,-0.733,-0.057,0.153,1408.868,0.999,2,-1.495,0.87,386,27,25,0,438,0.795,0.43,0.21,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,46,85,"beta[2,4]",-0.507,0.012,0.476,-1.494,-1.337,-0.811,-0.482,-0.2,0.261,0.414,1572.542,0.998,3,-1.066,0.54,495,41,80,5,621,0.126,0.14,0.03,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,127,139,"beta[3,4]",-0.8,0.008,0.304,-1.428,-1.322,-0.993,-0.782,-0.588,-0.334,-0.253,1469.616,1.002,4,-2.629,2.07,506,114,126,13,759,6.019,1.85,1.37,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,222,424,"beta[4,4]",-0.728,0.005,0.174,-1.076,-1.018,-0.845,-0.731,-0.607,-0.449,-0.415,1443.753,0.999,5,-4.192,4.56,622,172,374,50,1218,17.41,4.52,3.71,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Cell_Cycle,non-small cell lung cancer,422,673,mu_beta[3],-0.805,0.014,0.521,-1.822,-1.661,-1.137,-0.805,-0.468,0.031,0.246,1321.405,1,overall,-1.545,0.91,2009,354,605,68,3036,10.007,2.81,2.23,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,27,68,"beta[1,4]",-0.451,0.013,0.527,-1.604,-1.356,-0.79,-0.422,-0.104,0.374,0.515,1534.687,0.999,2,-0.855,0.41,346,24,65,3,438,0.144,0.15,0.03,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,46,178,"beta[2,4]",-0.087,0.008,0.326,-0.736,-0.648,-0.309,-0.079,0.132,0.461,0.548,1487.319,0.999,3,-0.267,0.1,410,33,165,13,621,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,127,339,"beta[3,4]",-0.018,0.005,0.189,-0.385,-0.338,-0.147,-0.011,0.107,0.281,0.351,1472.034,0.999,4,-0.097,0.04,349,71,283,56,759,0.002,0.02,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,222,928,"beta[4,4]",-0.231,0.004,0.163,-0.551,-0.501,-0.34,-0.23,-0.121,0.026,0.077,1380.784,0.999,5,-1.416,0.8,228,62,768,160,1218,2.268,0.88,0.6,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,422,1513,mu_beta[3],-0.197,0.012,0.503,-1.213,-1.01,-0.522,-0.188,0.13,0.59,0.74,1691.178,0.999,overall,-0.393,0.16,1333,190,1281,232,3036,4.946,1.58,1.21,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,27,16,"beta[1,4]",-0.03,0.018,0.723,-1.614,-1.276,-0.473,-0.004,0.453,1.09,1.282,1529.546,0.999,2,-0.041,0.01,396,26,15,1,438,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,46,58,"beta[2,4]",0.634,0.01,0.396,-0.166,-0.028,0.364,0.649,0.915,1.252,1.357,1605.215,0.998,3,1.6,0.96,525,38,50,8,621,2.846,1.04,0.72,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,127,158,"beta[3,4]",0.539,0.006,0.213,0.11,0.194,0.405,0.536,0.685,0.881,0.954,1462.06,1,4,2.53,1.94,511,90,121,37,759,5.809,1.8,1.35,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,222,417,"beta[4,4]",-0.304,0.004,0.163,-0.63,-0.58,-0.407,-0.303,-0.196,-0.042,0.009,1552.652,1.001,5,-1.866,1.21,642,159,354,63,1218,3.826,1.3,0.94,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,422,649,mu_beta[3],0.205,0.014,0.543,-0.838,-0.666,-0.135,0.194,0.538,1.07,1.241,1443.812,1,overall,0.377,0.15,2074,313,540,109,3036,5.478,1.72,1.32,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,27,18,"beta[1,4]",-0.342,0.019,0.685,-1.767,-1.514,-0.742,-0.331,0.13,0.727,0.936,1325.463,0.999,2,-0.5,0.21,394,26,17,1,438,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,46,54,"beta[2,4]",-0.358,0.013,0.51,-1.424,-1.193,-0.686,-0.348,-0.009,0.444,0.57,1487.693,1,3,-0.703,0.32,524,43,51,3,621,0.074,0.1,0.01,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,127,93,"beta[3,4]",-0.097,0.007,0.284,-0.67,-0.559,-0.28,-0.097,0.099,0.372,0.42,1555.781,1.001,4,-0.343,0.14,554,112,78,15,759,0,0.01,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,222,284,"beta[4,4]",-0.246,0.005,0.182,-0.609,-0.552,-0.363,-0.244,-0.127,0.056,0.115,1578.234,1.001,5,-1.351,0.75,756,178,240,44,1218,1.625,0.69,0.44,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,wnt,non-small cell lung cancer,422,449,mu_beta[3],-0.263,0.012,0.452,-1.194,-1.026,-0.541,-0.257,0.032,0.461,0.628,1499.87,0.999,overall,-0.581,0.25,2228,359,386,63,3036,0,0,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,27,25,"beta[1,4]",0.739,0.015,0.559,-0.428,-0.218,0.386,0.754,1.122,1.615,1.776,1336.526,1,2,1.323,0.73,390,23,21,4,438,2.814,1.03,0.72,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,46,87,"beta[2,4]",0.077,0.011,0.404,-0.727,-0.599,-0.178,0.092,0.354,0.72,0.828,1453.422,1,3,0.19,0.07,495,39,80,7,621,0.001,0.01,0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,127,211,"beta[3,4]",0.27,0.006,0.207,-0.143,-0.081,0.131,0.268,0.409,0.603,0.674,1297.714,1.001,4,1.306,0.72,462,86,170,41,759,1.271,0.59,0.35,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,222,637,"beta[4,4]",0.134,0.004,0.15,-0.156,-0.111,0.033,0.136,0.233,0.377,0.427,1589.382,1.001,5,0.896,0.43,480,101,516,121,1218,0.427,0.29,0.12,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,DDR,non-small cell lung cancer,422,960,mu_beta[3],0.312,0.014,0.534,-0.716,-0.521,-0.034,0.309,0.629,1.194,1.4,1475.862,1.001,overall,0.583,0.25,1827,249,787,173,3036,19.421,4.98,4.1,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,27,243,"beta[1,4]",-1.872,0.013,0.449,-2.833,-2.643,-2.149,-1.846,-1.558,-1.194,-1.093,1291.505,1,2,-4.166,4.51,171,24,240,3,438,21.058,5.35,4.3,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,46,392,"beta[2,4]",-1.188,0.007,0.283,-1.746,-1.661,-1.37,-1.176,-0.999,-0.733,-0.624,1557.748,1.001,3,-4.196,4.57,200,29,375,17,621,13.425,3.61,2.91,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,127,466,"beta[3,4]",-0.893,0.005,0.193,-1.275,-1.21,-1.021,-0.895,-0.771,-0.574,-0.503,1407.139,1.002,4,-4.626,5.43,221,72,411,55,759,20.151,5.15,4.19,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,222,957,"beta[4,4]",-0.429,0.004,0.167,-0.745,-0.696,-0.538,-0.437,-0.319,-0.158,-0.097,1382.372,1.001,5,-2.567,1.99,200,61,796,161,1218,5.469,1.71,1.32,TRUE,3.21,3.21
single,Any mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,422,2058,mu_beta[3],-1.073,0.009,0.371,-1.845,-1.689,-1.29,-1.063,-0.843,-0.5,-0.377,1668.511,0.999,overall,-2.893,2.42,792,186,1822,236,3036,30.957,7.58,6.4,TRUE,3.21,3.21
