cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,agecat,KRAS_12A,SPEN,colorectal cancer,6,23,"beta[1,4]",-0.529,0.024,0.923,-2.457,-2.171,-1.097,-0.502,0.057,0.909,1.202,1483.67,1.001,<40,-0.573,0.25,199,4,21,2,226,1.482,0.65,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,SPEN,colorectal cancer,14,25,"beta[2,4]",-0.988,0.028,0.965,-3.147,-2.733,-1.543,-0.877,-0.317,0.361,0.646,1167.66,1.001,40-50,-1.024,0.51,416,14,25,0,455,0.103,0.13,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,SPEN,colorectal cancer,16,45,"beta[3,4]",-1.005,0.025,0.936,-3.14,-2.695,-1.559,-0.897,-0.363,0.326,0.523,1348.716,1,50-65,-1.074,0.55,916,16,45,0,977,0.081,0.11,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,SPEN,colorectal cancer,16,62,"beta[4,4]",-1.066,0.025,0.911,-3.06,-2.678,-1.619,-0.973,-0.416,0.233,0.453,1324.582,1,>65,-1.17,0.62,589,16,62,0,667,0.74,0.41,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,SPEN,non-small cell lung cancer,25,67,"beta[1,4]",-0.01,0.021,0.771,-1.738,-1.327,-0.424,0.075,0.498,1.075,1.231,1351.08,0.999,50-65,-0.013,0,1248,24,66,1,1339,0,0,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,SPEN,non-small cell lung cancer,63,49,"beta[2,4]",0.436,0.016,0.616,-0.875,-0.596,0.047,0.472,0.859,1.402,1.532,1416.624,0.999,>65,0.708,0.32,2027,60,46,3,2136,0.812,0.43,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,SPEN,colorectal cancer,52,155,mu_beta[3],-0.886,0.023,0.855,-2.772,-2.384,-1.39,-0.809,-0.313,0.376,0.612,1348.126,1,overall,-1.037,0.52,2120,50,153,2,2325,0.295,0.23,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,SPEN,non-small cell lung cancer,88,116,mu_beta[3],0.219,0.023,0.907,-1.616,-1.203,-0.247,0.247,0.727,1.514,1.935,1594.232,1,overall,0.241,0.09,3275,84,112,4,3475,0.114,0.13,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,25,90,"beta[1,4]",-1.243,0.036,1.155,-4.234,-3.253,-1.667,-1.027,-0.516,0.086,0.264,1038.13,1.004,50-65,-1.076,0.55,1205,25,90,0,1320,0.931,0.48,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,63,122,"beta[2,4]",-0.677,0.017,0.642,-2.067,-1.857,-1.054,-0.615,-0.24,0.29,0.457,1391.336,0.999,>65,-1.055,0.54,1945,60,119,3,2127,0.004,0.02,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,KMT2C,non-small cell lung cancer,88,212,mu_beta[3],-0.912,0.025,0.906,-2.892,-2.416,-1.373,-0.852,-0.377,0.276,0.561,1265.94,1.003,overall,-1.006,0.5,3150,85,209,3,3447,0.739,0.41,-0,FALSE,5.15,5.48
single,Any mutation,agecat,KRAS_12A,TP53,colorectal cancer,15,350,"beta[2,4]",-0.488,0.008,0.305,-1.05,-0.991,-0.678,-0.495,-0.299,0.017,0.139,1381.891,1,40-50,-1.598,0.96,147,5,340,10,502,0,0,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,TP53,colorectal cancer,18,724,"beta[3,4]",-0.659,0.008,0.307,-1.279,-1.176,-0.862,-0.637,-0.456,-0.188,-0.082,1322.636,1.003,50-65,-2.143,1.49,386,11,717,7,1121,4.201,1.39,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,TP53,colorectal cancer,18,480,"beta[4,4]",-0.552,0.008,0.297,-1.145,-1.054,-0.74,-0.558,-0.357,-0.071,0.046,1397.64,1,>65,-1.862,1.2,280,9,471,9,769,0.73,0.41,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,27,814,"beta[3,4]",-0.686,0.009,0.331,-1.336,-1.221,-0.909,-0.682,-0.478,-0.147,-0.037,1425.498,0.999,50-65,-2.07,1.42,604,15,802,12,1433,1.238,0.58,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,66,1113,"beta[4,4]",-0.899,0.007,0.264,-1.44,-1.35,-1.075,-0.897,-0.708,-0.488,-0.402,1473.37,1.002,>65,-3.404,3.18,1103,48,1095,18,2264,12.145,3.31,1.28,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,TP53,colorectal cancer,56,1719,mu_beta[3],-0.569,0.008,0.292,-1.134,-1.043,-0.754,-0.569,-0.371,-0.105,0.011,1355.327,1,overall,-1.947,1.29,893,27,1690,29,2639,3.911,1.32,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,93,2056,mu_beta[3],-0.892,0.012,0.469,-1.874,-1.645,-1.132,-0.888,-0.633,-0.226,-0.023,1460.525,0.999,overall,-1.902,1.24,1848,63,2026,30,3967,13.816,3.7,1.42,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,ATRX,colorectal cancer,14,31,"beta[1,4]",-0.365,0.026,0.915,-2.333,-1.896,-0.836,-0.245,0.246,0.865,1.09,1202.865,1.004,40-50,-0.399,0.16,413,14,31,0,458,0.234,0.2,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,ATRX,colorectal cancer,16,31,"beta[2,4]",0.329,0.021,0.803,-1.376,-1.026,-0.194,0.335,0.866,1.599,1.841,1519.121,0.999,50-65,0.41,0.17,924,14,29,2,969,2.004,0.8,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,ATRX,colorectal cancer,16,48,"beta[3,4]",-0.091,0.02,0.765,-1.752,-1.46,-0.567,-0.037,0.447,1.022,1.225,1456.678,1.001,>65,-0.119,0.04,595,15,47,1,658,0,0,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,ATRX,non-small cell lung cancer,25,74,"beta[1,4]",-0.73,0.036,1.238,-3.686,-2.805,-1.064,-0.459,-0.027,0.56,0.706,1156.63,1,50-65,-0.59,0.26,1226,25,74,0,1325,0.621,0.37,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,ATRX,non-small cell lung cancer,64,123,"beta[2,4]",0.009,0.014,0.523,-1.058,-0.885,-0.317,0.035,0.375,0.808,0.954,1464.195,0.999,>65,0.018,0.01,1964,59,118,5,2146,0.206,0.19,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,ATRX,colorectal cancer,46,110,mu_beta[3],-0.042,0.02,0.751,-1.683,-1.38,-0.496,0.019,0.499,1.072,1.226,1419.989,1.002,overall,-0.056,0.02,1932,43,107,3,2085,0.002,0.02,-0,TRUE,5.26,5.69
single,Any mutation,agecat,KRAS_12A,ATRX,non-small cell lung cancer,89,197,mu_beta[3],-0.345,0.024,0.869,-2.389,-1.788,-0.736,-0.237,0.184,0.797,0.989,1270.172,0.999,overall,-0.397,0.16,3190,84,192,5,3471,0,0,-0,TRUE,5.26,5.69
