cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,race,KRAS_12A,SPEN,colorectal cancer,40,121,"beta[2,4]",-4.747,0.15,2.723,-11.135,-10.007,-6.162,-4.194,-2.715,-1.438,-0.966,327.798,1.013,White,-1.744,1.09,1612,40,121,0,1773,2,0.8,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,SPEN,non-small cell lung cancer,81,101,"beta[1,4]",0.272,0.016,0.544,-0.922,-0.68,-0.057,0.303,0.653,1.083,1.261,1212.07,1,White,0.5,0.21,2769,77,97,4,2947,0.201,0.18,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,SPEN,colorectal cancer,44,132,mu_beta[3],-4.656,0.147,2.709,-11.076,-9.904,-6.121,-4.136,-2.636,-1.315,-0.804,339.573,1.012,overall,-1.719,1.07,1746,44,132,0,1922,2.313,0.89,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,SPEN,non-small cell lung cancer,81,101,mu_beta[3],0.207,0.051,2.028,-4.422,-3.221,-0.668,0.24,1.154,3.465,4.739,1572.212,1.001,overall,0.102,0.04,2769,77,97,4,2947,0.201,0.18,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,KMT2C,non-small cell lung cancer,81,185,"beta[3,4]",-0.774,0.016,0.626,-2.147,-1.917,-1.144,-0.729,-0.359,0.168,0.304,1455.635,1,White,-1.236,0.66,2670,78,182,3,2933,0.556,0.34,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,KMT2C,non-small cell lung cancer,85,210,mu_beta[3],-0.836,0.028,0.975,-2.86,-2.432,-1.418,-0.787,-0.211,0.612,0.952,1239.13,1.002,overall,-0.857,0.41,3164,82,207,3,3456,0.586,0.35,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,TP53,colorectal cancer,44,1350,"beta[5,4]",-0.626,0.008,0.279,-1.189,-1.102,-0.813,-0.618,-0.424,-0.188,-0.128,1382.93,1.001,White,-2.243,1.6,662,22,1328,22,2034,4.677,1.51,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,TP53,non-small cell lung cancer,86,1617,"beta[5,4]",-0.828,0.006,0.227,-1.278,-1.205,-0.98,-0.827,-0.678,-0.47,-0.385,1431.604,1,White,-3.653,3.59,1450,58,1589,28,3125,12.259,3.33,1.37,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,TP53,colorectal cancer,55,1713,mu_beta[3],-0.579,0.009,0.344,-1.275,-1.155,-0.79,-0.576,-0.359,-0.027,0.103,1489.354,1,overall,-1.684,1.03,827,26,1684,29,2566,4.36,1.43,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,TP53,non-small cell lung cancer,93,2050,mu_beta[3],-0.991,0.011,0.405,-1.834,-1.657,-1.233,-0.968,-0.74,-0.375,-0.226,1333.09,1.003,overall,-2.447,1.84,1828,63,2020,30,3941,14.099,3.76,1.49,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,ATRX,colorectal cancer,40,96,"beta[1,4]",0.227,0.016,0.653,-1.206,-0.876,-0.152,0.269,0.661,1.197,1.305,1658.979,1.001,White,0.347,0.14,1622,37,93,3,1755,0.048,0.08,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,ATRX,non-small cell lung cancer,82,186,"beta[2,4]",-0.146,0.014,0.479,-1.188,-1.007,-0.429,-0.125,0.181,0.593,0.721,1099.73,0.999,White,-0.305,0.12,2679,77,181,5,2942,0,0,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,ATRX,colorectal cancer,40,96,mu_beta[3],0.175,0.056,2.12,-4.242,-3.251,-0.812,0.222,1.199,3.508,4.535,1412.292,1,overall,0.083,0.03,1622,37,93,3,1755,0.048,0.08,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,ATRX,non-small cell lung cancer,84,197,mu_beta[3],-0.284,0.028,1.05,-2.623,-2.049,-0.737,-0.178,0.296,1.082,1.546,1407.316,1.001,overall,-0.271,0.1,2862,79,192,5,3138,0,0,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,ATR,colorectal cancer,40,88,"beta[2,4]",-4.705,0.103,2.84,-11.345,-9.877,-6.49,-4.262,-2.584,-0.802,-0.559,758.722,1.002,White,-1.656,1.01,1635,40,88,0,1763,1.208,0.57,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,ATR,non-small cell lung cancer,82,103,"beta[1,4]",0.51,0.013,0.495,-0.571,-0.342,0.204,0.546,0.852,1.261,1.36,1512.904,1,White,1.031,0.52,2742,77,98,5,2922,0.956,0.48,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,ATR,colorectal cancer,43,99,mu_beta[3],-4.547,0.106,2.852,-10.987,-9.766,-6.319,-4.125,-2.447,-0.659,-0.338,718.376,1.002,overall,-1.594,0.95,1774,43,99,0,1916,1.439,0.64,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,ATR,non-small cell lung cancer,82,103,mu_beta[3],0.338,0.058,2.16,-4.665,-3.541,-0.628,0.439,1.321,3.775,4.683,1409.895,0.998,overall,0.156,0.06,2742,77,98,5,2922,0.956,0.48,-0,FALSE,5.15,5.48
single,Any mutation,race,KRAS_12A,PDGFRA,colorectal cancer,44,44,"beta[1,4]",-5.418,0.22,4.131,-15.061,-12.428,-7.925,-4.782,-2.312,-0.213,0.143,351.527,1.012,White,-1.312,0.72,1844,44,44,0,1932,0.263,0.22,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,PDGFRA,non-small cell lung cancer,84,112,"beta[3,4]",-0.329,0.019,0.651,-1.776,-1.506,-0.718,-0.288,0.142,0.634,0.752,1181.211,1.005,White,-0.506,0.21,2822,81,109,3,3015,0,0,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,PDGFRA,colorectal cancer,44,44,mu_beta[3],-4.075,0.376,3.807,-10.903,-10.026,-6.902,-3.738,-1.418,1.629,3.049,102.248,1.029,overall,-1.071,0.55,1844,44,44,0,1932,0.263,0.22,-0,TRUE,5.26,5.69
single,Any mutation,race,KRAS_12A,PDGFRA,non-small cell lung cancer,89,137,mu_beta[3],-0.488,0.026,0.911,-2.495,-2.128,-1.007,-0.395,0.124,0.867,1.115,1260.19,1.002,overall,-0.536,0.23,3322,86,134,3,3545,0,0,-0,TRUE,5.26,5.69
