cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation,TMB,KRAS_12C,SPEN,non-small cell lung cancer,127,15,"beta[1,4]",-2.323,0.047,1.551,-6.055,-5.206,-2.912,-2,-1.34,-0.58,-0.384,1099.413,1.004,4,-1.497,0.87,620,127,15,0,762,1.959,0.79,0.33,FALSE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,SPEN,non-small cell lung cancer,223,87,"beta[2,4]",-1.116,0.011,0.418,-2.015,-1.818,-1.373,-1.101,-0.831,-0.468,-0.371,1485.957,0.999,5,-2.671,2.12,950,216,80,7,1253,5.381,1.69,0.87,FALSE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,SPEN,non-small cell lung cancer,350,102,mu_beta[3],-1.605,0.03,1.133,-4.116,-3.588,-2.18,-1.478,-0.941,0.015,0.362,1441.016,0.999,overall,-1.416,0.8,1570,343,95,7,2015,7.511,2.21,1.25,FALSE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,KMT2C,non-small cell lung cancer,46,13,"beta[1,4]",-1.003,0.026,1.028,-3.43,-2.807,-1.547,-0.872,-0.301,0.409,0.624,1544.1,0.999,3,-0.976,0.48,563,46,13,0,622,0.244,0.21,0.02,FALSE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,KMT2C,non-small cell lung cancer,127,36,"beta[2,4]",-0.18,0.011,0.434,-1.027,-0.905,-0.46,-0.174,0.117,0.518,0.613,1436.659,0.998,4,-0.415,0.17,604,121,30,6,761,0,0,-0,FALSE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,KMT2C,non-small cell lung cancer,223,155,"beta[3,4]",-0.328,0.006,0.239,-0.807,-0.732,-0.491,-0.32,-0.165,0.078,0.131,1457.117,0.999,5,-1.373,0.77,874,201,133,22,1230,1.561,0.67,0.26,FALSE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,KMT2C,non-small cell lung cancer,396,204,mu_beta[3],-0.493,0.018,0.704,-2.013,-1.683,-0.884,-0.465,-0.039,0.566,0.823,1524.784,0.999,overall,-0.7,0.32,2041,368,176,28,2613,0.241,0.21,0.02,FALSE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,27,180,"beta[1,4]",-1.5,0.012,0.45,-2.442,-2.273,-1.799,-1.475,-1.199,-0.788,-0.68,1467.515,1,2,-3.333,3.07,240,23,176,4,443,6.846,2.05,1.14,TRUE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,46,324,"beta[2,4]",-1.434,0.008,0.323,-2.104,-1.998,-1.647,-1.426,-1.215,-0.91,-0.823,1506.827,0.999,3,-4.436,5.04,279,36,314,10,639,15.413,4.06,2.75,TRUE,4.46,4.46
single,Any mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,127,450,"beta[3,4]",-1.305,0.005,0.201,-1.706,-1.637,-1.437,-1.305,-1.166,-0.974,-0.918,1630.024,1,4,-6.499,10.09,250,88,411,39,788,41.797,9.99,8.46,TRUE,4.46,4.46
