cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12A,Cell_Cycle,non-small cell lung cancer,88,115,"beta[1,4]",0.246,0.015,0.539,-0.98,-0.71,-0.086,0.3,0.606,1.029,1.183,1295.029,1,NA,0.457,0.19,3481,84,111,4,3680,0.216,0.19,0,TRUE,3.11,3.11
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,88,63,"beta[1,4]",0.091,0.031,0.796,-1.895,-1.425,-0.327,0.191,0.643,1.181,1.376,655.37,1.007,NA,0.115,0.04,3531,86,61,2,3680,0,0,0,TRUE,3.11,3.11
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,53,"beta[1,4]",-0.741,0.033,1.227,-3.649,-3.015,-1.393,-0.543,0.103,0.869,1.086,1419.014,1,NA,-0.604,0.26,3540,87,52,1,3680,0,0,0,TRUE,3.11,3.11
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12A,wnt,non-small cell lung cancer,88,115,"beta[1,4]",-1.518,0.031,1.154,-4.271,-3.582,-2.179,-1.368,-0.703,0.117,0.304,1352.933,1,NA,-1.316,0.73,3478,87,114,1,3680,0.601,0.36,0,TRUE,3.11,3.11
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,88,814,"beta[1,4]",-2.279,0.021,0.632,-3.597,-3.354,-2.694,-2.218,-1.829,-1.32,-1.181,881.985,0.999,NA,-3.603,3.5,2781,85,811,3,3680,17.226,4.48,3.58,TRUE,3.11,3.11
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,88,179,"beta[1,4]",-1.081,0.022,0.811,-2.913,-2.54,-1.56,-0.983,-0.539,0.117,0.259,1323.49,1.002,NA,-1.334,0.74,3415,86,177,2,3680,0.798,0.43,0,TRUE,3.11,3.11
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12A,PI3K_AKT,non-small cell lung cancer,88,134,"beta[1,4]",-0.24,0.017,0.641,-1.635,-1.378,-0.638,-0.168,0.207,0.703,0.85,1501.112,0.999,NA,-0.374,0.15,3461,85,131,3,3680,0,0,0,TRUE,3.11,3.11
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,88,78,"beta[1,4]",0.338,0.016,0.629,-1.068,-0.801,-0.042,0.358,0.793,1.277,1.441,1484.059,1,NA,0.538,0.23,3517,85,75,3,3680,0.226,0.2,0,TRUE,3.11,3.11
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,Cell_Cycle,non-small cell lung cancer,455,115,"beta[1,4]",-0.698,0.011,0.376,-1.492,-1.359,-0.932,-0.671,-0.446,-0.105,-0.003,1085.999,1.001,NA,-1.856,1.2,3118,447,107,8,3680,2.709,1,0.52,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,Chromatin_Regulation,colorectal cancer,66,163,"beta[1,4]",-1.596,0.023,0.858,-3.711,-3.174,-2.065,-1.466,-1.001,-0.418,-0.236,1378.973,0.999,NA,-1.861,1.2,1990,65,162,1,2218,2.574,0.96,0.52,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,455,63,"beta[2,4]",-0.29,0.011,0.431,-1.194,-1.066,-0.574,-0.269,0.007,0.385,0.482,1431.635,0.998,NA,-0.674,0.3,3169,448,56,7,3680,0.012,0.04,0,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,455,53,"beta[1,4]",-0.061,0.071,0.495,-0.898,-0.852,-0.393,-0.013,0.296,0.718,0.821,49.12,1.069,NA,-0.123,0.04,3179,448,46,7,3680,0,0,0,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,wnt,colorectal cancer,66,1199,"beta[1,4]",-0.057,0.007,0.25,-0.533,-0.476,-0.229,-0.061,0.114,0.36,0.422,1412.973,0.999,NA,-0.228,0.09,988,31,1164,35,2218,0.002,0.02,0,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,wnt,non-small cell lung cancer,455,115,"beta[2,4]",-0.573,0.009,0.344,-1.246,-1.152,-0.807,-0.564,-0.34,-0.031,0.079,1422.858,1,NA,-1.666,1.02,3119,446,106,9,3680,1.845,0.76,0.45,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,DDR,colorectal cancer,66,104,"beta[1,4]",-1.617,0.034,1.202,-4.467,-3.884,-2.229,-1.451,-0.744,-0.015,0.209,1265.669,1,NA,-1.345,0.75,2049,65,103,1,2218,0.889,0.46,0.33,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_extended,colorectal cancer,66,285,"beta[1,4]",-0.866,0.013,0.524,-1.961,-1.778,-1.217,-0.837,-0.493,-0.06,0.071,1511.353,0.998,NA,-1.651,1.01,1872,61,280,5,2218,1.239,0.58,0.38,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,455,814,"beta[2,4]",-2.321,0.007,0.272,-2.875,-2.783,-2.496,-2.306,-2.138,-1.893,-1.805,1357.938,1.002,NA,-8.537,16.86,2425,441,800,14,3680,108.032,24.58,23.43,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_brief,colorectal cancer,66,264,"beta[1,4]",-0.66,0.012,0.466,-1.658,-1.457,-0.945,-0.637,-0.343,0.084,0.194,1480.084,1,NA,-1.414,0.8,1893,61,259,5,2218,0.826,0.44,0.33,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,455,179,"beta[2,4]",-0.922,0.008,0.318,-1.583,-1.453,-1.127,-0.905,-0.7,-0.4,-0.325,1637.268,1.001,NA,-2.898,2.43,3056,445,169,10,3680,7.332,2.17,1.5,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,PI3K_AKT,colorectal cancer,66,295,"beta[1,4]",-0.717,0.012,0.46,-1.735,-1.527,-1.001,-0.688,-0.406,-0.014,0.103,1534.945,1.002,NA,-1.561,0.93,1862,61,290,5,2218,1.455,0.64,0.4,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,PI3K_AKT,non-small cell lung cancer,455,134,"beta[2,4]",-0.528,0.008,0.325,-1.212,-1.081,-0.733,-0.526,-0.301,-0.023,0.088,1519.779,1.001,NA,-1.622,0.98,3102,444,123,11,3680,1.836,0.76,0.45,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12C,STK11_KEAP1,non-small cell lung cancer,455,78,"beta[1,4]",0.829,0.008,0.261,0.315,0.385,0.647,0.829,1.02,1.266,1.334,948.756,0.999,NA,3.181,2.83,3166,436,59,19,3680,9.481,2.68,1.84,TRUE,3.21,3.59
multi,Cosmic Driver mutation (gene_pathways),none,KRAS_12D,Cell_Cycle,non-small cell lung cancer,151,115,"beta[1,4]",0.361,0.011,0.402,-0.48,-0.366,0.106,0.393,0.63,0.998,1.09,1372.203,1.003,NA,0.897,0.43,3421,144,108,7,3680,0.724,0.4,0.23,TRUE,3.21,3.65
