cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,Cell_Cycle,non-small cell lung cancer,81,92,"beta[2,4]",0.261,0.015,0.546,-0.866,-0.689,-0.098,0.294,0.648,1.085,1.228,1291.5,1.001,White,0.477,0.2,2748,77,88,4,2917,0.372,0.27,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,Cell_Cycle,non-small cell lung cancer,84,104,mu_beta[3],-0.008,0.029,1.059,-2.514,-1.826,-0.479,0.061,0.604,1.425,1.755,1361.222,1.002,overall,-0.008,0,2907,80,100,4,3091,0.171,0.17,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,81,51,"beta[1,4]",0.115,0.027,0.832,-1.71,-1.356,-0.393,0.218,0.694,1.327,1.507,916.341,1.003,White,0.138,0.05,2787,79,49,2,2917,0.005,0.03,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,81,51,mu_beta[3],0.134,0.058,2.106,-4.385,-3.376,-0.988,0.122,1.233,3.646,4.449,1305.351,1.001,overall,0.064,0.02,2787,79,49,2,2917,0.005,0.03,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,81,39,"beta[1,4]",-0.576,0.034,1.222,-3.392,-2.831,-1.267,-0.39,0.31,1.079,1.26,1258.603,1,White,-0.471,0.2,2798,80,38,1,2917,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,81,39,mu_beta[3],-0.568,0.062,2.271,-5.519,-4.48,-1.747,-0.462,0.769,2.988,3.868,1357.326,0.999,overall,-0.25,0.1,2798,80,38,1,2917,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,wnt,non-small cell lung cancer,81,80,"beta[2,4]",-1.355,0.033,1.185,-4.162,-3.531,-2.037,-1.164,-0.496,0.263,0.482,1328.812,0.999,White,-1.144,0.6,2757,80,79,1,2917,0.248,0.21,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,wnt,non-small cell lung cancer,83,100,mu_beta[3],-1.406,0.046,1.685,-5.308,-4.421,-2.299,-1.207,-0.316,0.954,1.53,1359.882,1.002,overall,-0.835,0.39,3064,82,99,1,3246,0.463,0.3,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,81,554,"beta[5,4]",-2.151,0.018,0.642,-3.605,-3.267,-2.546,-2.101,-1.713,-1.166,-0.979,1257.992,0.999,White,-3.348,3.09,2285,78,551,3,2917,11.656,3.19,2.29,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,88,810,mu_beta[3],-2.371,0.023,0.836,-4.229,-3.758,-2.876,-2.342,-1.799,-1.044,-0.814,1304.033,1.001,overall,-2.835,2.34,2776,85,807,3,3671,17.153,4.46,3.26,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,81,136,"beta[4,4]",-1.027,0.032,0.802,-2.901,-2.492,-1.495,-0.936,-0.469,0.145,0.301,637.126,1.004,White,-1.281,0.7,2702,79,134,2,2917,0.465,0.31,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,88,177,mu_beta[3],-1.089,0.034,0.896,-3.036,-2.574,-1.656,-1.002,-0.454,0.244,0.428,700.648,1.005,overall,-1.215,0.65,3351,86,175,2,3614,0.819,0.44,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,PI3K_AKT,non-small cell lung cancer,81,95,"beta[3,4]",-0.197,0.017,0.662,-1.658,-1.402,-0.584,-0.144,0.259,0.775,0.935,1433.452,0.999,White,-0.297,0.12,2744,78,92,3,2917,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,PI3K_AKT,non-small cell lung cancer,86,126,mu_beta[3],-0.389,0.024,0.894,-2.277,-1.91,-0.95,-0.365,0.231,0.954,1.205,1396.821,1.001,overall,-0.435,0.18,3211,83,123,3,3420,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,81,72,"beta[1,4]",0.26,0.018,0.645,-1.229,-0.896,-0.137,0.315,0.716,1.201,1.339,1290.661,1.001,White,0.402,0.16,2767,78,69,3,2917,0.132,0.15,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,81,72,mu_beta[3],0.247,0.056,2.205,-4.543,-3.56,-0.777,0.358,1.28,3.576,4.865,1527.839,1.001,overall,0.112,0.04,2767,78,69,3,2917,0.132,0.15,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,Cell_Cycle,non-small cell lung cancer,15,12,"beta[1,4]",-0.552,0.02,0.762,-2.169,-1.823,-0.977,-0.472,-0.085,0.575,0.841,1509.854,0.999,Unknown,-0.725,0.33,148,14,11,1,174,0,0,0,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,Cell_Cycle,non-small cell lung cancer,405,92,"beta[2,4]",-0.71,0.011,0.382,-1.548,-1.377,-0.955,-0.676,-0.473,-0.116,0.002,1216.466,1.002,White,-1.859,1.2,2427,398,85,7,2917,2.61,0.97,0.54,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,Cell_Cycle,non-small cell lung cancer,420,104,mu_beta[3],-0.605,0.02,0.743,-2.119,-1.772,-1.002,-0.564,-0.208,0.498,0.764,1381.898,1,overall,-0.814,0.38,2575,412,96,8,3091,2.687,1,0.54,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,Chromatin_Regulation,colorectal cancer,58,128,"beta[3,4]",-2.032,0.051,1.155,-4.877,-4.193,-2.524,-1.897,-1.249,-0.464,-0.306,503.749,1.007,White,-1.76,1.11,1555,57,127,1,1740,2.003,0.8,0.45,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,405,51,"beta[1,4]",-0.268,0.012,0.447,-1.175,-1.068,-0.554,-0.255,0.041,0.447,0.557,1381.98,1,White,-0.599,0.26,2467,399,45,6,2917,0.056,0.09,0.01,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,Chromatin_Regulation,colorectal cancer,62,152,mu_beta[3],-2.075,0.054,1.24,-5.027,-4.391,-2.581,-1.968,-1.264,-0.356,-0.1,525.526,1.007,overall,-1.673,1.03,1825,61,151,1,2038,2.352,0.9,0.5,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,Chromatin_Regulation,non-small cell lung cancer,405,51,mu_beta[3],-0.216,0.051,1.992,-4.565,-3.39,-1.146,-0.261,0.74,2.937,3.99,1542.478,1.004,overall,-0.108,0.04,2467,399,45,6,2917,0.056,0.09,0.01,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,405,39,"beta[1,4]",0.051,0.012,0.458,-0.958,-0.741,-0.223,0.071,0.364,0.77,0.88,1385.694,0.999,White,0.111,0.04,2479,399,33,6,2917,0.002,0.01,0,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,405,39,mu_beta[3],0.018,0.049,1.939,-4.283,-3.176,-0.823,0.013,0.93,3.058,4.248,1563.298,1.001,overall,0.009,0,2479,399,33,6,2917,0.002,0.01,0,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,wnt,colorectal cancer,58,953,"beta[5,4]",0.026,0.009,0.253,-0.426,-0.381,-0.15,0.02,0.205,0.432,0.538,871.401,0.999,White,0.104,0.04,762,25,920,33,1740,0.039,0.07,0.01,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,wnt,non-small cell lung cancer,12,20,"beta[1,4]",-1.553,0.045,1.683,-5.758,-4.592,-2.212,-1.238,-0.503,0.431,0.694,1414.635,1.002,Asian,-0.923,0.45,297,12,20,0,329,0.08,0.11,0.01,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,wnt,non-small cell lung cancer,405,80,"beta[2,4]",-0.501,0.01,0.38,-1.274,-1.149,-0.75,-0.493,-0.24,0.107,0.196,1558.934,1,White,-1.316,0.73,2440,397,72,8,2917,0.731,0.41,0.22,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,wnt,colorectal cancer,65,1194,mu_beta[3],-0.158,0.012,0.362,-0.929,-0.782,-0.374,-0.146,0.1,0.4,0.488,934.511,1.002,overall,-0.436,0.18,986,30,1159,35,2210,0,0,0,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,wnt,non-small cell lung cancer,417,100,mu_beta[3],-0.935,0.031,1.246,-3.619,-2.955,-1.555,-0.832,-0.211,0.833,1.413,1605.695,1.002,overall,-0.75,0.34,2737,409,92,8,3246,1.741,0.73,0.45,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,DDR,colorectal cancer,58,77,"beta[1,4]",-5.707,0.118,4.176,-15.084,-13.073,-7.352,-4.887,-2.904,-1.196,-0.741,1254.996,0.998,White,-1.366,0.76,1605,58,77,0,1740,1.801,0.75,0.45,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,DDR,colorectal cancer,58,77,mu_beta[3],-4.091,0.097,3.533,-11.47,-10.343,-6.19,-3.962,-1.91,1.502,2.926,1324.966,0.998,overall,-1.158,0.61,1605,58,77,0,1740,1.801,0.75,0.45,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_extended,colorectal cancer,58,231,"beta[4,4]",-0.829,0.015,0.515,-1.945,-1.753,-1.154,-0.786,-0.473,-0.035,0.073,1214.422,0.999,White,-1.611,0.97,1453,56,229,2,1740,4.189,1.39,0.79,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,12,161,"beta[1,4]",-2.624,0.017,0.683,-4.034,-3.801,-3.05,-2.591,-2.144,-1.564,-1.331,1559.816,0.998,Asian,-3.842,3.91,156,12,161,0,329,9.989,2.8,1.7,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,19,40,"beta[2,4]",-1.914,0.019,0.651,-3.231,-2.98,-2.35,-1.915,-1.495,-0.825,-0.612,1220.336,0.999,Black,-2.941,2.49,137,17,38,2,194,0.716,0.4,0.22,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,15,41,"beta[4,4]",-2.451,0.02,0.742,-4.06,-3.695,-2.851,-2.411,-2.002,-1.337,-1.098,1360.717,0.999,Unknown,-3.305,3.02,118,15,41,0,174,3.73,1.27,0.73,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,405,554,"beta[5,4]",-2.308,0.008,0.297,-2.921,-2.82,-2.505,-2.296,-2.107,-1.844,-1.766,1519.682,1,White,-7.761,14.07,1969,394,543,11,2917,79.755,18.37,17.09,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_extended,colorectal cancer,65,280,mu_beta[3],-0.391,0.018,0.67,-1.644,-1.429,-0.819,-0.438,0.008,0.734,1.09,1378.533,1.002,overall,-0.584,0.25,1826,60,275,5,2166,1.187,0.56,0.32,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,455,810,mu_beta[3],-2.255,0.013,0.498,-3.278,-3.076,-2.578,-2.237,-1.927,-1.458,-1.355,1395.645,0.999,overall,-4.531,5.23,2420,441,796,14,3671,107.636,24.49,22.91,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_brief,colorectal cancer,58,211,"beta[4,4]",-0.71,0.017,0.529,-1.925,-1.68,-1.032,-0.633,-0.334,0.047,0.133,915.225,1.002,White,-1.344,0.75,1473,56,209,2,1740,3.44,1.2,0.7,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,12,17,"beta[1,4]",-1.11,0.02,0.73,-2.685,-2.368,-1.561,-1.047,-0.616,-0.003,0.182,1389.267,1,Asian,-1.52,0.89,300,12,17,0,329,0.025,0.06,0.01,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,19,13,"beta[2,4]",-0.666,0.017,0.666,-2.047,-1.75,-1.094,-0.667,-0.242,0.462,0.633,1512.219,1.002,Black,-1,0.5,164,17,11,2,194,0.048,0.08,0.01,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,15,11,"beta[3,4]",-1.135,0.019,0.725,-2.74,-2.442,-1.572,-1.097,-0.642,-0.038,0.191,1523.899,1.001,Unknown,-1.565,0.93,148,15,11,0,174,0.248,0.21,0.06,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,405,136,"beta[4,4]",-1.106,0.01,0.366,-1.915,-1.757,-1.334,-1.089,-0.858,-0.549,-0.459,1304.247,0.999,White,-3.021,2.6,2383,398,129,7,2917,8.357,2.42,1.68,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_brief,colorectal cancer,65,258,mu_beta[3],-0.406,0.023,0.65,-1.633,-1.387,-0.839,-0.435,-0.03,0.671,0.926,815.754,1.006,overall,-0.624,0.27,1848,60,253,5,2166,0.76,0.42,0.22,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,451,177,mu_beta[3],-1.002,0.014,0.558,-2.138,-1.935,-1.342,-0.979,-0.641,-0.151,0.036,1528.646,1.001,overall,-1.796,1.14,2995,442,168,9,3614,8.619,2.48,1.68,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,PI3K_AKT,colorectal cancer,58,237,"beta[4,4]",-0.775,0.041,0.56,-1.97,-1.775,-1.11,-0.752,-0.381,0.095,0.226,182.409,1.021,White,-1.385,0.78,1447,56,235,2,1740,4.421,1.45,0.79,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,PI3K_AKT,non-small cell lung cancer,12,20,"beta[1,4]",-1.395,0.029,1.118,-3.865,-3.282,-1.954,-1.244,-0.661,0.054,0.305,1442.841,1,Asian,-1.247,0.67,297,12,20,0,329,0.08,0.11,0.01,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,PI3K_AKT,non-small cell lung cancer,15,11,"beta[2,4]",-1.39,0.029,1.119,-4.218,-3.409,-1.88,-1.262,-0.66,0.067,0.229,1499.268,0.998,Unknown,-1.243,0.67,148,15,11,0,174,0.248,0.21,0.06,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,PI3K_AKT,non-small cell lung cancer,405,95,"beta[3,4]",-0.736,0.01,0.382,-1.559,-1.408,-0.974,-0.711,-0.476,-0.143,-0.05,1479.094,1.002,White,-1.928,1.27,2425,397,87,8,2917,2.002,0.8,0.45,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,PI3K_AKT,colorectal cancer,65,290,mu_beta[3],-0.475,0.029,0.62,-1.718,-1.503,-0.863,-0.489,-0.079,0.491,0.81,450.691,1.009,overall,-0.766,0.35,1816,60,285,5,2166,1.403,0.63,0.37,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,PI3K_AKT,non-small cell lung cancer,432,126,mu_beta[3],-1.178,0.021,0.852,-3.024,-2.629,-1.61,-1.082,-0.642,-0.011,0.253,1580.849,0.999,overall,-1.383,0.78,2870,424,118,8,3420,4.106,1.37,0.79,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,STK11_KEAP1,non-small cell lung cancer,405,72,"beta[1,4]",0.814,0.007,0.275,0.267,0.352,0.631,0.817,1.008,1.27,1.335,1366.981,1,White,2.955,2.51,2459,386,53,19,2917,8.612,2.48,1.68,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12C,STK11_KEAP1,non-small cell lung cancer,405,72,mu_beta[3],0.706,0.057,2.022,-4.072,-2.535,-0.181,0.804,1.629,3.967,4.886,1265.738,1,overall,0.349,0.14,2459,386,53,19,2917,8.612,2.48,1.68,TRUE,3.21,3.59
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12D,Cell_Cycle,non-small cell lung cancer,9,12,"beta[1,4]",0.812,0.018,0.718,-0.487,-0.326,0.339,0.742,1.285,2.072,2.27,1527.003,0.999,Unknown,1.131,0.59,155,7,10,2,174,1.411,0.63,0.27,TRUE,3.21,3.65
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12D,Cell_Cycle,non-small cell lung cancer,123,92,"beta[2,4]",0.332,0.011,0.438,-0.639,-0.459,0.069,0.381,0.626,0.984,1.113,1564.467,1,White,0.756,0.35,2707,118,87,5,2917,0.107,0.13,0,TRUE,3.21,3.65
single,Cosmic Driver mutation (gene_pathways),race,KRAS_12D,Cell_Cycle,pancreatic cancer,406,83,"beta[1,4]",0.466,0.009,0.247,-0.068,0.054,0.301,0.465,0.629,0.871,0.929,674.324,1.006,White,1.889,1.23,777,370,47,36,1230,3.837,1.3,0.56,TRUE,3.21,3.65
