cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,25,39,"beta[1,4]",-0.197,0.036,1.127,-3.148,-2.201,-0.568,0.021,0.495,1.048,1.229,1006.83,1,Metastasis,-0.175,0.06,1318,25,39,0,1382,0.063,0.1,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,63,76,"beta[2,4]",0.335,0.02,0.558,-0.858,-0.612,0.014,0.408,0.725,1.156,1.315,753.683,1.004,Primary,0.601,0.26,2163,59,72,4,2298,1.024,0.51,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Cell_Cycle,non-small cell lung cancer,88,115,mu_beta[3],0.061,0.027,0.839,-1.903,-1.525,-0.384,0.189,0.597,1.171,1.448,946.855,1.001,overall,0.073,0.03,3481,84,111,4,3680,0.216,0.19,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,25,23,"beta[1,4]",-0.178,0.103,1.266,-3.029,-2.248,-0.736,0.004,0.674,1.262,1.4,150.815,1.027,Metastasis,-0.141,0.05,1334,25,23,0,1382,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,63,40,"beta[2,4]",0.144,0.087,0.842,-1.726,-1.312,-0.394,0.243,0.782,1.245,1.392,93.069,1.036,Primary,0.171,0.06,2197,61,38,2,2298,0.155,0.16,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,Chromatin_Regulation,non-small cell lung cancer,88,63,mu_beta[3],-0.004,0.1,1.02,-2.33,-1.827,-0.583,0.102,0.734,1.264,1.462,105.051,1.033,overall,-0.004,0,3531,86,61,2,3680,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,25,20,"beta[1,4]",-0.902,0.044,1.429,-4.23,-3.482,-1.669,-0.697,0.136,0.991,1.223,1058.142,1.002,Metastasis,-0.631,0.28,1337,25,20,0,1382,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,63,33,"beta[2,4]",-0.681,0.036,1.235,-3.514,-2.924,-1.352,-0.497,0.2,1.002,1.231,1162.843,1.001,Primary,-0.551,0.24,2203,62,32,1,2298,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,53,mu_beta[3],-0.788,0.041,1.315,-3.747,-3.236,-1.519,-0.636,0.139,1.038,1.251,1042.198,1.001,overall,-0.599,0.26,3540,87,52,1,3680,0,0,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,25,51,"beta[1,4]",-1.674,0.043,1.546,-5.506,-4.333,-2.285,-1.412,-0.709,0.226,0.436,1319.754,0.999,Metastasis,-1.083,0.55,1306,25,51,0,1382,0.205,0.19,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,63,64,"beta[2,4]",-1.387,0.031,1.167,-4.073,-3.47,-1.982,-1.222,-0.598,0.182,0.352,1452.837,0.999,Primary,-1.188,0.63,2172,62,63,1,2298,0.039,0.07,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,wnt,non-small cell lung cancer,88,115,mu_beta[3],-1.512,0.035,1.322,-4.744,-3.829,-2.168,-1.332,-0.628,0.232,0.469,1434.644,1,overall,-1.144,0.6,3478,87,114,1,3680,0.601,0.36,0,TRUE,3.11,3.11
single,Cosmic Driver mutation (gene_pathways),sample_type,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,25,313,"beta[1,4]",-2.3,0.044,0.719,-3.714,-3.503,-2.803,-2.247,-1.805,-1.194,-1.028,265.412,1.018,Metastasis,-3.197,2.86,1045,24,312,1,1382,4.028,1.35,0.45,TRUE,3.11,3.11
