cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,27,165,"beta[1,4]",-3.138,0.022,0.811,-5.031,-4.477,-3.55,-3.074,-2.581,-1.973,-1.8,1383.545,0.999,2,-3.867,3.96,246,27,165,0,438,15.723,4.13,3.36,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,46,214,"beta[2,4]",-2.923,0.017,0.677,-4.534,-4.136,-3.302,-2.854,-2.457,-1.94,-1.811,1540.634,0.998,3,-4.32,4.81,362,45,213,1,621,21.412,5.43,4.53,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,127,191,"beta[3,4]",-2.606,0.012,0.461,-3.545,-3.392,-2.902,-2.595,-2.271,-1.885,-1.765,1555.924,0.999,4,-5.658,7.81,445,123,187,4,759,37.861,9.12,8.04,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,222,142,"beta[4,4]",-1.61,0.01,0.393,-2.42,-2.287,-1.864,-1.588,-1.353,-0.99,-0.862,1475.583,1,5,-4.098,4.38,863,213,133,9,1218,14.353,3.82,3.14,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,422,712,mu_beta[3],-2.538,0.014,0.531,-3.634,-3.447,-2.859,-2.505,-2.195,-1.749,-1.537,1428.366,0.999,overall,-4.778,5.75,1916,408,698,14,3036,109.382,24.87,23.49,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,27,13,"beta[1,4]",-1.428,0.023,0.83,-3.24,-2.841,-1.9,-1.357,-0.861,-0.2,0.067,1307.741,1,2,-1.721,1.07,398,27,13,0,438,0.124,0.14,0.12,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,46,24,"beta[2,4]",-1.536,0.021,0.797,-3.237,-2.985,-2.005,-1.447,-0.987,-0.397,-0.21,1478.481,1.008,3,-1.928,1.27,551,46,24,0,621,1.032,0.51,0.36,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,127,42,"beta[3,4]",-0.981,0.013,0.498,-1.989,-1.793,-1.295,-0.976,-0.65,-0.171,-0.043,1461.366,1.002,4,-1.971,1.31,594,123,38,4,759,1.156,0.55,0.36,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,222,88,"beta[4,4]",-1.232,0.01,0.405,-2.117,-1.94,-1.474,-1.225,-0.951,-0.593,-0.509,1490.529,1,5,-3.043,2.63,914,216,82,6,1218,7.478,2.2,1.67,TRUE,2.7,2.7
single,Cosmic Driver mutation (gene_pathways),TMB,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,422,167,mu_beta[3],-1.283,0.014,0.547,-2.389,-2.233,-1.633,-1.243,-0.916,-0.459,-0.297,1521.753,1.002,overall,-2.347,1.72,2457,412,157,10,3036,8.557,2.46,1.86,TRUE,2.7,2.7
