cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,colorectal cancer,15,280,"beta[2,4]",-0.643,0.021,0.331,-1.357,-1.261,-0.833,-0.639,-0.431,-0.095,-0.021,239.766,1.013,40-50,-1.939,1.28,210,7,272,8,497,0,0,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,colorectal cancer,18,566,"beta[3,4]",-0.798,0.02,0.345,-1.528,-1.412,-1.006,-0.767,-0.559,-0.257,-0.181,312.519,1.003,50-65,-2.313,1.68,518,15,563,3,1099,7.529,2.22,1.13,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,colorectal cancer,18,382,"beta[4,4]",-0.705,0.02,0.323,-1.397,-1.292,-0.911,-0.699,-0.476,-0.191,-0.118,263.457,1.01,>65,-2.182,1.54,352,12,376,6,746,1.682,0.71,0.04,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,27,658,"beta[3,4]",-0.611,0.009,0.361,-1.334,-1.187,-0.858,-0.622,-0.357,-0.022,0.098,1456.385,1,50-65,-1.689,1.04,735,17,648,10,1410,0.669,0.38,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,65,875,"beta[4,4]",-0.894,0.008,0.284,-1.445,-1.367,-1.088,-0.88,-0.691,-0.451,-0.376,1424.597,1.001,>65,-3.149,2.78,1293,52,862,13,2220,9.748,2.75,1.56,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,colorectal cancer,56,1354,mu_beta[3],-0.706,0.02,0.313,-1.36,-1.282,-0.9,-0.706,-0.487,-0.205,-0.142,242.117,1.01,overall,-2.255,1.62,1194,36,1334,20,2584,5.723,1.78,0.95,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,TP53,non-small cell lung cancer,92,1636,mu_beta[3],-0.835,0.012,0.454,-1.794,-1.608,-1.069,-0.827,-0.56,-0.157,0.031,1409.516,0.999,overall,-1.837,1.18,2193,69,1613,23,3898,10.439,2.91,1.6,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,15,33,"beta[2,4]",0.936,0.012,0.41,0.109,0.255,0.673,0.948,1.225,1.564,1.745,1082.276,0.999,40-50,2.285,1.65,441,12,30,3,486,2.385,0.91,0.17,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,18,87,"beta[3,4]",0.948,0.013,0.389,0.17,0.289,0.699,0.96,1.214,1.543,1.712,959.468,1.001,50-65,2.436,1.83,980,13,82,5,1080,7.096,2.11,1.1,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,19,59,"beta[4,4]",0.877,0.012,0.391,0.039,0.185,0.621,0.893,1.152,1.49,1.581,981.835,1,>65,2.241,1.6,650,17,57,2,726,0,0,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,FBXW7,colorectal cancer,57,194,mu_beta[3],0.907,0.012,0.383,0.105,0.285,0.662,0.916,1.17,1.498,1.66,990.892,1,overall,2.367,1.75,2287,47,184,10,2528,6.656,2.01,1.06,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,colorectal cancer,15,34,"beta[2,4]",-0.338,0.022,0.625,-1.684,-1.412,-0.707,-0.283,0.095,0.582,0.743,837.364,1.006,40-50,-0.541,0.23,438,15,34,0,487,0.317,0.24,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,colorectal cancer,18,97,"beta[3,4]",-0.327,0.02,0.602,-1.652,-1.354,-0.685,-0.289,0.094,0.54,0.722,884.75,1.004,50-65,-0.543,0.23,966,17,96,1,1080,0.009,0.03,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,colorectal cancer,18,64,"beta[4,4]",-0.189,0.021,0.616,-1.508,-1.19,-0.57,-0.156,0.226,0.74,0.94,868.514,1.004,>65,-0.306,0.12,646,15,61,3,725,0.588,0.35,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,non-small cell lung cancer,26,29,"beta[1,4]",-0.066,0.06,0.89,-2.019,-1.732,-0.585,0.005,0.613,1.111,1.346,220.68,1.012,50-65,-0.075,0.03,1319,25,28,1,1373,0,0,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,non-small cell lung cancer,65,45,"beta[2,4]",-0.19,0.075,0.864,-2.204,-1.746,-0.707,-0.12,0.475,0.946,1.063,133.198,1.017,>65,-0.22,0.08,2075,64,44,1,2184,0,0,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,colorectal cancer,56,209,mu_beta[3],-0.284,0.021,0.586,-1.555,-1.307,-0.642,-0.243,0.134,0.574,0.72,807.453,1.005,overall,-0.484,0.2,2268,52,205,4,2529,0.004,0.02,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,PIK3CA,non-small cell lung cancer,91,74,mu_beta[3],-0.115,0.063,0.918,-2.11,-1.767,-0.689,-0.018,0.585,1.081,1.345,213.273,1.011,overall,-0.125,0.05,3394,89,72,2,3557,0,0,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,RNF43,colorectal cancer,16,40,"beta[2,4]",-4.861,0.082,2.984,-11.912,-10.628,-6.542,-4.367,-2.677,-0.941,-0.596,1320.882,1.001,50-65,-1.629,0.99,917,16,40,0,973,0.04,0.08,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,RNF43,colorectal cancer,16,63,"beta[3,4]",-4.894,0.082,2.947,-11.948,-10.481,-6.641,-4.374,-2.692,-0.979,-0.633,1277.656,1.003,>65,-1.661,1.01,576,16,63,0,655,0.795,0.43,0,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,RNF43,colorectal cancer,37,117,mu_beta[3],-4.846,0.081,2.915,-11.74,-10.476,-6.595,-4.342,-2.647,-1.035,-0.608,1302.012,1.002,overall,-1.662,1.02,1692,37,117,0,1846,1.582,0.68,0.04,TRUE,3.53,3.65
single,Cosmic Driver mutation,agecat,KRAS_12A,U2AF1,non-small cell lung cancer,25,19,"beta[1,4]",0.881,0.019,0.723,-0.701,-0.333,0.419,0.936,1.377,1.939,2.129,1455.817,0.999,50-65,1.219,0.65,1272,24,18,1,1315,0.055,0.09,0,FALSE,2.26,2.26
