cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Cosmic Driver mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,27,146,"beta[1,4]",-1.419,0.012,0.457,-2.431,-2.208,-1.696,-1.396,-1.105,-0.736,-0.587,1532.267,1.001,2,-3.101,2.72,272,24,143,3,442,5.236,1.66,1.66,TRUE,1.9,1.9
single,Cosmic Driver mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,46,246,"beta[2,4]",-1.371,0.009,0.358,-2.116,-2.012,-1.589,-1.365,-1.127,-0.788,-0.694,1445.63,0.999,3,-3.831,3.89,347,39,239,7,632,10.677,2.96,2.92,TRUE,1.9,1.9
single,Cosmic Driver mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,127,353,"beta[3,4]",-1.209,0.005,0.215,-1.663,-1.564,-1.345,-1.209,-1.066,-0.855,-0.784,1529.941,0.999,4,-5.631,7.75,326,98,324,29,777,30.188,7.41,7.11,TRUE,1.9,1.9
single,Cosmic Driver mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,225,804,"beta[4,4]",-0.915,0.004,0.148,-1.206,-1.158,-1.007,-0.916,-0.821,-0.672,-0.62,1530.544,0.999,5,-6.193,9.23,349,125,704,100,1278,38.955,9.36,8.96,TRUE,1.9,1.9
single,Cosmic Driver mutation,TMB,KRAS_12C,TP53,non-small cell lung cancer,425,1549,mu_beta[3],-1.241,0.01,0.379,-1.989,-1.856,-1.478,-1.239,-1.004,-0.644,-0.495,1471.047,0.999,overall,-3.273,2.97,1294,286,1410,139,3129,54.744,12.86,12.16,TRUE,1.9,1.9
single,Cosmic Driver mutation,TMB,KRAS_12D,TP53,colorectal cancer,7,73,"beta[1,4]",-0.536,0.012,0.453,-1.498,-1.302,-0.82,-0.522,-0.233,0.18,0.32,1520.691,0.999,2,-1.185,0.63,60,4,70,3,137,0.032,0.07,0.01,TRUE,3.11,3.3
single,Cosmic Driver mutation,TMB,KRAS_12D,TP53,colorectal cancer,60,331,"beta[2,4]",-0.493,0.007,0.247,-0.98,-0.897,-0.657,-0.495,-0.334,-0.096,0.006,1345.475,0.999,3,-1.994,1.34,134,27,298,33,492,4.064,1.36,0.96,TRUE,3.11,3.3
single,Cosmic Driver mutation,TMB,KRAS_12D,TP53,colorectal cancer,118,525,"beta[3,4]",-0.393,0.005,0.186,-0.775,-0.7,-0.511,-0.393,-0.264,-0.102,-0.019,1549.99,1,4,-2.118,1.47,233,52,459,66,810,4.334,1.43,0.98,TRUE,3.11,3.3
single,Cosmic Driver mutation,TMB,KRAS_12D,TP53,colorectal cancer,116,333,"beta[4,4]",0.078,0.005,0.196,-0.289,-0.235,-0.059,0.075,0.212,0.39,0.467,1471.113,0.999,5,0.396,0.16,268,54,271,62,655,0.267,0.22,0.1,TRUE,3.11,3.3
single,Cosmic Driver mutation,TMB,KRAS_12D,TP53,colorectal cancer,14,52,"beta[5,4]",-0.39,0.011,0.414,-1.199,-1.069,-0.654,-0.379,-0.115,0.238,0.424,1404.191,0.998,6,-0.941,0.46,95,10,48,4,157,0.007,0.03,0.01,TRUE,3.11,3.3
