cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Driver mutation (gene_pathways),none,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,76,"beta[1,4]",-1.122,0.032,1.163,-3.885,-3.321,-1.723,-0.872,-0.331,0.431,0.683,1336.479,1.003,NA,-0.965,0.48,3517,87,75,1,3680,0.058,0.09,0,TRUE,2.86,2.86
multi,Driver mutation (gene_pathways),none,KRAS_12A,wnt,non-small cell lung cancer,88,98,"beta[1,4]",-1.388,0.036,1.278,-4.47,-3.719,-2.026,-1.166,-0.504,0.239,0.454,1254.261,1.007,NA,-1.087,0.56,3495,87,97,1,3680,0.32,0.24,0,TRUE,2.86,2.86
multi,Driver mutation (gene_pathways),none,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,88,426,"beta[1,4]",-1.939,0.032,0.788,-3.835,-3.443,-2.403,-1.803,-1.328,-0.909,-0.76,594.533,1.001,NA,-2.459,1.86,3168,86,424,2,3680,6.721,2.02,1.24,TRUE,2.86,2.86
multi,Driver mutation (gene_pathways),none,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,88,160,"beta[1,4]",-0.925,0.021,0.771,-2.65,-2.291,-1.364,-0.853,-0.377,0.178,0.349,1414.517,1.001,NA,-1.199,0.64,3434,86,158,2,3680,0.492,0.32,0,TRUE,2.86,2.86
multi,Driver mutation (gene_pathways),none,KRAS_12A,PI3K_AKT,non-small cell lung cancer,88,113,"beta[1,4]",-0.073,0.02,0.618,-1.476,-1.177,-0.459,0.001,0.354,0.819,0.989,925.011,1.002,NA,-0.119,0.04,3482,85,110,3,3680,0,0,0,TRUE,2.86,2.86
multi,Driver mutation (gene_pathways),none,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,88,72,"beta[1,4]",-1.008,0.03,1.134,-3.53,-2.99,-1.668,-0.872,-0.201,0.577,0.755,1449.038,1.001,NA,-0.889,0.43,3521,87,71,1,3680,0.03,0.06,0,TRUE,2.86,2.86
multi,Driver mutation (gene_pathways),none,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,455,76,"beta[1,4]",-0.397,0.011,0.407,-1.228,-1.097,-0.659,-0.373,-0.12,0.23,0.323,1441.24,1,NA,-0.976,0.48,3156,448,69,7,3680,0.446,0.3,0.25,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12C,wnt,non-small cell lung cancer,455,98,"beta[1,4]",-0.569,0.024,0.376,-1.315,-1.154,-0.846,-0.576,-0.298,0.055,0.159,236.189,1.019,NA,-1.515,0.89,3135,447,90,8,3680,1.266,0.58,0.25,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_extended,colorectal cancer,66,217,"beta[1,4]",-0.828,0.015,0.556,-2.058,-1.805,-1.166,-0.795,-0.441,0.026,0.168,1462.47,0.999,NA,-1.489,0.87,1939,62,213,4,2218,0.678,0.39,0.25,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,455,426,"beta[2,4]",-1.86,0.008,0.316,-2.524,-2.404,-2.057,-1.842,-1.637,-1.371,-1.28,1461.134,1.002,NA,-5.884,8.4,2809,445,416,10,3680,43.572,10.39,9.43,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_brief,colorectal cancer,66,209,"beta[1,4]",-0.689,0.015,0.519,-1.8,-1.597,-0.995,-0.659,-0.321,0.116,0.203,1275.174,1,NA,-1.328,0.73,1947,62,205,4,2218,0.541,0.34,0.25,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,455,160,"beta[2,4]",-1.053,0.01,0.353,-1.79,-1.645,-1.274,-1.044,-0.813,-0.507,-0.414,1326.42,0.999,NA,-2.984,2.55,3073,447,152,8,3680,7.676,2.25,1.78,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12C,PI3K_AKT,colorectal cancer,66,225,"beta[1,4]",-0.419,0.012,0.448,-1.332,-1.177,-0.714,-0.399,-0.113,0.281,0.359,1418.52,1.001,NA,-0.936,0.46,1932,61,220,5,2218,0.245,0.21,0.21,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12C,PI3K_AKT,non-small cell lung cancer,455,113,"beta[2,4]",-0.321,0.008,0.319,-0.967,-0.852,-0.534,-0.318,-0.097,0.168,0.264,1476.827,0.999,NA,-1.009,0.5,3123,444,102,11,3680,0.515,0.33,0.25,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12C,STK11_KEAP1,non-small cell lung cancer,455,72,"beta[1,4]",1.155,0.007,0.26,0.625,0.716,0.988,1.16,1.338,1.555,1.649,1386.858,1,NA,4.44,5.05,3175,433,50,22,3680,20.749,5.28,4.63,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12D,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,151,76,"beta[1,4]",-5.92,0.167,4.529,-15.012,-12.896,-7.531,-5.023,-3.113,-1.376,-0.969,736.825,0.999,NA,-1.307,0.72,3453,151,76,0,3680,2.341,0.9,0.55,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12D,wnt,non-small cell lung cancer,151,98,"beta[1,4]",-0.471,0.017,0.62,-1.871,-1.54,-0.861,-0.427,-0.029,0.459,0.618,1276.563,1.005,NA,-0.759,0.35,3434,148,95,3,3680,0.072,0.1,0.05,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12D,RAS_RAF_MAPK_extended,colorectal cancer,291,217,"beta[1,4]",0.338,0.005,0.195,-0.059,0.02,0.205,0.349,0.475,0.639,0.697,1476.036,1,NA,1.737,1.08,1748,253,179,38,2218,3.654,1.25,0.78,TRUE,2.86,3.21
multi,Driver mutation (gene_pathways),none,KRAS_12D,RAS_RAF_MAPK_extended,non-small cell lung cancer,151,426,"beta[2,4]",-1.777,0.013,0.543,-2.969,-2.702,-2.095,-1.747,-1.406,-0.945,-0.814,1621.588,0.999,NA,-3.275,2.98,3106,148,423,3,3680,13.185,3.55,2.6,TRUE,2.86,3.21
