cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Driver mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,25,25,"beta[1,4]",-1.417,0.039,1.402,-4.716,-4.012,-2.156,-1.224,-0.453,0.466,0.707,1308.549,1.001,50-65,-1.011,0.51,1259,25,25,0,1309,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,63,51,"beta[2,4]",-1.188,0.036,1.212,-3.92,-3.364,-1.863,-1.024,-0.326,0.444,0.658,1123.427,1.004,>65,-0.98,0.49,2008,62,50,1,2121,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,88,76,mu_beta[3],-1.292,0.037,1.314,-4.288,-3.671,-2.068,-1.117,-0.389,0.53,0.837,1244.933,1.001,overall,-0.984,0.49,3267,87,75,1,3430,0.109,0.13,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,25,33,"beta[1,4]",-1.574,0.046,1.455,-4.856,-4.272,-2.38,-1.313,-0.585,0.401,0.657,981.648,1.001,50-65,-1.082,0.55,1251,25,33,0,1309,0.028,0.06,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,63,58,"beta[2,4]",-1.362,0.039,1.213,-4.125,-3.621,-2.087,-1.197,-0.508,0.329,0.567,981.371,1,>65,-1.122,0.58,2001,62,57,1,2121,0.031,0.06,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,wnt,non-small cell lung cancer,88,91,mu_beta[3],-1.447,0.043,1.33,-4.434,-3.893,-2.238,-1.235,-0.543,0.41,0.722,971.791,1,overall,-1.088,0.56,3252,87,90,1,3430,0.315,0.24,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,25,149,"beta[2,4]",-2.343,0.046,1.226,-5.443,-4.749,-2.931,-2.131,-1.495,-0.781,-0.602,704.45,1.003,50-65,-1.91,1.25,1135,25,149,0,1309,2.224,0.87,0.09,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,63,256,"beta[3,4]",-1.882,0.03,0.791,-3.657,-3.362,-2.332,-1.777,-1.329,-0.772,-0.612,679.73,1.001,>65,-2.379,1.76,1804,61,254,2,2121,4.015,1.35,0.39,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_extended,non-small cell lung cancer,88,422,mu_beta[3],-2.088,0.036,1.056,-4.45,-3.952,-2.646,-1.957,-1.423,-0.668,-0.291,857.852,1.002,overall,-1.977,1.32,3110,86,420,2,3618,6.814,2.04,0.79,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,25,55,"beta[1,4]",-1.226,0.033,1.121,-3.713,-3.142,-1.789,-1.063,-0.496,0.247,0.52,1142.599,1.001,50-65,-1.094,0.56,1229,25,55,0,1309,0.307,0.24,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,63,93,"beta[2,4]",-0.913,0.025,0.812,-2.686,-2.308,-1.461,-0.851,-0.332,0.289,0.436,1014.927,0.999,>65,-1.124,0.58,1967,61,91,2,2121,0.027,0.06,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,RAS_RAF_MAPK_brief,non-small cell lung cancer,88,148,mu_beta[3],-1.041,0.028,0.977,-3.048,-2.631,-1.598,-0.939,-0.408,0.335,0.567,1187.434,1,overall,-1.065,0.54,3196,86,146,2,3430,0.475,0.31,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,PI3K_AKT,non-small cell lung cancer,25,39,"beta[1,4]",-0.498,0.038,1.184,-3.21,-2.343,-0.938,-0.314,0.224,0.874,1.081,969.537,1,50-65,-0.421,0.17,1245,25,39,0,1309,0.085,0.11,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,PI3K_AKT,non-small cell lung cancer,63,65,"beta[2,4]",-0.014,0.024,0.682,-1.436,-1.174,-0.437,0.027,0.46,1.02,1.215,835.999,0.999,>65,-0.021,0.01,1996,60,62,3,2121,0.178,0.17,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,PI3K_AKT,non-small cell lung cancer,88,104,mu_beta[3],-0.229,0.03,0.887,-2.241,-1.756,-0.717,-0.133,0.333,1.018,1.25,866.73,0.999,overall,-0.258,0.1,3241,85,101,3,3430,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,25,30,"beta[1,4]",-0.828,0.043,1.289,-4.077,-3.193,-1.548,-0.614,0.036,0.882,1.171,889.783,1,50-65,-0.642,0.28,1255,24,29,1,1309,0,0,0,TRUE,2.86,2.86
single,Driver mutation (gene_pathways),agecat,KRAS_12A,STK11_KEAP1,non-small cell lung cancer,63,38,"beta[2,4]",-1.333,0.045,1.422,-4.756,-3.895,-2.07,-1.071,-0.376,0.524,0.725,995.178,1.003,>65,-0.937,0.46,2020,63,38,0,2121,0.368,0.26,0,TRUE,2.86,2.86
